,s_opt,v_opt,n_opt,chi_opt,ax_opt,ay_opt,jx_opt,jy_opt,t_opt
0,0.000000,61.373402,-1.320599,0.013772,4.535898,-1.162202,-1.198539,-2.378293,0.000000
1,1.998743,61.520492,-1.296000,0.011360,4.496863,-1.239659,-1.189732,-2.319288,0.032568
2,3.997485,61.665808,-1.274048,0.010610,4.458252,-1.314930,-2.227476,-2.255272,0.065023
3,5.996228,61.809009,-1.253750,0.009607,4.386120,-1.387961,-3.285551,-2.192071,0.097405
4,7.994971,61.948816,-1.234236,0.010745,4.280113,-1.458687,-4.174142,-2.124518,0.129670
5,9.993713,62.084320,-1.209849,0.013415,4.145859,-1.527019,-3.683421,-2.046876,0.161833
6,11.992456,62.215785,-1.183220,0.012230,4.027364,-1.592866,-4.044233,-1.968940,0.194003
7,13.991199,62.343142,-1.162352,0.008895,3.897375,-1.656152,-4.949062,-1.892730,0.226145
8,15.989942,62.465491,-1.146511,0.007227,3.738785,-1.716803,-5.959364,-1.813141,0.258189
9,17.988684,62.581935,-1.132591,0.006861,3.548331,-1.774749,-7.044802,-1.730264,0.290148
10,19.987427,62.691484,-1.118426,0.007506,3.323725,-1.829914,-7.965504,-1.641921,0.322030
11,21.986170,62.793303,-1.103380,0.006981,3.070028,-1.882208,-1.507732,-1.548779,0.353880
12,23.984912,62.890320,-1.092494,0.003475,3.022006,-1.931538,5.306582,-1.456029,0.385730
13,25.983655,62.989069,-1.089048,0.000605,3.190699,-1.977824,4.223804,-1.363646,0.417520
14,27.982398,63.092258,-1.087695,0.001306,3.324494,-2.021020,2.970706,-1.267684,0.449196
15,29.981140,63.198869,-1.083762,0.002114,3.418432,-2.061106,1.771965,-1.169219,0.480818
16,31.979883,63.307773,-1.080477,0.001080,3.474425,-2.098052,0.680902,-1.070576,0.512417
17,33.978626,63.417705,-1.079394,0.000124,3.495902,-2.131821,-0.221962,-0.969361,0.543960
18,35.977368,63.527775,-1.081113,-0.002526,3.488907,-2.162372,-1.057778,-0.866792,0.575477
19,37.976111,63.637096,-1.090351,-0.006439,3.455604,-2.189663,-2.277689,-0.765306,0.606961
20,39.974854,63.744386,-1.104590,-0.006941,3.384147,-2.213672,-3.477042,-0.662557,0.638333
21,41.973596,63.848555,-1.116697,-0.005374,3.275370,-2.234400,-4.651143,-0.556338,0.669617
22,43.972339,63.948745,-1.127973,-0.006682,3.129864,-2.251804,-5.810535,-0.447777,0.700901
23,45.971082,64.043787,-1.144836,-0.010096,2.948145,-2.265808,-6.807002,-0.338203,0.732175
24,47.969825,64.132389,-1.166307,-0.010452,2.735934,-2.276352,-7.842190,-0.226781,0.763351
25,49.968567,64.213642,-1.184751,-0.008076,2.492172,-2.283401,-8.880267,-0.112995,0.794434
26,51.967310,64.286860,-1.200622,-0.008808,2.215973,-2.286915,-9.912956,0.002375,0.825537
27,53.966053,64.351046,-1.222229,-0.012889,1.907354,-2.286841,-10.947728,0.119628,0.856670
28,55.964795,64.405051,-1.251552,-0.015963,1.567015,-2.283122,-11.791024,0.239873,0.887757
29,57.963538,64.447973,-1.284133,-0.016143,1.201386,-2.275684,8.248185,0.361337,0.918766
30,59.962281,64.489115,-1.314920,-0.014676,1.456715,-2.264499,6.933416,0.478009,0.949722
31,61.961023,64.537573,-1.344299,-0.015532,1.671519,-2.249689,5.380770,0.589878,0.980703
32,63.959766,64.591982,-1.378510,-0.018568,1.838340,-2.231401,3.872253,0.699339,1.011706
33,65.958509,64.650707,-1.417290,-0.019670,1.958135,-2.209766,2.419030,0.805354,1.042643
34,67.957251,64.712286,-1.455630,-0.018578,2.032785,-2.184913,1.018162,0.906122,1.073503
35,69.955994,64.775464,-1.491841,-0.018054,2.064187,-2.156967,-0.317643,1.000970,1.104344
36,71.954737,64.839087,-1.530250,-0.021163,2.054373,-2.126041,-1.595359,1.093438,1.135240
37,73.953480,64.901823,-1.577714,-0.025868,2.005063,-2.092245,-2.725545,1.187873,1.166148
38,75.952222,64.962242,-1.630901,-0.026242,1.921178,-2.055685,2.199298,1.279815,1.196926
39,77.950965,65.022215,-1.680628,-0.023849,1.988647,-2.016423,1.820473,1.364421,1.227603
40,79.949708,65.084153,-1.727817,-0.024053,2.044562,-1.974516,0.699689,1.446407,1.258318
41,81.948450,65.147329,-1.778109,-0.026186,2.066069,-1.930057,-0.408957,1.528673,1.289055
42,83.947193,65.210560,-1.832304,-0.027858,2.053514,-1.883130,-1.476251,1.608842,1.319753
43,85.945936,65.272810,-1.889085,-0.028844,2.008265,-1.833816,-2.507222,1.685241,1.350405
44,87.944678,65.333147,-1.947786,-0.030015,1.931469,-1.782198,-3.516125,1.759415,1.381035
