right_bound_x,right_bound_y,right_bound_z,left_bound_x,left_bound_y,left_bound_z
-104.451630,51.676740,-3.349905,-104.502708,40.912863,-3.236070
-106.452279,51.696939,-3.346602,-106.499603,40.933852,-3.235434
-108.452958,51.717700,-3.342600,-108.496566,40.954826,-3.235265
-110.453680,51.738659,-3.337965,-110.493585,40.976095,-3.235541
-112.454441,51.760101,-3.332829,-112.490692,40.997278,-3.236181
-114.455255,51.782011,-3.327340,-114.487909,41.018081,-3.237087
-116.456112,51.804521,-3.321602,-116.485270,41.039088,-3.238214
-118.457021,51.827321,-3.315677,-118.482780,41.059525,-3.239537
-120.457992,51.850095,-3.309595,-120.480439,41.080240,-3.241063
-122.459022,51.872896,-3.303415,-122.478264,41.100427,-3.242760
-124.460099,51.895691,-3.297210,-124.476287,41.119678,-3.244562
-126.461235,51.918489,-3.291082,-126.474486,41.138097,-3.246367
-128.462416,51.940970,-3.285140,-128.472888,41.155395,-3.248041
-130.463640,51.962831,-3.279476,-130.471481,41.171433,-3.249441
-132.464906,51.984266,-3.274136,-132.470264,41.187019,-3.250452
-134.466195,52.005094,-3.269087,-134.469249,41.202102,-3.250996
-136.467508,52.025101,-3.264262,-136.468428,41.215668,-3.251006
-138.468831,52.045165,-3.259629,-138.467798,41.228485,-3.250360
-140.470155,52.064726,-3.255190,-140.467348,41.240497,-3.248869
-142.471468,52.083435,-3.250988,-142.467090,41.251230,-3.246302
-144.472768,52.101722,-3.247010,-144.466988,41.262527,-3.242469
-146.474040,52.119465,-3.243140,-146.467047,41.273478,-3.237294
-148.475278,52.136460,-3.239164,-148.467262,41.283243,-3.230805
-150.476460,52.152884,-3.234869,-150.467632,41.292041,-3.223037
-152.477588,52.169161,-3.230076,-152.468143,41.299337,-3.214013
-154.478644,52.184506,-3.224699,-154.468783,41.306282,-3.203680
-156.479624,52.199205,-3.218663,-156.469534,41.313675,-3.192006
-158.480521,52.213446,-3.211894,-158.470388,41.320926,-3.178980
-160.481315,52.226983,-3.204282,-160.471360,41.327738,-3.164653
-162.482006,52.239846,-3.195718,-162.472425,41.333448,-3.149089
-164.482584,52.252154,-3.186095,-164.473565,41.338579,-3.132354
-166.483038,52.263657,-3.175331,-166.474781,41.343253,-3.114479
-168.483369,52.275299,-3.163380,-168.476064,41.348169,-3.095471
-170.483566,52.286760,-3.150188,-170.477402,41.353308,-3.075324
-172.483624,52.297186,-3.135691,-172.478792,41.359211,-3.054040
-174.483539,52.308687,-3.119838,-174.480229,41.366015,-3.031622
-176.483304,52.319024,-3.102485,-176.481709,41.374031,-3.008121
-178.482922,52.326547,-3.083489,-178.483215,41.382974,-2.983589
-180.482383,52.330794,-3.062754,-180.484749,41.392252,-2.958063
-182.481691,52.331702,-3.040240,-182.486305,41.402015,-2.931576
-184.480846,52.329574,-3.015956,-184.487874,41.412334,-2.904170
-186.479849,52.326084,-2.989946,-186.489460,41.422621,-2.875930
-188.478703,52.322607,-2.962220,-188.491072,41.433134,-2.847049
-190.477415,52.319413,-2.932791,-190.492693,41.444039,-2.817783
-192.475981,52.317586,-2.901819,-192.494346,41.455094,-2.788317
-194.474417,52.318535,-2.869627,-194.496026,41.466600,-2.758742
-196.472742,52.321196,-2.836740,-196.497732,41.478486,-2.728953
-198.470978,52.321501,-2.803778,-198.499483,41.490400,-2.698694
-200.469148,52.322726,-2.771511,-200.501276,41.502462,-2.667570
-202.467259,52.330407,-2.740579,-202.503095,41.514630,-2.635200
-204.465306,52.346568,-2.711290,-204.504968,41.527215,-2.601356
-206.463299,52.370522,-2.683490,-206.506913,41.539504,-2.566072
-208.461249,52.398518,-2.656591,-208.508927,41.552046,-2.529644
-210.459165,52.428760,-2.629725,-210.511031,41.564856,-2.492541
-212.457064,52.456945,-2.601903,-212.513231,41.577952,-2.455251
-214.454966,52.478290,-2.572237,-214.515550,41.591016,-2.418156
-216.452922,52.485411,-2.540092,-216.518005,41.603841,-2.381427
-218.450940,52.480861,-2.505370,-218.520592,41.616619,-2.344981
-220.448986,52.474485,-2.468451,-220.523303,41.629418,-2.308544
-222.446999,52.476205,-2.429919,-222.526152,41.642554,-2.271769
-224.444994,52.486413,-2.390221,-224.529132,41.656391,-2.234409
-226.443009,52.500158,-2.349660,-226.532276,41.669879,-2.196324
-228.441096,52.513929,-2.308488,-228.535579,41.683359,-2.157508
-230.439285,52.527691,-2.266906,-230.539051,41.696151,-2.118046
-232.437551,52.544678,-2.225129,-232.542713,41.709125,-2.078065
-234.435930,52.562698,-2.183237,-234.546575,41.722769,-2.037705
-236.434442,52.581813,-2.141326,-236.550636,41.736962,-1.997069
-238.433087,52.602585,-2.099481,-238.554931,41.750915,-1.956224
-240.431904,52.623510,-2.057725,-240.559460,41.763933,-1.915215
-242.430887,52.644837,-2.016072,-242.564241,41.776118,-1.874098
-244.430044,52.667168,-1.974512,-244.569263,41.788049,-1.832924
-246.429382,52.689897,-1.932984,-246.574515,41.800739,-1.791754
-248.428890,52.713166,-1.891423,-248.580018,41.813610,-1.750623
-250.428557,52.738437,-1.849779,-250.585745,41.826465,-1.709556
-252.428363,52.765308,-1.807999,-252.591693,41.839350,-1.668552
-254.428304,52.793556,-1.766030,-254.597840,41.851483,-1.627599
-256.428367,52.822818,-1.723835,-256.604145,41.863793,-1.586688
-258.428555,52.850972,-1.681338,-258.610586,41.876337,-1.545820
-260.428837,52.878488,-1.638461,-260.617089,41.889101,-1.505036
-262.429134,52.906999,-1.595137,-262.623627,41.902623,-1.464392
-264.429366,52.938422,-1.551329,-264.630132,41.916599,-1.423919
-266.429488,52.972124,-1.507033,-266.636509,41.931426,-1.383599
-268.429492,53.004869,-1.462263,-268.642674,41.947870,-1.343391
-270.429351,53.033977,-1.417060,-270.648549,41.964968,-1.303237
-272.429003,53.059448,-1.371475,-272.653974,41.983841,-1.263135
-274.428311,53.083309,-1.325550,-274.658824,42.004985,-1.223116
-276.427115,53.107965,-1.279313,-276.663002,42.027105,-1.183216
-278.425314,53.133710,-1.232808,-278.666318,42.051050,-1.143462
-280.422818,53.158729,-1.186090,-280.668629,42.076679,-1.103857
-282.419482,53.184641,-1.139263,-282.669791,42.102923,-1.064380
-284.415207,53.210285,-1.092396,-284.669629,42.129888,-1.025049
-286.409912,53.234281,-1.045540,-286.667935,42.158681,-0.985890
-288.403534,53.254813,-0.998744,-288.664536,42.188725,-0.946920
-290.395955,53.272961,-0.952054,-290.659272,42.219956,-0.908164
-292.387096,53.288774,-0.905519,-292.651988,42.252661,-0.869619
-294.376849,53.304580,-0.859202,-294.642588,42.285491,-0.831248
-296.365184,53.321067,-0.813147,-296.630998,42.318669,-0.792992
-298.352153,53.337109,-0.767385,-298.617107,42.353352,-0.754768
-300.337811,53.353856,-0.721902,-300.600870,42.389087,-0.716488
-302.322311,53.371005,-0.676632,-302.582250,42.425984,-0.678065
-304.305854,53.388113,-0.631443,-304.561325,42.463555,-0.639426
-306.288747,53.404692,-0.586179,-306.538077,42.500827,-0.600499
-308.271342,53.422077,-0.540664,-308.512352,42.538458,-0.561207
