right_bound_x,right_bound_y,right_bound_z,left_bound_x,left_bound_y,left_bound_z
-29.764551,-129.077968,25.468226,-31.798275,-114.694784,25.176535
-27.787292,-128.779966,25.467228,-29.819079,-114.409223,25.174891
-25.804994,-128.517902,25.467194,-27.837442,-114.140618,25.173369
-23.829240,-128.209853,25.465062,-25.856267,-113.868441,25.171769
-21.850644,-127.921854,25.462501,-23.878725,-113.570625,25.169587
-19.866795,-127.670998,25.460755,-21.897217,-113.300887,25.168164
-17.888284,-127.382333,25.458415,-19.912570,-113.053410,25.168054
-15.910200,-127.090595,25.456022,-17.934128,-112.762059,25.167030
-13.930149,-126.812749,25.453906,-15.951621,-112.499521,25.166712
-11.947861,-126.550724,25.452102,-13.974577,-112.198325,25.165886
-9.968186,-126.270143,25.449931,-11.991123,-111.942572,25.166017
-7.988096,-125.992466,25.448196,-10.011608,-111.658960,25.165561
-6.008290,-125.712756,25.448935,-8.031020,-111.382971,25.165264
-4.028008,-125.436362,25.450399,-6.054894,-111.075427,25.164517
-2.047872,-125.158907,25.451853,-4.075705,-110.789598,25.164827
-0.069534,-124.868685,25.453047,-2.096114,-110.506650,25.165223
1.912574,-124.605125,25.454765,-0.111934,-110.256279,25.166273
3.894009,-124.336773,25.456390,1.865179,-109.955855,25.166316
5.872428,-124.047012,25.457592,3.848650,-109.700523,25.167262
7.852349,-123.767841,25.459003,5.827990,-109.415959,25.167623
9.831422,-123.482628,25.459970,7.802743,-109.098899,25.167326
11.812768,-123.213509,25.458717,9.784036,-108.828235,25.167326
13.793334,-122.938805,25.456689,11.765904,-108.561699,25.167319
15.773783,-122.663246,25.454645,13.743490,-108.264833,25.166672
17.754227,-122.387620,25.452601,15.721342,-107.969872,25.166086
19.729854,-122.077782,25.449877,17.704065,-107.709516,25.166182
21.713651,-121.825858,25.448302,19.684694,-107.434333,25.165997
23.692534,-121.539055,25.446044,21.661381,-107.131214,25.165231
25.670188,-121.243479,25.443601,23.641234,-106.850616,25.164931
27.649440,-120.959204,25.442319,25.625359,-106.600341,25.165233
29.631639,-120.695817,25.444050,27.603632,-106.308585,25.164652
31.613054,-120.426807,25.445851,29.580830,-106.009255,25.163910
33.593131,-120.148278,25.447486,31.562832,-105.744038,25.163870
35.571315,-119.856296,25.448877,33.542750,-105.464059,25.163531
37.548771,-119.559089,25.450172,35.519486,-105.161558,25.162719
39.531909,-119.302170,25.452187,37.503658,-104.911839,25.163001
41.512943,-119.030300,25.453948,39.483967,-104.634745,25.162721
43.493532,-118.755208,25.455700,41.464170,-104.356954,25.162421
45.468638,-118.441192,25.456767,43.442555,-104.066290,25.162605
47.448278,-118.159318,25.458677,45.422875,-103.789382,25.164612
49.431273,-117.901194,25.461070,47.403331,-103.513496,25.166855
51.410489,-117.616229,25.462912,49.383165,-103.233223,25.168990
53.391380,-117.343118,25.465006,51.362868,-102.952046,25.171117
55.369832,-117.052655,25.466748,53.341649,-102.664382,25.173087
57.352703,-116.793510,25.469113,55.322431,-102.390941,25.175380
59.328362,-116.483180,25.470466,57.299301,-102.089780,25.177055
61.309090,-116.208751,25.472093,59.283581,-101.841232,25.179372
63.292547,-115.953648,25.473171,61.258467,-101.526086,25.178594
65.268628,-115.646206,25.473134,63.241448,-101.268375,25.179108
67.251816,-115.389115,25.474177,65.219974,-100.979126,25.178916
69.230791,-115.102116,25.474580,67.199679,-100.698273,25.178896
71.211334,-114.826206,25.475212,69.181349,-100.431373,25.179195
73.188718,-114.527850,25.475375,71.163211,-100.165888,25.179532
75.168511,-114.246544,25.475705,73.141787,-99.877132,25.179351
77.151588,-113.988490,25.475490,75.119589,-99.582913,25.178436
79.132909,-113.717935,25.474856,77.097337,-99.288374,25.177454
81.113316,-113.440870,25.474096,79.080705,-99.033698,25.177342
83.092786,-113.157143,25.473201,81.059770,-98.748553,25.176552
85.069027,-112.850470,25.471829,83.039205,-98.466078,25.175835
87.051650,-112.588998,25.471382,85.019105,-98.186937,25.175187
89.031291,-112.306368,25.470518,86.999883,-97.914035,25.174690
91.011884,-112.030432,25.469787,88.978595,-97.626549,25.174088
92.991379,-111.746692,25.468865,90.958316,-97.346244,25.173682
94.969266,-111.451537,25.467712,92.939942,-97.079461,25.173528
96.953437,-111.200823,25.467497,94.916683,-96.778128,25.172703
98.930045,-110.896532,25.466141,96.897255,-96.503959,25.172400
100.908827,-110.607610,25.465127,98.878768,-96.236479,25.172250
102.891572,-110.346693,25.465653,100.859329,-95.962302,25.172027
104.872162,-110.070485,25.467296,102.837751,-95.673024,25.171665
106.849825,-109.773536,25.468504,104.815764,-95.380879,25.171271
108.834578,-109.526697,25.470761,106.798570,-95.122696,25.171609
110.813260,-109.236882,25.472118,108.775540,-94.823263,25.171052
112.792999,-108.954512,25.473485,110.757111,-94.556395,25.171204
114.775469,-108.691410,25.473512,112.738638,-94.289269,25.172410
116.755392,-108.410257,25.472771,114.718270,-94.008766,25.173702
118.735129,-108.127768,25.471998,116.692706,-93.691563,25.174204
120.712519,-107.828642,25.470889,118.676368,-93.439626,25.176113
122.695316,-107.567692,25.470625,120.654732,-93.150283,25.177219
124.672522,-107.267214,25.472602,122.633346,-92.862728,25.178600
126.653717,-106.994867,25.475443,124.613645,-92.587132,25.180289
128.634123,-106.716909,25.478213,126.591953,-92.297508,25.181677
130.615475,-106.445611,25.481166,128.572991,-92.027184,25.183462
132.594788,-106.159863,25.484091,130.555301,-91.765885,25.185465
134.572605,-105.863527,25.491175,132.531284,-91.459960,25.192125
136.556356,-105.609038,25.500025,134.511540,-91.184224,25.201130
138.535198,-105.319859,25.508143,136.491285,-90.904925,25.210060
140.516538,-105.048268,25.516650,138.469486,-90.614781,25.218758
142.493713,-104.747290,25.524521,140.451291,-90.350066,25.227994
144.476378,-104.484955,25.533225,142.430685,-90.068403,25.236867
146.453099,-104.180708,25.543436,144.412015,-89.800408,25.247359
148.437336,-103.929378,25.556094,146.387405,-89.490597,25.258126
150.415908,-103.638093,25.567938,148.367487,-89.213900,25.269625
152.396148,-103.358527,25.580027,150.349742,-88.952519,25.281452
154.376266,-103.078086,25.592094,152.330450,-88.680257,25.293042
156.358037,-102.809438,25.604407,154.305156,-88.365595,25.303710
158.337064,-102.521893,25.616324,156.288118,-88.108615,25.315641
160.320248,-102.263990,25.628981,158.265729,-87.813592,25.326727
162.299532,-101.979778,25.639420,160.247583,-87.547290,25.337562
164.280012,-101.704646,25.648644,162.229134,-87.278202,25.347180
166.255023,-101.391646,25.657096,164.204266,-86.963348,25.355801
168.234914,-101.114123,25.666334,166.186314,-86.695999,25.365447
