s_m,x_m,y_m,z_m,theta_rad,mu_rad,phi_rad,dtheta_radpm,dmu_radpm,dphi_radpm,w_tr_right_m,w_tr_left_m,omega_x_radpm,omega_y_radpm,omega_z_radpm
0.000000,-104.458784,50.169160,-3.333966,3.136919,-0.001520,0.010575,0.000173,-0.000135,-0.000123,-1.507681,9.256919,-0.000123,-0.000133,0.000174
2.000196,-106.458956,50.178334,-3.330923,3.137264,-0.001790,0.010329,0.000172,-0.000119,-0.000178,-1.518700,9.245065,-0.000177,-0.000118,0.000173
4.000422,-108.459161,50.186819,-3.327342,3.137607,-0.002029,0.009973,0.000171,-0.000093,-0.000228,-1.530970,9.232528,-0.000227,-0.000092,0.000172
6.000685,-110.459405,50.194617,-3.323282,3.137950,-0.002215,0.009517,0.000169,-0.000064,-0.000268,-1.544122,9.219003,-0.000268,-0.000062,0.000169
8.000988,-112.459690,50.201733,-3.318849,3.138288,-0.002343,0.008981,0.000166,-0.000043,-0.000297,-1.558440,9.204878,-0.000297,-0.000041,0.000167
10.001343,-114.460029,50.208176,-3.314160,3.138621,-0.002429,0.008386,0.000162,-0.000029,-0.000319,-1.573898,9.190460,-0.000319,-0.000027,0.000162
12.001748,-116.460420,50.213957,-3.309299,3.138945,-0.002486,0.007747,0.000158,-0.000021,-0.000337,-1.590617,9.175178,-0.000337,-0.000020,0.000158
14.002208,-118.460868,50.219094,-3.304324,3.139261,-0.002528,0.007073,0.000154,-0.000009,-0.000354,-1.608272,9.159824,-0.000353,-0.000008,0.000154
16.002734,-120.461382,50.223602,-3.299265,3.139568,-0.002545,0.006365,0.000148,0.000005,-0.000366,-1.626529,9.143568,-0.000366,0.000006,0.000148
18.003323,-122.461961,50.227502,-3.294172,3.139864,-0.002536,0.005633,0.000142,0.000023,-0.000372,-1.645422,9.127235,-0.000372,0.000024,0.000142
20.003972,-124.462600,50.230817,-3.289098,3.140148,-0.002490,0.004888,0.000136,0.000041,-0.000369,-1.664896,9.111258,-0.000368,0.000041,0.000135
22.004686,-126.463306,50.233569,-3.284115,3.140419,-0.002409,0.004150,0.000128,0.000055,-0.000354,-1.684935,9.095557,-0.000354,0.000055,0.000128
24.005459,-128.464072,50.235787,-3.279296,3.140676,-0.002300,0.003442,0.000121,0.000058,-0.000328,-1.705194,9.080450,-0.000328,0.000059,0.000121
26.006286,-130.464893,50.237497,-3.274694,3.140919,-0.002183,0.002785,0.000114,0.000047,-0.000295,-1.725341,9.066101,-0.000295,0.000048,0.000113
28.007170,-132.465772,50.238727,-3.270325,3.141146,-0.002089,0.002195,0.000105,0.000030,-0.000259,-1.745543,9.051731,-0.000259,0.000030,0.000105
30.008097,-134.466695,50.239512,-3.266146,3.141357,-0.002029,0.001676,0.000097,0.000016,-0.000224,-1.765584,9.037423,-0.000224,0.000016,0.000097
32.009066,-136.467660,50.239883,-3.262087,3.141551,-0.001996,0.001228,0.000089,0.000008,-0.000185,-1.785220,9.024221,-0.000185,0.000008,0.000088
34.010069,-138.468659,50.239873,-3.258093,-3.141457,-0.001979,0.000858,0.000080,0.000006,-0.000137,-1.805292,9.011392,-0.000136,0.000006,0.000080
36.011096,-140.469682,50.239518,-3.254132,-3.141298,-0.001968,0.000585,0.000071,-0.000007,-0.000076,-1.825208,8.999023,-0.000076,-0.000007,0.000071
38.012141,-142.470722,50.238854,-3.250194,-3.141156,-0.001981,0.000433,0.000062,-0.000036,-0.000007,-1.844581,8.987626,-0.000007,-0.000036,0.000062
40.013197,-144.471774,50.237915,-3.246229,-3.141031,-0.002053,0.000419,0.000053,-0.000080,0.000060,-1.863807,8.975390,0.000060,-0.000080,0.000053
42.014253,-146.472826,50.236734,-3.242122,-3.140925,-0.002213,0.000539,0.000044,-0.000124,0.000115,-1.882732,8.963259,0.000115,-0.000124,0.000044
44.015306,-148.473874,50.235351,-3.237693,-3.140837,-0.002460,0.000769,0.000034,-0.000160,0.000159,-1.901110,8.952113,0.000160,-0.000160,0.000034
46.016340,-150.474900,50.233800,-3.232770,-3.140768,-0.002782,0.001088,0.000025,-0.000181,0.000194,-1.919086,8.941767,0.000194,-0.000181,0.000025
48.017352,-152.475904,50.232122,-3.227204,-3.140719,-0.003144,0.001477,0.000016,-0.000199,0.000227,-1.937042,8.932798,0.000227,-0.000199,0.000016
50.018331,-154.476873,50.230353,-3.220913,-3.140687,-0.003542,0.001931,0.000006,-0.000215,0.000258,-1.954157,8.924092,0.000258,-0.000215,0.000007
52.019269,-156.477797,50.228531,-3.213825,-3.140674,-0.003972,0.002448,-0.000003,-0.000235,0.000286,-1.970681,8.914886,0.000286,-0.000235,-0.000002
54.020161,-158.478673,50.226691,-3.205877,-3.140680,-0.004442,0.003020,-0.000013,-0.000254,0.000307,-1.986765,8.905809,0.000307,-0.000254,-0.000012
56.020996,-160.479487,50.224874,-3.196989,-3.140706,-0.004951,0.003634,-0.000022,-0.000273,0.000320,-2.002123,8.897199,0.000320,-0.000273,-0.000021
58.021768,-162.480234,50.223118,-3.187083,-3.140751,-0.005498,0.004274,-0.000032,-0.000288,0.000324,-2.016747,8.889755,0.000324,-0.000288,-0.000030
60.022471,-164.480906,50.221460,-3.176083,-3.140814,-0.006074,0.004923,-0.000041,-0.000298,0.000324,-2.030719,8.882992,0.000324,-0.000298,-0.000040
62.023095,-166.481493,50.219938,-3.163931,-3.140896,-0.006670,0.005571,-0.000050,-0.000308,0.000321,-2.043751,8.876826,0.000321,-0.000309,-0.000048
64.023642,-168.481994,50.218590,-3.150587,-3.140996,-0.007288,0.006214,-0.000059,-0.000320,0.000316,-2.056749,8.870594,0.000316,-0.000321,-0.000057
66.024100,-170.482399,50.217450,-3.136009,-3.141114,-0.007928,0.006846,-0.000068,-0.000333,0.000309,-2.069359,8.864351,0.000308,-0.000334,-0.000066
68.024469,-172.482705,50.216555,-3.120150,-3.141250,-0.008595,0.007464,-0.000077,-0.000356,0.000298,-2.080689,8.857592,0.000298,-0.000357,-0.000075
70.024744,-174.482906,50.215942,-3.102958,-3.141405,-0.009307,0.008061,-0.000086,-0.000379,0.000280,-2.092813,8.850215,0.000279,-0.000379,-0.000083
72.024922,-176.482997,50.215647,-3.084343,-3.141577,-0.010064,0.008621,-0.000095,-0.000394,0.000254,-2.103455,8.841945,0.000253,-0.000395,-0.000091
74.025004,-178.482978,50.215704,-3.064214,3.141419,-0.010853,0.009129,-0.000103,-0.000399,0.000221,-2.110931,8.833098,0.000220,-0.000400,-0.000099
76.024984,-180.482840,50.216147,-3.042511,3.141213,-0.011651,0.009571,-0.000111,-0.000395,0.000186,-2.114744,8.824299,0.000184,-0.000396,-0.000107
78.024863,-182.482584,50.217011,-3.019212,3.140991,-0.012440,0.009943,-0.000118,-0.000385,0.000149,-2.114796,8.815432,0.000147,-0.000386,-0.000115
