s_m,x_m,y_m,z_m,theta_rad,mu_rad,phi_rad,dtheta_radpm,dmu_radpm,dphi_radpm,w_tr_right_m,w_tr_left_m,omega_x_radpm,omega_y_radpm,omega_z_radpm
0.000000,-30.783002,-121.875145,25.322381,0.140458,0.000661,-0.020109,-0.000006,-0.000136,-0.000014,-7.275931,7.253250,-0.000014,-0.000136,-0.000009
1.999595,-28.803100,-121.595194,25.321060,0.140446,0.000389,-0.020138,-0.000012,0.000272,-0.000067,-7.257698,7.258909,-0.000067,0.000272,-0.000006
3.999191,-26.823194,-121.315281,25.320281,0.140422,0.000933,-0.020272,-0.000016,0.000126,0.000007,-7.275718,7.247487,0.000007,0.000127,-0.000013
5.998786,-24.843283,-121.035403,25.318415,0.140390,0.001186,-0.020257,-0.000008,-0.000197,0.000038,-7.247242,7.239681,0.000038,-0.000197,-0.000012
7.998383,-22.863362,-120.755595,25.316044,0.140374,0.000792,-0.020181,-0.000009,-0.000090,-0.000003,-7.238945,7.257837,-0.000003,-0.000090,-0.000011
9.997978,-20.883436,-120.475819,25.314459,0.140357,0.000613,-0.020187,-0.000015,0.000121,0.000032,-7.268119,7.247676,0.000032,0.000121,-0.000012
11.997574,-18.903506,-120.196077,25.313234,0.140327,0.000854,-0.020123,-0.000008,-0.000123,0.000064,-7.259065,7.215052,0.000064,-0.000123,-0.000010
13.997169,-16.923567,-119.916398,25.311526,0.140312,0.000609,-0.019996,-0.000009,0.000024,0.000038,-7.246854,7.226803,0.000038,0.000025,-0.000009
15.996765,-14.943623,-119.636749,25.310309,0.140294,0.000657,-0.019919,-0.000011,-0.000074,0.000064,-7.248637,7.209487,0.000064,-0.000073,-0.000013
17.996360,-12.963675,-119.357129,25.308994,0.140271,0.000510,-0.019792,-0.000008,0.000019,0.000047,-7.266372,7.231243,0.000047,0.000019,-0.000008
19.995955,-10.983720,-119.077567,25.307974,0.140255,0.000548,-0.019698,-0.000005,-0.000329,0.000050,-7.265302,7.207161,0.000050,-0.000329,-0.000011
21.995551,-9.003760,-118.798031,25.306878,0.140245,-0.000111,-0.019598,-0.000010,-0.000034,-0.000041,-7.267148,7.211246,-0.000041,-0.000034,-0.000011
23.995146,-7.023797,-118.518523,25.307099,0.140225,-0.000179,-0.019680,-0.000006,-0.000131,-0.000038,-7.266937,7.207684,-0.000038,-0.000131,-0.000008
25.994741,-5.043826,-118.239064,25.307458,0.140213,-0.000441,-0.019755,-0.000007,0.000022,-0.000031,-7.270036,7.236048,-0.000031,0.000022,-0.000007
27.994336,-3.063852,-117.959630,25.308340,0.140198,-0.000398,-0.019817,-0.000008,-0.000147,-0.000023,-7.272029,7.242499,-0.000023,-0.000147,-0.000011
29.993931,-1.083875,-117.680219,25.309135,0.140183,-0.000692,-0.019862,-0.000008,0.000138,-0.000063,-7.261105,7.246063,-0.000063,0.000138,-0.000005
31.993526,0.896108,-117.400852,25.310519,0.140167,-0.000417,-0.019989,-0.000005,-0.000060,-0.000025,-7.277057,7.216778,-0.000025,-0.000060,-0.000007
33.993122,2.876095,-117.121506,25.311353,0.140156,-0.000537,-0.020039,-0.000009,0.000047,-0.000043,-7.288159,7.238062,-0.000043,0.000047,-0.000008
35.992717,4.856084,-116.842181,25.312427,0.140139,-0.000443,-0.020124,-0.000007,0.000138,-0.000029,-7.277610,7.213826,-0.000029,0.000138,-0.000004
37.992312,6.836078,-116.562894,25.313313,0.140126,-0.000167,-0.020182,-0.000008,0.000240,0.000010,-7.277726,7.219151,0.000010,0.000241,-0.000003
39.991907,8.816075,-116.283624,25.313648,0.140111,0.000313,-0.020163,-0.000008,0.000098,0.000031,-7.271726,7.257309,0.000031,0.000098,-0.000006
41.991502,10.796075,-116.004372,25.313021,0.140095,0.000509,-0.020101,-0.000005,0.000082,0.000052,-7.281933,7.248613,0.000052,0.000082,-0.000004
43.991097,12.776079,-115.725151,25.312004,0.140085,0.000673,-0.019997,-0.000004,-0.000008,0.000073,-7.286463,7.235775,0.000073,-0.000008,-0.000004
45.990693,14.756085,-115.445945,25.310659,0.140077,0.000658,-0.019852,-0.000005,-0.000000,0.000072,-7.290121,7.253582,0.000072,-0.000000,-0.000005
47.990288,16.736093,-115.166754,25.309344,0.140066,0.000657,-0.019708,-0.000002,-0.000109,0.000071,-7.293698,7.269481,0.000071,-0.000109,-0.000005
49.989883,18.716105,-114.887588,25.308029,0.140061,0.000440,-0.019565,-0.000005,0.000158,0.000043,-7.262693,7.250452,0.000043,0.000158,-0.000002
51.989479,20.696118,-114.608433,25.307149,0.140051,0.000756,-0.019480,-0.000004,-0.000035,0.000084,-7.290166,7.246421,0.000084,-0.000035,-0.000004
53.989074,22.676133,-114.329289,25.305637,0.140044,0.000686,-0.019313,-0.000000,-0.000220,0.000076,-7.282411,7.270607,0.000076,-0.000220,-0.000005
55.988670,24.656151,-114.050165,25.304266,0.140043,0.000245,-0.019162,0.000000,-0.000266,0.000016,-7.265773,7.272068,0.000016,-0.000266,-0.000005
57.988265,26.636169,-113.771049,25.303776,0.140043,-0.000287,-0.019129,-0.000003,0.000011,-0.000063,-7.260543,7.242926,-0.000063,0.000011,-0.000003
59.987860,28.616189,-113.491941,25.304351,0.140037,-0.000265,-0.019255,-0.000001,-0.000067,-0.000060,-7.276434,7.255714,-0.000060,-0.000067,-0.000002
61.987455,30.596211,-113.212846,25.304880,0.140035,-0.000399,-0.019375,-0.000002,0.000068,-0.000076,-7.286637,7.276166,-0.000076,0.000068,-0.000001
63.987050,32.576234,-112.933756,25.305678,0.140031,-0.000263,-0.019528,-0.000002,0.000071,-0.000058,-7.287216,7.262172,-0.000058,0.000071,-0.000001
65.986645,34.556257,-112.654671,25.306204,0.140026,-0.000121,-0.019645,0.000002,-0.000227,-0.000040,-7.274208,7.263089,-0.000040,-0.000227,-0.000003
67.986240,36.536281,-112.375593,25.306446,0.140030,-0.000574,-0.019726,-0.000002,0.000102,-0.000100,-7.255922,7.286757,-0.000100,0.000102,0.000000
69.985835,38.516305,-112.096517,25.307594,0.140026,-0.000370,-0.019926,-0.000000,0.000004,-0.000073,-7.278310,7.257132,-0.000073,0.000004,-0.000000
71.985430,40.496330,-111.817443,25.308335,0.140026,-0.000363,-0.020072,0.000000,0.000025,-0.000072,-7.285603,7.255152,-0.000072,0.000025,0.000001
73.985025,42.476355,-111.538369,25.309060,0.140026,-0.000313,-0.020217,0.000004,-0.000333,-0.000014,-7.289645,7.253878,-0.000014,-0.000333,-0.000003
75.984620,44.456379,-111.259294,25.309686,0.140033,-0.000979,-0.020245,0.000002,-0.000090,0.000000,-7.254375,7.265589,0.000000,-0.000090,0.000000
77.984216,46.436403,-110.980218,25.311645,0.140037,-0.001159,-0.020244,0.000000,0.000082,-0.000010,-7.251551,7.263400,-0.000010,0.000082,0.000002
79.983813,48.416427,-110.701136,25.313962,0.140038,-0.000995,-0.020264,0.000002,-0.000030,0.000012,-7.272715,7.260178,0.000012,-0.000030,0.000001
81.983409,50.396450,-110.422050,25.315951,0.140041,-0.001055,-0.020240,0.000002,0.000064,0.000004,-7.266779,7.261376,0.000004,0.000064,0.000003
83.983005,52.376472,-110.142960,25.318061,0.140045,-0.000928,-0.020232,0.000003,-0.000118,0.000020,-7.272820,7.263486,0.000020,-0.000118,0.000001
85.982601,54.356493,-109.863858,25.319917,0.140051,-0.001165,-0.020192,0.000000,0.000204,-0.000010,-7.261351,7.272133,-0.000010,0.000204,0.000004
87.982197,56.336513,-109.584748,25.322246,0.140051,-0.000757,-0.020213,0.000005,-0.000115,0.000042,-7.281515,7.266415,0.000042,-0.000115,0.000002
89.981792,58.316531,-109.305631,25.323760,0.140061,-0.000986,-0.020129,-0.000002,0.000456,-0.000019,-7.250003,7.288675,-0.000019,0.000456,0.000008
91.981388,60.296547,-109.026496,25.325733,0.140058,-0.000075,-0.020167,0.000003,-0.000022,-0.000013,-7.254754,7.257791,-0.000013,-0.000022,0.000003
93.980983,62.276562,-108.747349,25.325883,0.140065,-0.000119,-0.020194,0.000005,-0.000047,-0.000011,-7.279056,7.294166,-0.000011,-0.000047,0.000004
95.980578,64.256575,-108.468193,25.326121,0.140075,-0.000213,-0.020216,0.000003,0.000058,-0.000028,-7.250499,7.272515,-0.000028,0.000058,0.000005
97.980173,66.236585,-108.189012,25.326547,0.140082,-0.000096,-0.020273,0.000005,-0.000068,-0.000012,-7.272824,7.282702,-0.000012,-0.000069,0.000003
99.979768,68.216592,-107.909818,25.326738,0.140092,-0.000233,-0.020297,0.000006,0.000054,-0.000029,-7.264958,7.284391,-0.000029,0.000054,0.000007
101.979363,70.196598,-107.630609,25.327203,0.140103,-0.000125,-0.020355,0.000005,0.000044,-0.000013,-7.268302,7.271976,-0.000013,0.000044,0.000005
103.978958,72.176600,-107.351371,25.327454,0.140112,-0.000037,-0.020382,0.000003,0.000160,-0.000004,-7.249008,7.258099,-0.000004,0.000160,0.000007
105.978553,74.156599,-107.072115,25.327528,0.140119,0.000282,-0.020390,0.000007,0.000061,-0.000003,-7.246955,7.267708,-0.000003,0.000061,0.000008
107.978148,76.136595,-106.792842,25.326963,0.140132,0.000404,-0.020396,0.000007,-0.000093,0.000010,-7.268399,7.282818,0.000010,-0.000093,0.000005
109.977744,78.116587,-106.513533,25.326155,0.140146,0.000218,-0.020376,0.000005,0.000102,-0.000013,-7.277254,7.298213,-0.000013,0.000101,0.000007
111.977339,80.096576,-106.234204,25.325719,0.140156,0.000421,-0.020402,0.000008,0.000050,0.000012,-7.279548,7.273327,0.000012,0.000050,0.000009
113.976934,82.076561,-105.954854,25.324876,0.140172,0.000522,-0.020378,0.000008,-0.000124,0.000027,-7.275141,7.279192,0.000027,-0.000124,0.000006
115.976529,84.056541,-105.675463,25.323832,0.140188,0.000274,-0.020324,0.000007,0.000033,-0.000007,-7.247604,7.282315,-0.000007,0.000033,0.000007
117.976124,86.036518,-105.396047,25.323284,0.140201,0.000340,-0.020339,0.000010,-0.000003,0.000003,-7.265739,7.282055,0.000003,-0.000004,0.000010
119.975719,88.016491,-105.116608,25.322604,0.140221,0.000333,-0.020332,0.000008,-0.000001,0.000016,-7.262530,7.275468,0.000016,-0.000001,0.000008
121.975314,89.996457,-104.837122,25.321938,0.140237,0.000332,-0.020300,0.000008,-0.000003,0.000019,-7.266131,7.283561,0.000019,-0.000003,0.000008
123.974909,91.976420,-104.557607,25.321274,0.140253,0.000327,-0.020263,0.000012,-0.000033,0.000016,-7.261878,7.284372,0.000016,-0.000034,0.000011
125.974504,93.956379,-104.278066,25.320620,0.140276,0.000260,-0.020230,0.000008,0.000077,0.000010,-7.246120,7.271499,0.000010,0.000077,0.000010
127.974099,95.936330,-103.998472,25.320100,0.140292,0.000415,-0.020211,0.000009,-0.000062,0.000029,-7.275307,7.293475,0.000029,-0.000062,0.000008
129.973694,97.916277,-103.718847,25.319270,0.140310,0.000291,-0.020154,0.000014,-0.000183,0.000013,-7.250411,7.287975,0.000013,-0.000184,0.000011
131.973290,99.896220,-103.439192,25.318688,0.140339,-0.000076,-0.020128,0.000011,-0.000122,-0.000033,-7.241066,7.275694,-0.000033,-0.000123,0.000008
133.972885,101.876154,-103.159477,25.318840,0.140361,-0.000320,-0.020195,0.000009,0.000058,-0.000055,-7.260076,7.270132,-0.000055,0.000058,0.000010
135.972480,103.856083,-102.879728,25.319481,0.140379,-0.000204,-0.020306,0.000016,-0.000223,-0.000038,-7.263694,7.279796,-0.000038,-0.000223,0.000012
137.972075,105.836008,-102.599946,25.319888,0.140411,-0.000649,-0.020381,0.000008,0.000224,-0.000097,-7.246399,7.292319,-0.000097,0.000224,0.000013
139.971670,107.815924,-102.320099,25.321185,0.140428,-0.000200,-0.020574,0.000011,-0.000090,-0.000038,-7.279772,7.270488,-0.000038,-0.000090,0.000010
141.971265,109.795834,-102.040214,25.321585,0.140451,-0.000380,-0.020650,0.000015,0.000036,-0.000060,-7.269790,7.290271,-0.000060,0.000036,0.000015
143.970860,111.775739,-101.760293,25.322345,0.140480,-0.000308,-0.020771,0.000011,0.000085,0.000022,-7.267355,7.277128,0.000022,0.000085,0.000013
145.970455,113.755634,-101.480301,25.322961,0.140502,-0.000138,-0.020727,0.000010,0.000103,0.000071,-7.284423,7.264151,0.000071,0.000102,0.000012
147.970050,115.735523,-101.200268,25.323236,0.140523,0.000068,-0.020585,0.000018,-0.000134,0.000097,-7.283299,7.264631,0.000097,-0.000134,0.000015
149.969645,117.715407,-100.920195,25.323101,0.140558,-0.000200,-0.020392,0.000013,-0.000005,0.000064,-7.280873,7.302137,0.000064,-0.000005,0.000013
151.969240,119.695280,-100.640045,25.323501,0.140583,-0.000211,-0.020265,0.000016,-0.000315,0.000060,-7.261709,7.273647,0.000060,-0.000315,0.000009
153.968835,121.675146,-100.359851,25.323922,0.140614,-0.000839,-0.020145,0.000019,-0.000147,-0.000010,-7.281157,7.282900,-0.000010,-0.000147,0.000016
155.968431,123.655007,-100.079614,25.325601,0.140653,-0.001133,-0.020165,0.000013,0.000047,-0.000046,-7.260754,7.290325,-0.000046,0.000046,0.000014
157.968027,125.634855,-99.799294,25.327866,0.140679,-0.001040,-0.020257,0.000014,-0.000072,-0.000034,-7.268846,7.285598,-0.000034,-0.000073,0.000013
159.967623,127.614697,-99.518926,25.329945,0.140707,-0.001185,-0.020326,0.000019,-0.000024,-0.000054,-7.271325,7.294989,-0.000054,-0.000024,0.000019
161.967220,129.594533,-99.238513,25.332314,0.140745,-0.001232,-0.020435,0.000026,-0.001102,-0.000059,-7.280573,7.284845,-0.000059,-0.001103,0.000003
163.966816,131.574356,-98.958011,25.334778,0.140797,-0.003436,-0.020553,0.000019,-0.000514,0.000022,-7.275318,7.265497,0.000022,-0.000514,0.000009
165.966423,133.554171,-98.677457,25.341650,0.140836,-0.004464,-0.020509,0.000019,0.000101,-0.000002,-7.259420,7.291153,-0.000001,0.000101,0.000021
167.966038,135.533980,-98.396854,25.350578,0.140874,-0.004262,-0.020512,0.000016,-0.000020,0.000026,-7.285821,7.286271,0.000026,-0.000020,0.000015
169.965651,137.513775,-98.116157,25.359101,0.140905,-0.004302,-0.020461,0.000015,0.000012,0.000020,-7.277282,7.284886,0.000020,0.000012,0.000015
171.965264,139.493562,-97.835405,25.367704,0.140935,-0.004277,-0.020421,0.000022,-0.000059,0.000024,-7.286567,7.294404,0.000024,-0.000059,0.000021
173.964878,141.473342,-97.554601,25.376258,0.140979,-0.004395,-0.020373,0.000020,-0.000391,0.000007,-7.266218,7.278179,0.000007,-0.000391,0.000012
175.964492,143.453108,-97.273696,25.385046,0.141020,-0.005176,-0.020359,0.000019,-0.000340,-0.000009,-7.285004,7.278981,-0.000009,-0.000341,0.000013
177.964114,145.432866,-96.992733,25.395397,0.141059,-0.005857,-0.020376,0.000023,0.000010,-0.000024,-7.261527,7.265920,-0.000024,0.000010,0.000023
179.963743,147.412616,-96.711715,25.407110,0.141104,-0.005837,-0.020424,0.000018,-0.000071,-0.000018,-7.291564,7.295053,-0.000018,-0.000072,0.000017
181.963372,149.392350,-96.430591,25.418782,0.141141,-0.005980,-0.020460,0.000017,0.000032,-0.000037,-7.281346,7.290626,-0.000037,0.000032,0.000017
183.963003,151.372076,-96.149404,25.430740,0.141174,-0.005915,-0.020535,0.000023,0.000084,-0.000029,-7.283026,7.270668,-0.000029,0.000084,0.000025
185.962633,153.351793,-95.868160,25.442568,0.141220,-0.005746,-0.020593,0.000017,-0.000108,-0.000009,-7.283882,7.261642,-0.000009,-0.000109,0.000014
187.962261,155.331495,-95.586804,25.454059,0.141254,-0.005963,-0.020611,0.000013,0.000013,-0.000034,-7.296769,7.295330,-0.000034,0.000013,0.000013
189.961891,157.311189,-95.305395,25.465983,0.141279,-0.005936,-0.020679,0.000006,0.000309,-0.000034,-7.290601,7.270690,-0.000034,0.000308,0.000012
191.961521,159.290877,-95.023943,25.477854,0.141290,-0.005319,-0.020748,-0.000006,0.000304,-0.000008,-7.314419,7.284430,-0.000008,0.000304,0.000000
193.961145,161.270561,-94.742461,25.488491,0.141277,-0.004711,-0.020765,-0.000009,0.000221,-0.000004,-7.311656,7.269095,-0.000004,0.000221,-0.000004
195.960762,163.250248,-94.461001,25.497912,0.141260,-0.004269,-0.020773,-0.000017,-0.000226,0.000054,-7.318028,7.256583,0.000054,-0.000226,-0.000022
197.960375,165.229938,-94.179564,25.506448,0.141225,-0.004721,-0.020666,-0.000024,-0.000024,-0.000006,-7.286125,7.290300,-0.000006,-0.000023,-0.000025
199.959992,167.209643,-93.898230,25.515890,0.141176,-0.004769,-0.020678,-0.000027,0.000001,-0.000012,-7.289919,7.276123,-0.000012,0.000002,-0.000027
201.959610,169.189362,-93.616995,25.525428,0.141122,-0.004767,-0.020702,-0.000050,0.000242,-0.000012,-7.301873,7.262189,-0.000012,0.000243,-0.000045
203.959228,171.169094,-93.335853,25.534961,0.141022,-0.004282,-0.020725,-0.000044,-0.000200,0.000052,-7.313751,7.248664,0.000052,-0.000199,-0.000048
205.958841,173.148860,-93.054945,25.543526,0.140934,-0.004682,-0.020621,-0.000047,-0.000027,0.000001,-7.286379,7.285436,0.000001,-0.000026,-0.000048
207.958458,175.128650,-92.774213,25.552889,0.140839,-0.004735,-0.020619,-0.000074,-0.000248,0.000026,-7.282415,7.272505,0.000025,-0.000247,-0.000079
209.958075,177.108463,-92.493644,25.562359,0.140692,-0.005232,-0.020568,-0.000068,-0.000029,0.000090,-7.276735,7.268534,0.000090,-0.000028,-0.000068
211.957698,179.088328,-92.213440,25.572822,0.140557,-0.005290,-0.020388,-0.000069,0.000013,0.000084,-7.292093,7.280859,0.000083,0.000014,-0.000068
213.957320,181.068229,-91.933491,25.583403,0.140419,-0.005265,-0.020220,-0.000106,0.000126,0.000088,-7.299324,7.274404,0.000087,0.000128,-0.000103
215.956943,183.048163,-91.653774,25.593933,0.140208,-0.005013,-0.020045,-0.000088,-0.000184,0.000119,-7.294245,7.259790,0.000119,-0.000182,-0.000092
217.956563,185.028167,-91.374553,25.603959,0.140032,-0.005380,-0.019806,-0.000091,0.000162,0.000072,-7.288667,7.294033,0.000072,0.000164,-0.000087
219.956187,187.008218,-91.095665,25.614720,0.139851,-0.005056,-0.019662,-0.000133,-0.000030,0.000121,-7.316061,7.293533,0.000120,-0.000028,-0.000133
221.955808,188.988312,-90.817081,25.624832,0.139586,-0.005117,-0.019420,-0.000112,0.000097,-0.000007,-7.277472,7.294659,-0.000008,0.000099,-0.000110
223.955429,190.968493,-90.539122,25.635066,0.139361,-0.004923,-0.019434,-0.000109,-0.000025,-0.000050,-7.300869,7.296549,-0.000050,-0.000022,-0.000110
225.955048,192.948733,-90.261577,25.644913,0.139143,-0.004972,-0.019534,-0.000161,0.000070,-0.000055,-7.274431,7.272987,-0.000056,0.000073,-0.000160
227.954668,194.929025,-89.984406,25.654858,0.138821,-0.004832,-0.019643,-0.000132,-0.000150,-0.000033,-7.289223,7.274137,-0.000034,-0.000147,-0.000135
229.954286,196.909422,-89.707988,25.664522,0.138557,-0.005131,-0.019710,-0.000122,-0.000727,-0.000070,-7.289807,7.294724,-0.000071,-0.000724,-0.000136
231.953907,198.889889,-89.432067,25.674785,0.138314,-0.006584,-0.019850,-0.000178,-0.000140,-0.000090,-7.302164,7.298077,-0.000091,-0.000136,-0.000180
233.953546,200.870417,-89.156589,25.687952,0.137959,-0.006863,-0.020030,-0.000073,-0.000080,-0.000077,-7.281910,7.289149,-0.000077,-0.000078,-0.000074
235.953188,202.851061,-88.881949,25.701680,0.137813,-0.007022,-0.020183,-0.000023,0.000265,-0.000101,-7.272534,7.308141,-0.000101,0.000266,-0.000018
237.952832,204.831731,-88.607488,25.715724,0.137767,-0.006492,-0.020385,0.000108,0.000398,-0.000051,-7.252224,7.282267,-0.000050,0.000395,0.000116
239.952469,206.812410,-88.333102,25.728707,0.137983,-0.005696,-0.020486,0.000240,-0.000071,0.000008,-7.257903,7.298410,0.000009,-0.000076,0.000239
241.952097,208.792995,-88.058029,25.740097,0.138463,-0.005839,-0.020470,0.000280,0.000472,-0.000018,-7.248453,7.312095,-0.000016,0.000467,0.000289
243.951725,210.773434,-87.781911,25.751771,0.139022,-0.004894,-0.020506,0.000531,0.000490,0.000011,-7.236390,7.289206,0.000014,0.000479,0.000541
245.951344,212.753734,-87.504802,25.761557,0.140084,-0.003915,-0.020484,0.000572,-0.000000,0.000024,-7.247385,7.291254,0.000026,-0.000012,0.000572
247.950954,214.733665,-87.225062,25.769381,0.141228,-0.003916,-0.020436,0.000596,-0.000334,0.000022,-7.261030,7.297845,0.000025,-0.000346,0.000589
249.950564,216.713272,-86.943049,25.777206,0.142419,-0.004584,-0.020391,0.000957,-0.000101,0.000010,-7.243972,7.293458,0.000015,-0.000120,0.000955
251.950179,218.692590,-86.659007,25.786370,0.144334,-0.004786,-0.020370,0.000892,0.000004,0.000005,-7.255454,7.293208,0.000009,-0.000015,0.000892
253.949797,220.671248,-86.370402,25.795929,0.146118,-0.004779,-0.020361,0.000941,-0.000322,0.000133,-7.274193,7.283128,0.000138,-0.000341,0.000934
255.949413,222.649401,-86.078369,25.805475,0.147998,-0.005423,-0.020094,0.001693,0.000375,0.000195,-7.279274,7.293302,0.000205,0.000341,0.001701
257.949036,224.627093,-85.783232,25.816315,0.151385,-0.004672,-0.019703,0.004158,0.000134,0.000174,-7.296607,7.249105,0.000194,0.000052,0.004159
259.948653,226.603576,-85.480087,25.825642,0.159698,-0.004404,-0.019355,0.005726,-0.001201,0.000121,-7.318476,7.230947,0.000147,-0.001312,0.005702
261.948193,228.577013,-85.158167,25.834408,0.171147,-0.006806,-0.019113,0.014246,-0.000342,-0.000059,-7.351266,7.231709,0.000038,-0.000614,0.014236
263.947773,230.547364,-84.817799,25.848019,0.199633,-0.007490,-0.019230,0.016944,0.000099,-0.000295,-7.373929,7.248725,-0.000168,-0.000227,0.016942
