s_m,x_m,y_m,z_m,theta_rad,mu_rad,phi_rad,dtheta_radpm,dmu_radpm,dphi_radpm,w_tr_right_m,w_tr_left_m,omega_x_radpm,omega_y_radpm,omega_z_radpm
0.000000,-104.462612,50.178107,-3.333915,3.137998,-0.001246,0.010552,0.000104,-0.000159,-0.000086,-1.498742,9.265849,-0.000086,-0.000158,0.000106
1.999811,-106.462408,50.185085,-3.331113,3.138209,-0.001552,0.010323,0.000106,-0.000147,-0.000143,-1.511915,9.251848,-0.000143,-0.000146,0.000108
3.999622,-108.462206,50.191639,-3.327725,3.138423,-0.001830,0.009985,0.000108,-0.000130,-0.000195,-1.526116,9.237377,-0.000194,-0.000129,0.000109
5.999433,-110.462003,50.197760,-3.323820,3.138641,-0.002069,0.009550,0.000110,-0.000109,-0.000240,-1.540937,9.222188,-0.000240,-0.000108,0.000111
7.999244,-112.461802,50.203443,-3.319478,3.138862,-0.002265,0.009032,0.000111,-0.000087,-0.000279,-1.556681,9.206638,-0.000279,-0.000086,0.000112
9.999055,-114.461600,50.208682,-3.314791,3.139085,-0.002415,0.008442,0.000112,-0.000063,-0.000311,-1.573337,9.191019,-0.000310,-0.000062,0.000113
11.998866,-116.461399,50.213472,-3.309852,3.139310,-0.002517,0.007796,0.000113,-0.000039,-0.000336,-1.591038,9.174758,-0.000335,-0.000038,0.000113
13.998677,-118.461199,50.217812,-3.304755,3.139535,-0.002573,0.007106,0.000113,-0.000017,-0.000354,-1.609482,9.158607,-0.000354,-0.000016,0.000113
15.998487,-120.460999,50.221700,-3.299588,3.139761,-0.002588,0.006386,0.000113,0.000003,-0.000366,-1.628351,9.141743,-0.000366,0.000003,0.000113
17.998298,-122.460801,50.225138,-3.294429,3.139986,-0.002566,0.005649,0.000112,0.000020,-0.000371,-1.647697,9.124955,-0.000371,0.000020,0.000112
19.998109,-124.460603,50.228129,-3.289346,3.140208,-0.002513,0.004910,0.000110,0.000033,-0.000368,-1.667486,9.108658,-0.000368,0.000034,0.000110
21.997920,-126.460406,50.230678,-3.284393,3.140427,-0.002437,0.004183,0.000108,0.000043,-0.000358,-1.687717,9.092762,-0.000358,0.000043,0.000108
23.997731,-128.460210,50.232795,-3.279609,3.140641,-0.002346,0.003485,0.000106,0.000048,-0.000340,-1.708067,9.077558,-0.000340,0.000049,0.000106
25.997542,-130.460015,50.234489,-3.275016,3.140849,-0.002248,0.002831,0.000102,0.000050,-0.000315,-1.728223,9.063193,-0.000314,0.000050,0.000102
27.997353,-132.459821,50.235774,-3.270617,3.141050,-0.002152,0.002233,0.000098,0.000046,-0.000283,-1.748360,9.048885,-0.000282,0.000046,0.000098
29.997164,-134.459627,50.236666,-3.266401,3.141242,-0.002067,0.001706,0.000094,0.000039,-0.000245,-1.768286,9.034691,-0.000245,0.000039,0.000094
31.996975,-136.459434,50.237184,-3.262337,3.141424,-0.002001,0.001259,0.000089,0.000027,-0.000202,-1.787772,9.021630,-0.000201,0.000027,0.000088
33.996786,-138.459241,50.237348,-3.258378,3.141595,-0.001963,0.000905,0.000083,0.000011,-0.000153,-1.807656,9.008979,-0.000153,0.000012,0.000083
