s_m,x_m,y_m,z_m,theta_rad,mu_rad,phi_rad,dtheta_radpm,dmu_radpm,dphi_radpm,w_tr_right_m,w_tr_left_m,omega_x_radpm,omega_y_radpm,omega_z_radpm
0.000000,-104.498856,46.311966,-3.293153,3.131194,-0.000951,0.010580,0.000024,-0.000035,-0.000096,-5.365278,5.399150,-0.000096,-0.000034,0.000024
1.999967,-106.498714,46.332713,-3.291183,3.131244,-0.001017,0.010333,0.000027,-0.000031,-0.000151,-5.364705,5.398860,-0.000151,-0.000030,0.000027
3.999935,-108.498574,46.353353,-3.289092,3.131301,-0.001072,0.009977,0.000030,-0.000025,-0.000205,-5.364798,5.398477,-0.000205,-0.000025,0.000031
5.999902,-110.498435,46.373871,-3.286902,3.131367,-0.001115,0.009521,0.000035,-0.000018,-0.000251,-5.365203,5.397663,-0.000251,-0.000018,0.000035
7.999869,-112.498297,46.394247,-3.284640,3.131443,-0.001145,0.008984,0.000041,-0.000011,-0.000286,-5.366231,5.396803,-0.000286,-0.000011,0.000041
9.999836,-114.498161,46.414459,-3.282332,3.131532,-0.001160,0.008389,0.000047,-0.000004,-0.000310,-5.367888,5.396169,-0.000310,-0.000004,0.000047
11.999804,-116.498026,46.434481,-3.280006,3.131634,-0.001163,0.007750,0.000055,0.000001,-0.000329,-5.370336,5.395123,-0.000329,0.000002,0.000055
13.999771,-118.497894,46.454284,-3.277686,3.131750,-0.001156,0.007075,0.000062,0.000006,-0.000346,-5.373295,5.394458,-0.000346,0.000007,0.000062
15.999738,-120.497765,46.473838,-3.275389,3.131883,-0.001140,0.006367,0.000071,0.000010,-0.000361,-5.376478,5.393239,-0.000361,0.000010,0.000070
17.999705,-122.497638,46.493109,-3.273131,3.132033,-0.001118,0.005634,0.000079,0.000011,-0.000372,-5.379972,5.392298,-0.000372,0.000012,0.000079
19.999673,-124.497514,46.512065,-3.270916,3.132199,-0.001096,0.004889,0.000088,0.000011,-0.000374,-5.383778,5.391998,-0.000374,0.000011,0.000087
21.999640,-126.497393,46.530670,-3.268744,3.132383,-0.001077,0.004151,0.000096,0.000008,-0.000364,-5.387943,5.392180,-0.000364,0.000008,0.000096
23.999607,-128.497277,46.548892,-3.266601,3.132583,-0.001068,0.003443,0.000104,0.000002,-0.000343,-5.392179,5.393118,-0.000343,0.000002,0.000104
25.999574,-130.497163,46.566697,-3.264463,3.132799,-0.001074,0.002787,0.000112,-0.000008,-0.000312,-5.396214,5.394908,-0.000312,-0.000008,0.000112
27.999542,-132.497054,46.584053,-3.262292,3.133031,-0.001103,0.002198,0.000119,-0.000021,-0.000277,-5.400277,5.396676,-0.000277,-0.000021,0.000119
29.999509,-134.496949,46.600933,-3.260033,3.133276,-0.001162,0.001680,0.000126,-0.000038,-0.000241,-5.404214,5.398478,-0.000241,-0.000038,0.000126
