s_m,x_m,y_m,z_m,theta_rad,mu_rad,phi_rad,dtheta_radpm,dmu_radpm,dphi_radpm,w_tr_right_m,w_tr_left_m,omega_x_radpm,omega_y_radpm,omega_z_radpm
0.000000,-31.930871,-122.676492,25.322379,0.140908,-0.001072,0.000000,-0.000006,-0.000100,0.000000,-7.103292,7.125437,0.000000,-0.000100,-0.000006
2.997226,-28.963353,-122.255554,25.319167,0.140890,-0.001371,0.000000,-0.000009,-0.000066,0.000000,-7.099992,7.109500,0.000000,-0.000066,-0.000009
5.994456,-25.995815,-121.834727,25.314163,0.140853,-0.001466,0.000000,-0.000012,0.000032,0.000000,-7.102412,7.092822,0.000000,0.000032,-0.000012
8.991690,-23.028259,-121.414006,25.310379,0.140818,-0.001180,0.000000,-0.000011,0.000170,0.000000,-7.106014,7.076333,0.000000,0.000170,-0.000011
11.988927,-20.060684,-120.993385,25.307088,0.140785,-0.000448,0.000000,-0.000011,0.000287,0.000000,-7.110737,7.061117,0.000000,0.000287,-0.000011
14.986167,-17.093093,-120.572860,25.307691,0.140754,0.000541,0.000000,-0.000010,0.000215,0.000000,-7.114915,7.049165,0.000000,0.000215,-0.000010
17.983410,-14.125486,-120.152425,25.310330,0.140724,0.000840,0.000000,-0.000010,-0.000028,0.000000,-7.118454,7.040977,0.000000,-0.000028,-0.000010
20.980657,-11.157863,-119.732074,25.312726,0.140696,0.000371,0.000000,-0.000009,-0.000230,0.000000,-7.121546,7.036657,0.000000,-0.000230,-0.000009
23.977907,-8.190226,-119.311802,25.312554,0.140670,-0.000538,0.000000,-0.000008,-0.000231,0.000000,-7.124058,7.031333,0.000000,-0.000231,-0.000008
26.975160,-5.222575,-118.891604,25.309502,0.140646,-0.001013,0.000000,-0.000008,-0.000067,0.000000,-7.125988,7.024027,0.000000,-0.000067,-0.000008
29.972417,-2.254912,-118.471476,25.306479,0.140624,-0.000938,0.000000,-0.000007,0.000146,0.000000,-7.127414,7.016625,0.000000,0.000146,-0.000007
32.969676,0.712764,-118.051410,25.303881,0.140603,-0.000137,0.000000,-0.000007,0.000248,0.000000,-7.128421,7.011395,0.000000,0.000248,-0.000007
35.966938,3.680451,-117.631402,25.305658,0.140584,0.000547,0.000000,-0.000006,0.000122,0.000000,-7.129070,7.010447,0.000000,0.000122,-0.000006
38.964203,6.648148,-117.211448,25.307158,0.140567,0.000594,0.000000,-0.000005,0.000070,0.000000,-7.129412,7.015070,0.000000,0.000070,-0.000005
41.961470,9.615854,-116.791540,25.309216,0.140552,0.000965,0.000000,-0.000005,0.000150,0.000000,-7.129500,7.023848,0.000000,0.000150,-0.000005
44.958741,12.583570,-116.371675,25.312940,0.140539,0.001493,0.000000,-0.000004,0.000137,0.000000,-7.129386,7.034681,0.000000,0.000137,-0.000004
47.956014,15.551293,-115.951846,25.318165,0.140527,0.001788,0.000000,-0.000004,-0.000034,0.000000,-7.129113,7.045551,0.000000,-0.000034,-0.000004
50.953289,18.519024,-115.532049,25.323660,0.140517,0.001288,0.000000,-0.000003,-0.000209,0.000000,-7.128743,7.054586,0.000000,-0.000209,-0.000003
53.950567,21.486760,-115.112278,25.325889,0.140509,0.000534,0.000000,-0.000002,-0.000169,0.000000,-7.128322,7.060662,0.000000,-0.000169,-0.000002
56.947848,24.454502,-114.692527,25.326860,0.140503,0.000273,0.000000,-0.000002,-0.000118,0.000000,-7.127878,7.064537,0.000000,-0.000118,-0.000002
59.945131,27.422249,-114.272793,25.327526,0.140498,-0.000171,0.000000,-0.000001,-0.000142,0.000000,-7.127444,7.067392,0.000000,-0.000142,-0.000001
62.942416,30.390000,-113.853068,25.325836,0.140496,-0.000575,0.000000,-0.000001,-0.000079,0.000000,-7.127064,7.070361,0.000000,-0.000079,-0.000001
65.939703,33.357753,-113.433349,25.324077,0.140495,-0.000642,0.000000,0.000000,-0.000005,0.000000,-7.126794,7.074589,0.000000,-0.000005,0.000000
68.936993,36.325509,-113.013629,25.321988,0.140496,-0.000603,0.000000,0.000001,0.000018,0.000000,-7.126654,7.081280,0.000000,0.000018,0.000001
71.934285,39.293266,-112.593903,25.320461,0.140499,-0.000536,0.000000,0.000001,0.000098,0.000000,-7.126652,7.090765,0.000000,0.000098,0.000001
74.931579,42.261023,-112.174166,25.318773,0.140503,-0.000017,0.000000,0.000002,0.000197,0.000000,-7.126762,7.101921,0.000000,0.000197,0.000002
77.928874,45.228780,-111.754413,25.320357,0.140510,0.000647,0.000000,0.000002,0.000059,0.000000,-7.126345,7.113483,0.000000,0.000059,0.000002
80.926172,48.196537,-111.334638,25.322651,0.140518,0.000336,0.000000,0.000003,-0.000096,0.000000,-7.125858,7.123883,0.000000,-0.000096,0.000003
83.923471,51.164291,-110.914837,25.322373,0.140527,0.000069,0.000000,0.000004,0.000115,0.000000,-7.125339,7.131769,0.000000,0.000115,0.000004
86.920772,54.132042,-110.495002,25.323067,0.140539,0.001024,0.000000,0.000004,0.000335,0.000000,-7.124871,7.136933,0.000000,0.000335,0.000004
89.918075,57.099790,-110.075131,25.328509,0.140553,0.002078,0.000000,0.000005,0.000511,0.000000,-7.124219,7.139691,0.000000,0.000511,0.000005
92.915379,60.067533,-109.655216,25.335524,0.140568,0.004085,0.000000,0.000005,0.000775,0.000000,-7.123272,7.140887,0.000000,0.000775,0.000005
95.912685,63.035271,-109.235253,25.352997,0.140585,0.006721,0.000000,0.000006,0.000716,0.000000,-7.121996,7.141292,0.000000,0.000716,0.000006
98.909992,66.003003,-108.815237,25.375816,0.140604,0.008380,0.000000,0.000007,0.000496,0.000000,-7.120398,7.141635,0.000000,0.000496,0.000007
101.907301,68.970728,-108.395162,25.403232,0.140625,0.009694,0.000000,0.000007,0.000322,0.000000,-7.118478,7.142698,0.000000,0.000322,0.000007
104.904611,71.938446,-107.975022,25.433929,0.140647,0.010311,0.000000,0.000008,0.000023,0.000000,-7.116195,7.145427,0.000000,0.000023,0.000008
107.901922,74.906154,-107.554813,25.465045,0.140671,0.009831,0.000000,0.000008,-0.000266,0.000000,-7.113505,7.150116,0.000000,-0.000266,0.000008
110.899235,77.873854,-107.134529,25.492862,0.140697,0.008714,0.000000,0.000009,-0.000278,0.000000,-7.110317,7.155862,0.000000,-0.000278,0.000009
113.896549,80.841543,-106.714165,25.517280,0.140725,0.008163,0.000000,0.000010,-0.000097,0.000000,-7.106533,7.161372,0.000000,-0.000097,0.000010
116.893863,83.809222,-106.293716,25.541797,0.140755,0.008134,0.000000,0.000010,0.000061,0.000000,-7.102038,7.165039,0.000000,0.000061,0.000010
119.891179,86.776888,-105.873176,25.566041,0.140786,0.008531,0.000000,0.000011,0.000162,0.000000,-7.096739,7.165066,0.000000,0.000162,0.000011
122.888496,89.744542,-105.452540,25.592939,0.140819,0.009103,0.000000,0.000011,0.000133,0.000000,-7.090650,7.161803,0.000000,0.000133,0.000011
125.885813,92.712183,-105.031803,25.620611,0.140854,0.009327,0.000000,0.000012,0.000072,0.000000,-7.084115,7.157586,0.000000,0.000072,0.000012
128.883132,95.679809,-104.610958,25.648853,0.140891,0.009533,0.000000,0.000013,0.000186,0.000000,-7.077279,7.154595,0.000000,0.000186,0.000013
131.880451,98.647420,-104.190002,25.677760,0.140930,0.010443,0.000000,0.000013,0.000218,0.000000,-7.071200,7.154431,0.000000,0.000218,0.000013
134.877771,101.615015,-103.768929,25.711460,0.140970,0.010838,0.000000,0.000014,-0.000170,0.000000,-7.067352,7.156969,0.000000,-0.000170,0.000014
137.875091,104.582594,-103.347733,25.742733,0.141012,0.009427,0.000000,0.000014,-0.000483,0.000000,-7.066440,7.161736,0.000000,-0.000483,0.000014
140.872412,107.550154,-102.926409,25.767971,0.141056,0.007946,0.000000,0.000015,-0.000343,0.000000,-7.067931,7.167661,0.000000,-0.000343,0.000015
143.869733,110.517697,-102.504952,25.790365,0.141102,0.007372,0.000000,0.000016,0.000264,0.000000,-7.072433,7.173570,0.000000,0.000264,0.000016
146.867055,113.485220,-102.083356,25.812166,0.141150,0.009528,0.000000,0.000016,0.000750,0.000000,-7.080372,7.178453,0.000000,0.000750,0.000016
149.864378,116.452723,-101.661616,25.847483,0.141199,0.011870,0.000000,0.000017,0.000338,0.000000,-7.090029,7.181520,0.000000,0.000338,0.000017
152.861700,119.420206,-101.239727,25.883327,0.141250,0.011557,0.000000,0.000017,-0.000217,0.000000,-7.102018,7.180317,0.000000,-0.000217,0.000017
155.859023,122.387666,-100.817684,25.916766,0.141303,0.010571,0.000000,0.000018,-0.000229,0.000000,-7.116302,7.176398,0.000000,-0.000229,0.000018
158.856346,125.355105,-100.395481,25.946696,0.141358,0.010185,0.000000,0.000019,-0.000045,0.000000,-7.132404,7.171491,0.000000,-0.000045,0.000019
161.853669,128.322520,-99.973112,25.977826,0.141414,0.010303,0.000000,0.000019,-0.000023,0.000000,-7.148973,7.167300,0.000000,-0.000023,0.000019
164.850993,131.289910,-99.550573,26.008461,0.141473,0.010046,0.000000,0.000020,0.000116,0.000000,-7.166090,7.165149,0.000000,0.000116,0.000020
167.848316,134.257276,-99.127859,26.038050,0.141533,0.011000,0.000000,0.000020,0.000115,0.000000,-7.183500,7.165563,0.000000,0.000115,0.000020
170.845640,137.224616,-98.704963,26.074404,0.141595,0.010737,0.000000,0.000021,-0.000087,0.000000,-7.200685,7.169293,0.000000,-0.000087,0.000021
173.842963,140.191930,-98.281881,26.102418,0.141658,0.010476,0.000000,0.000022,-0.000039,0.000000,-7.217365,7.175148,0.000000,-0.000039,0.000022
176.840286,143.159216,-97.858608,26.137208,0.141724,0.010503,0.000000,0.000022,-0.000277,0.000000,-7.233263,7.183099,0.000000,-0.000277,0.000022
179.837609,146.126474,-97.435137,26.165382,0.141791,0.008816,0.000000,0.000023,-0.000346,0.000000,-7.248131,7.190850,0.000000,-0.000346,0.000023
182.834932,149.093702,-97.011464,26.190055,0.141860,0.008431,0.000000,0.000023,-0.000163,0.000000,-7.261744,7.195057,0.000000,-0.000163,0.000023
185.832255,152.060901,-96.587583,26.215925,0.141931,0.007840,0.000000,0.000023,-0.000191,0.000000,-7.273724,7.194092,0.000000,-0.000191,0.000023
188.829576,155.028069,-96.163490,26.237056,0.141999,0.007287,0.000000,0.000020,-0.000009,0.000000,-7.283761,7.188913,0.000000,-0.000009,0.000020
191.826889,157.995207,-95.739206,26.259607,0.142052,0.007788,0.000000,0.000014,0.000258,0.000000,-7.290867,7.180869,0.000000,0.000258,0.000014
194.824186,160.962315,-95.314800,26.283741,0.142082,0.008831,0.000000,0.000006,0.000241,0.000000,-7.294834,7.170342,0.000000,0.000241,0.000006
197.821458,163.929396,-94.890346,26.312546,0.142087,0.009232,0.000000,-0.000002,0.000160,0.000000,-7.295034,7.159357,0.000000,0.000160,-0.000002
200.818697,166.896450,-94.465916,26.339086,0.142068,0.009788,0.000000,-0.000010,0.000330,0.000000,-7.290508,7.148742,0.000000,0.000330,-0.000010
203.815893,169.863480,-94.041585,26.371219,0.142024,0.011209,0.000000,-0.000019,0.000291,0.000000,-7.279932,7.138645,0.000000,0.000291,-0.000019
206.813037,172.830487,-93.617425,26.406281,0.141957,0.011529,0.000000,-0.000027,-0.000013,0.000000,-7.261374,7.128558,0.000000,-0.000013,-0.000027
209.810122,175.797473,-93.193511,26.440332,0.141865,0.011133,0.000000,-0.000035,-0.000150,0.000000,-7.231828,7.119789,0.000000,-0.000150,-0.000035
212.807138,178.764440,-92.769914,26.473016,0.141748,0.010628,0.000000,-0.000043,-0.000112,0.000000,-7.186962,7.112522,0.000000,-0.000112,-0.000043
215.804076,181.731388,-92.346710,26.504036,0.141607,0.010460,0.000000,-0.000051,-0.000085,0.000000,-7.128141,7.107048,0.000000,-0.000085,-0.000051
218.800927,184.698319,-91.923971,26.535716,0.141442,0.010116,0.000000,-0.000059,-0.000147,0.000000,-7.064490,7.103805,0.000000,-0.000147,-0.000059
221.797684,187.665236,-91.501770,26.564669,0.141253,0.009576,0.000000,-0.000067,0.000076,0.000000,-7.009277,7.102983,0.000000,0.000076,-0.000067
224.794336,190.632139,-91.080182,26.593113,0.141039,0.010573,0.000000,-0.000075,0.000568,0.000000,-6.971438,7.105149,0.000000,0.000568,-0.000075
227.790877,193.599031,-90.659279,26.628035,0.140801,0.012980,0.000000,-0.000084,0.000833,0.000000,-6.954327,7.109675,0.000000,0.000833,-0.000083
230.787297,196.565912,-90.239135,26.670905,0.140539,0.015563,0.000000,-0.000091,0.000828,0.000000,-6.956540,7.118452,0.000000,0.000828,-0.000091
233.783593,199.532785,-89.819823,26.721305,0.140257,0.017944,0.000000,-0.000085,0.001036,0.000000,-6.974922,7.130846,0.000000,0.001036,-0.000085
236.779842,202.499658,-89.401388,26.778449,0.140027,0.021774,0.000000,-0.000048,0.001291,0.000000,-7.006241,7.144322,0.000000,0.001291,-0.000048
