s_m,x_m,y_m,z_m,theta_rad,mu_rad,phi_rad,dtheta_radpm,dmu_radpm,dphi_radpm,w_tr_right_m,w_tr_left_m,omega_x_radpm,omega_y_radpm,omega_z_radpm
0.000000,-31.521869,-121.994556,25.323004,0.140739,0.000680,-0.020131,0.001721,0.000005,0.000045,-7.261838,7.261838,0.000043,-0.000030,0.001721
1.998743,-29.543506,-121.709864,25.321696,0.142786,0.000626,-0.020103,0.000056,-0.000017,-0.000017,-7.258935,7.258935,-0.000017,-0.000018,0.000056
3.997485,-27.565065,-121.425708,25.320501,0.140962,0.000613,-0.020198,0.000020,0.000066,-0.000038,-7.264730,7.264730,-0.000038,0.000066,0.000021
5.996228,-25.585677,-121.148234,25.319243,0.142867,0.000892,-0.020255,0.000271,0.000112,-0.000006,-7.264234,7.264234,-0.000006,0.000107,0.000273
7.994971,-23.608334,-120.856545,25.316936,0.142046,0.001062,-0.020220,-0.002154,-0.000024,0.000018,-7.246586,7.246586,0.000020,0.000019,-0.002154
9.993713,-21.628493,-120.582321,25.315000,0.134256,0.000795,-0.020183,-0.001291,-0.000089,0.000030,-7.251400,7.251400,0.000031,-0.000062,-0.001293
11.992456,-19.646845,-120.321473,25.313757,0.136884,0.000708,-0.020100,0.001672,-0.000013,0.000045,-7.238024,7.238024,0.000044,-0.000047,0.001671
13.991199,-17.668473,-120.036847,25.312171,0.140939,0.000742,-0.020004,0.000827,-0.000006,0.000049,-7.250561,7.250561,0.000048,-0.000023,0.000827
15.989942,-15.689005,-119.759936,25.310790,0.140191,0.000683,-0.019906,-0.000023,-0.000022,0.000054,-7.229615,7.229615,0.000054,-0.000022,-0.000024
17.988684,-13.710209,-119.478271,25.309442,0.140846,0.000654,-0.019789,-0.000502,-0.000027,0.000059,-7.237088,7.237088,0.000060,-0.000017,-0.000503
19.987427,-11.731106,-119.198765,25.308177,0.138183,0.000577,-0.019669,-0.001059,-0.000085,0.000060,-7.250894,7.250894,0.000060,-0.000064,-0.001060
21.986170,-9.750837,-118.927646,25.307137,0.136614,0.000316,-0.019551,0.000646,-0.000154,0.000029,-7.242749,7.242749,0.000029,-0.000167,0.000642
23.984912,-7.770867,-118.654349,25.306914,0.140763,-0.000041,-0.019553,0.001904,-0.000145,-0.000031,-7.236734,7.236734,-0.000031,-0.000182,0.001900
