X,Y,Z
-3180.42626953125,-11469.55859375,2517.65380859375
-3080.81079101563,-11456.220703125,2517.60522460938
-2978.56860351563,-11440.400390625,2517.48510742188
-2876.01611328125,-11425.486328125,2517.38403320312
-2767.22534179687,-11412.0380859375,2517.32885742187
-2655.86743164063,-11393.927734375,2517.18310546875
-2554.15551757812,-11383.7158203125,2517.17504882812
-2439.54296875,-11363.703125,2516.9921875
-2327.57763671875,-11349.322265625,2516.91967773437
-2206.1363525390598,-11331.8828125,2516.81225585937
-2100.66723632813,-11320.3671875,2516.83935546875
-1978.8505859375,-11303.6591796875,2516.80200195312
-1877.443359375,-11286.46484375,2516.70239257812
-1764.45141601563,-11272.6748046875,2516.70336914062
-1639.23205566406,-11256.5419921875,2516.68676757812
-1516.05065917969,-11238.1240234375,2516.64331054687
-1410.4580078125,-11221.8603515625,2516.59497070312
-1295.45373535156,-11203.921875,2516.53881835937
-1190.721252441406,-11193.462890625,2516.60815429687
-1083.811767578125,-11176.154296875,2516.54296875
-979.106323242188,-11163.1708984375,2516.55981445312
-872.957641601563,-11148.330078125,2516.54272460937
-771.475280761719,-11133.767578125,2516.51928710937
-652.363464355469,-11114.6240234375,2516.45141601562
-529.996948242188,-11096.1328125,2516.4521484375
-415.37753295898403,-11080.08984375,2516.4814453125
-313.1634025573731,-11065.2939453125,2516.49780273438
-200.8875503540039,-11049.4208984375,2516.52416992188
-92.34281921386699,-11035.884765625,2516.58569335937
13.152130126953011,-11022.5791015625,2516.64038085937
135.888153076172,-11002.001953125,2516.60546875
256.766906738281,-10986.6826171875,2516.66796875
368.21740722656295,-10972.556640625,2516.72509765625
469.527404785156,-10957.306640625,2516.7314453125
571.492553710938,-10943.6279296875,2516.76831054688
689.683349609375,-10922.38671875,2516.70581054687
805.27990722656,-10906.4404296875,2516.740234375
909.64978027344,-10892.0390625,2516.732421875
1024.81115722656,-10876.6015625,2516.73266601562
1150.21594238281,-10860.1220703125,2516.74047851562
1270.134765625,-10842.15234375,2516.70166015625
1376.42114257813,-10826.171875,2516.66650390625
1479.64184570313,-10810.6396484375,2516.63354492187
1590.47888183594,-10794.26953125,2516.603515625
1699.71105957031,-10779.8916015625,2516.60766601562
1826.42211914062,-10763.87890625,2516.62670898437
1927.63940429688,-10748.736328125,2516.59692382812
2027.58471679687,-10735.7822265625,2516.60424804687
2133.35620117188,-10717.15625,2516.51586914062
2237.873046875,-10704.310546875,2516.53930664063
2347.2021484375,-10687.1884765625,2516.49047851562
2448.31640625,-10674.478515625,2516.50634765625
2558.60229492187,-10660.73046875,2516.52685546875
2676.46752929687,-10639.86328125,2516.42163085938
2786.75830078125,-10628.0673828125,2516.47973632812
