X,Y,Z
-31.804263,-114.695586,25.176538
-30.808108,-114.562207,25.176052
-29.785686,-114.404004,25.174851
-28.760161,-114.254863,25.173840
-27.672253,-114.120381,25.173289
-26.558674,-113.939277,25.171831
-25.541555,-113.837158,25.171750
-24.395430,-113.637031,25.169922
-23.275776,-113.493223,25.169197
-22.061364,-113.318828,25.168123
-21.006672,-113.203672,25.168394
-19.788506,-113.036592,25.168020
-18.774434,-112.864648,25.167024
-17.644514,-112.726748,25.167034
-16.392321,-112.565420,25.166868
-15.160507,-112.381240,25.166433
-14.104580,-112.218604,25.165950
-12.954537,-112.039219,25.165388
-11.907213,-111.934629,25.166082
-10.838118,-111.761543,25.165430
-9.791063,-111.631709,25.165598
-8.729576,-111.483301,25.165427
-7.714753,-111.337676,25.165193
-6.523635,-111.146240,25.164514
-5.299969,-110.961328,25.164521
-4.153775,-110.800898,25.164814
-3.131634,-110.652939,25.164978
-2.008876,-110.494209,25.165242
-0.923428,-110.358848,25.165857
0.131521,-110.225791,25.166404
1.358882,-110.020020,25.166055
2.567669,-109.866826,25.166680
3.682174,-109.725566,25.167251
4.695274,-109.573066,25.167314
5.714926,-109.436279,25.167683
6.896833,-109.223867,25.167058
8.052799,-109.064404,25.167402
9.096498,-108.920391,25.167324
10.248112,-108.766016,25.167327
11.502159,-108.601221,25.167405
12.701348,-108.421523,25.167017
13.764211,-108.261719,25.166665
14.796418,-108.106396,25.166335
15.904789,-107.942695,25.166035
16.997111,-107.798916,25.166077
18.264221,-107.638789,25.166267
19.276394,-107.487363,25.165969
20.275847,-107.357822,25.166042
21.333562,-107.171563,25.165159
22.378730,-107.043105,25.165393
23.472021,-106.871885,25.164905
24.483164,-106.744785,25.165063
25.586023,-106.607305,25.165269
26.764675,-106.398633,25.164216
27.867583,-106.280674,25.164797
28.931292,-106.099355,25.163989
30.061475,-105.942520,25.163850
31.210784,-105.794512,25.163945
32.376809,-105.627324,25.163696
33.514504,-105.467871,25.163533
34.533564,-105.330342,25.163484
35.593677,-105.148477,25.162654
36.765813,-105.015791,25.163118
37.862683,-104.861260,25.162944
38.947969,-104.707891,25.162759
40.075381,-104.554053,25.162681
41.284458,-104.385332,25.162512
42.500786,-104.193262,25.161892
43.856611,-104.010508,25.162917
44.927402,-103.856602,25.164009
45.947451,-103.718213,25.165251
47.028652,-103.571963,25.166567
48.102817,-103.404248,25.167390
49.277734,-103.248740,25.168889
50.357505,-103.089814,25.169927
51.642134,-102.913789,25.171448
52.713511,-102.763857,25.172639
53.829390,-102.587070,25.173433
54.852930,-102.445498,25.174612
55.887529,-102.325498,25.176309
56.966660,-102.130791,25.176565
58.035474,-101.999023,25.178140
59.212451,-101.852197,25.179392
60.420020,-101.666035,25.179055
61.529717,-101.480674,25.178442
62.647578,-101.333506,25.178691
63.672031,-101.221318,25.179414
64.808750,-101.047920,25.179146
65.837612,-100.875645,25.178567
66.965000,-100.734883,25.178970
68.016250,-100.570771,25.178638
69.108486,-100.443623,25.179236
70.141704,-100.269834,25.178650
71.143770,-100.169170,25.179543
72.178521,-99.994512,25.178938
73.280151,-99.860479,25.179417
74.408047,-99.670898,25.178403
75.597520,-99.523994,25.178462
76.709648,-99.336260,25.177434
77.810854,-99.200244,25.177490
78.866006,-99.069912,25.177539
79.979863,-98.881943,25.176516
81.147510,-98.737715,25.176555
82.173945,-98.610928,25.176611
83.317773,-98.419258,25.175581
84.541309,-98.268115,25.175642
85.623721,-98.084033,25.174607
86.745195,-97.945508,25.174666
87.912207,-97.801357,25.174780
89.155332,-97.597412,25.173970
90.376357,-97.446592,25.174158
91.402324,-97.269482,25.173315
92.411230,-97.144854,25.173452
93.511816,-97.008906,25.173613
94.543252,-96.831113,25.172786
95.600889,-96.681035,25.172551
96.752188,-96.521504,25.172371
97.835488,-96.390527,25.172588
98.939990,-96.227402,25.172229
100.096045,-96.069316,25.172090
101.286924,-95.902402,25.171992
102.339678,-95.733428,25.171487
103.369727,-95.608594,25.171858
104.406348,-95.446113,25.171458
105.468408,-95.276797,25.170972
106.542061,-95.155576,25.171555
107.860381,-94.986592,25.171831
108.879990,-94.804473,25.170959
110.067686,-94.667090,25.171531
111.179756,-94.488447,25.171001
112.233115,-94.361396,25.172090
113.231836,-94.218877,25.172722
114.272002,-94.081719,25.173616
115.451270,-93.888936,25.173843
116.640898,-93.698750,25.174167
117.652217,-93.558437,25.174888
118.726543,-93.433848,25.176174
119.783018,-93.272627,25.176616
120.817832,-93.127402,25.177332
121.876504,-92.962119,25.177837
123.041416,-92.809141,25.179011
124.040850,-92.671016,25.179890
125.230576,-92.496787,25.180718
126.569531,-92.300273,25.181650
127.681211,-92.162100,25.182942
128.710361,-92.006406,25.183542
129.758184,-91.883506,25.184917
130.851660,-91.722168,25.185669
131.956533,-91.555879,25.189839
133.040059,-91.375078,25.194148
134.309629,-91.217568,25.200320
135.428525,-91.033203,25.204819
136.693574,-90.880508,25.211057
137.743359,-90.703438,25.215200
138.845381,-90.568838,25.220598
140.069189,-90.416484,25.226523
141.105000,-90.236660,25.230515
142.303633,-90.086709,25.236301
143.359150,-89.935020,25.241008
144.361074,-89.809648,25.247107
145.466953,-89.612715,25.252651
146.551104,-89.468867,25.259099
147.608984,-89.321357,25.265256
148.685996,-89.168779,25.271460
149.734619,-89.050127,25.278123
150.817930,-88.878350,25.283989
151.937715,-88.733223,25.290723
153.115371,-88.574443,25.297678
154.181807,-88.381416,25.302964
155.182285,-88.251514,25.308982
156.252949,-88.113154,25.315430
157.261094,-87.983018,25.321487
158.533652,-87.768408,25.328125
159.629873,-87.626982,25.334478
160.638125,-87.496904,25.339514
161.662656,-87.353301,25.344399
162.670957,-87.219600,25.349348
163.684297,-87.033262,25.353264
164.868789,-86.873760,25.359038
165.902695,-86.734277,25.364067
167.088633,-86.574219,25.369836
168.160430,-86.429580,25.375061
169.154609,-86.295293,25.379902
170.288145,-86.142080,25.385413
171.501074,-85.927666,25.390269
172.669414,-85.769727,25.395945
173.690840,-85.631641,25.400913
174.765352,-85.486377,25.406150
175.797754,-85.346816,25.411279
176.815937,-85.178145,25.416841
177.964863,-85.020195,25.423767
179.147500,-84.856924,25.430891
180.233340,-84.706865,25.437422
181.528008,-84.527881,25.445205
182.666367,-84.390146,25.452449
183.700254,-84.196748,25.457646
