X,Y,Z
-29.759958,-129.077314,25.468220
-28.701138,-128.924199,25.467720
-27.689717,-128.764570,25.467175
-26.684761,-128.636348,25.467241
-25.680120,-128.501094,25.467188
-24.683958,-128.365283,25.466792
-23.680193,-128.182773,25.464761
-22.665927,-128.042061,25.463584
-21.571824,-127.880752,25.462131
-20.495524,-127.745830,25.461177
-19.460087,-127.622578,25.460481
-18.332463,-127.425908,25.458521
-17.281157,-127.322559,25.458267
-16.150151,-127.124492,25.456282
-15.035645,-126.966934,25.455071
-14.004794,-126.823330,25.453987
-12.933470,-126.671494,25.452825
-11.854609,-126.539297,25.452034
-10.734967,-126.379473,25.450786
-9.594178,-126.216816,25.449514
-8.541899,-126.071133,25.448430
-7.399698,-125.908887,25.447947
-6.284487,-125.751758,25.448738
-5.160956,-125.593105,25.449539
-4.106855,-125.447422,25.450342
-3.005838,-125.292998,25.451147
-1.911612,-125.139834,25.451953
-0.882323,-125.019082,25.453159
0.122908,-124.833047,25.453020
1.179184,-124.717803,25.454429
2.180041,-124.564023,25.454888
3.219182,-124.411221,25.455500
4.292917,-124.292832,25.456917
5.290272,-124.137412,25.457336
6.303146,-123.980127,25.457781
7.297504,-123.825908,25.458225
8.299294,-123.721191,25.459631
9.342275,-123.559502,25.460098
10.409464,-123.391670,25.459819
11.485037,-123.267246,25.459214
12.527312,-123.096201,25.457629
13.603380,-122.970000,25.456980
14.607380,-122.804941,25.455439
15.680020,-122.679258,25.454800
16.776831,-122.491953,25.452991
17.830817,-122.379844,25.452578
18.939453,-122.185039,25.450647
20.037932,-122.035908,25.449575
21.232632,-121.886533,25.448674
22.299348,-121.752158,25.447852
23.553584,-121.557842,25.446177
24.589268,-121.417939,25.445188
25.834690,-121.216768,25.443357
26.981499,-121.057217,25.442151
28.025171,-120.904004,25.442410
29.138723,-120.750381,25.443389
30.211499,-120.631836,25.444832
31.303987,-120.479385,25.445754
32.313162,-120.307305,25.446062
33.461865,-120.170010,25.447434
34.776145,-119.952422,25.447954
35.880444,-119.819355,25.449243
37.076482,-119.619854,25.449685
38.396855,-119.449980,25.451047
39.767349,-119.271543,25.452424
41.268706,-119.071104,25.453860
42.376851,-118.885684,25.454255
43.482012,-118.757236,25.455698
44.575762,-118.565879,25.455903
45.579878,-118.425693,25.456875
46.591982,-118.281494,25.457854
47.642856,-118.131318,25.458860
49.040698,-117.958379,25.460723
50.223057,-117.785254,25.461772
51.224971,-117.640430,25.462688
52.268037,-117.504482,25.463950
53.412529,-117.340264,25.465029
54.571724,-117.157842,25.465813
55.579326,-117.024883,25.466990
56.813730,-116.876680,25.468718
58.140591,-116.671963,25.469690
59.528486,-116.450996,25.470591
60.814043,-116.282100,25.472019
61.841084,-116.129482,25.472163
62.856025,-116.010957,25.472959
63.950928,-115.867744,25.473501
64.997041,-115.686289,25.473093
66.166538,-115.513506,25.473267
67.291050,-115.385254,25.474224
68.550845,-115.193203,25.474287
69.572046,-115.056504,25.474729
70.752734,-114.891084,25.475083
72.034512,-114.709873,25.475447
73.405205,-114.493457,25.475356
74.796807,-114.295381,25.475710
76.008042,-114.136211,25.475693
77.037891,-114.004971,25.475544
78.041675,-113.859258,25.475061
79.061924,-113.727461,25.474875
80.228770,-113.570869,25.474563
81.565264,-113.374238,25.473853
82.686689,-113.224863,25.473574
83.806611,-113.037871,25.472539
84.963369,-112.864424,25.471853
86.295039,-112.688555,25.471555
87.491846,-112.531387,25.471287
88.508555,-112.379590,25.470720
89.624404,-112.223232,25.470288
90.914297,-112.046699,25.469880
91.992520,-111.866963,25.468853
93.184678,-111.724229,25.468884
94.460430,-111.520625,25.467869
95.852686,-111.331494,25.467439
97.121299,-111.182139,25.467532
98.188320,-110.994141,25.466309
99.419541,-110.832510,25.466038
100.451748,-110.675771,25.465388
101.553076,-110.511025,25.464736
102.761680,-110.362656,25.465500
104.069951,-110.201875,25.467039
105.430293,-109.978750,25.467468
106.795029,-109.779775,25.468430
108.005986,-109.641885,25.470071
109.036348,-109.498623,25.470928
110.120059,-109.348975,25.471860
111.262393,-109.163584,25.472271
112.590430,-108.986416,25.473533
113.714375,-108.809111,25.473267
114.944326,-108.673643,25.473569
116.272891,-108.479248,25.472964
117.688408,-108.276846,25.472397
119.117344,-108.073643,25.471858
120.385684,-107.876436,25.471040
121.513037,-107.711123,25.470510
122.640713,-107.576787,25.470593
123.816289,-107.380967,25.471287
124.815684,-107.248320,25.472825
125.908477,-107.098730,25.474395
127.110215,-106.931279,25.476086
128.363584,-106.754971,25.477832
129.456396,-106.601104,25.479370
130.655303,-106.440518,25.481233
131.701299,-106.292021,25.482678
132.921162,-106.111660,25.484536
134.095977,-105.934971,25.489248
135.094131,-105.783965,25.493257
136.201094,-105.666592,25.498679
137.228291,-105.499336,25.502554
138.265596,-105.361436,25.507078
139.460791,-105.176973,25.511797
140.476455,-105.054180,25.516487
141.662939,-104.879180,25.521328
142.694443,-104.714463,25.525273
143.843564,-104.563145,25.530320
144.869707,-104.438105,25.535020
145.918320,-104.256006,25.540166
146.954561,-104.109414,25.546489
148.129424,-103.967285,25.554104
