step,s,n,V,chi,ax,ay,mode,gap,opp_V,opp_s,opp_n,shadow_side,speed_cap,speed_scale,planner_ok,collision,ot_ready,t_plan_ms
0,56.25807534150099,-0.002107949330578485,50.17663998446534,-0.0009289940875800135,2.5611804041203037,-0.687626782500412,SHADOW,30.0,42.0,80.0,0.0,right,80.0,1.0,True,False,False,55.38487434387207
1,62.55747074591542,-0.015188179343574644,50.63264181427173,-0.003306501118903809,4.499907188205849,-1.1791355209409045,FOLLOW,30.92468718934719,57.67842033738935,87.18276253084818,-0.6403096796376737,right,80.0,1.0,True,False,False,28.14650535583496
2,68.92753420098747,-0.047133824846437807,51.28071837086494,-0.006676984445647367,5.6788854996082065,-1.5246783747917094,FOLLOW,31.833850683720193,57.88731738099762,94.39132142963561,-1.1302328310463894,right,80.0,1.0,True,False,False,26.468992233276367
3,75.38588749744204,-0.10385392618911413,52.02510223306239,-0.01076050228310934,6.092058123455964,-1.8023339712318711,FOLLOW,32.69649154321186,58.06455709178717,101.62402574419933,-1.5127003856442847,right,80.0,1.0,True,False,False,23.644685745239258
4,81.93867110732374,-0.18992711161197484,52.78485926094177,-0.015298937147366354,6.049833515842922,-1.9584661307731612,FOLLOW,33.48965739163741,58.16969965270281,108.87554488907945,-1.820015878672288,right,80.0,1.0,True,False,False,21.8808650970459
5,88.58578775385803,-0.30822542186515217,53.541436689071645,-0.020027125575821217,5.9439224645292645,-2.0167887440870182,FOLLOW,34.195910230286344,58.171975000902016,116.13458133761009,-2.0764846369003744,right,80.0,1.0,True,False,False,22.43804931640625
6,95.32388362748881,-0.46001267440076693,54.23886653498086,-0.024722715337687717,5.136220275242249,-1.985134509886282,FOLLOW,34.80066793995293,58.036861184999644,123.38645569381096,-2.300417504909152,right,80.0,1.0,True,False,False,22.847890853881836
7,102.13965519064759,-0.644793200717573,54.79048172465943,-0.02916731834279273,3.6576005546000454,-1.8445703266233497,FOLLOW,35.28943743460283,57.74772108131891,130.61332106209164,-2.5051663512476785,right,80.0,1.0,True,False,False,22.88365364074707
8,109.009418010092,-0.8600085839595641,55.12220959028233,-0.03314651967802336,1.9432430559677325,-1.6085810087132342,FOLLOW,35.655205451082665,57.28428782414253,137.79486064173025,-2.700580024850129,right,80.0,1.0,True,False,False,21.85964584350586
9,115.9115929902526,-1.1015336291280202,55.37797796752175,-0.03650123203400652,2.307994964794452,-1.3063893146634677,FOLLOW,35.89790173682478,56.636611728342615,144.90731974691678,-2.8933856735226495,right,80.0,1.0,True,False,False,22.41992950439453
10,122.84859035350604,-1.364940931241449,55.6815330496414,-0.03912285805905999,2.4236245751215018,-0.9683138285768987,FOLLOW,36.01993711367551,55.80492183305006,151.9315301039281,-3.0881098943809113,right,80.0,1.0,True,False,False,24.580001831054688
11,129.8217399066493,-1.6449099732199581,55.95345260886822,-0.040865380976665526,1.8553845591653941,-0.5367555012684248,FOLLOW,35.99129023843568,54.781102908260536,158.83988059194172,-3.287269339942769,right,80.0,1.0,True,False,False,23.500442504882812
12,136.8221132308526,-1.9346843443411323,56.11830300271173,-0.04166636298603245,0.7953632921795324,-0.12154051374876873,FOLLOW,35.787511804655935,53.58268386154232,165.60925171130523,-3.4916837309184614,right,80.0,1.0,True,False,False,25.254487991333008
