step,s,n,V,chi,ax,ay,mode,gap,opp_V,opp_s,opp_n,shadow_side,speed_cap,speed_scale,planner_ok,collision,ot_ready,t_plan_ms
0,1906.25,0.0,50.0,0.0,0.0,0.0,SHADOW,40.0,44.0,1940.0,-0.5,left,80.0,1.0,False,False,False,15.287637710571289
1,1912.5,0.0,50.0,0.0,0.0,0.0,SHADOW,41.37367080922991,61.20184833792771,1947.62367080923,0.45005815851451614,right,80.0,1.0,False,False,False,14.5721435546875
2,1918.75,0.0,50.0,0.0,0.0,0.0,SHADOW,42.76956141099208,61.35769656194712,1955.269561410992,1.1705381707232796,right,80.0,1.0,False,False,False,14.366626739501953
3,1925.0,0.0,50.0,0.0,0.0,0.0,SHADOW,44.18548481394055,61.51824103152551,1962.9354848139405,1.71933482238703,right,80.0,1.0,False,False,False,14.336585998535156
4,1931.25,0.0,50.0,0.0,0.0,0.0,SHADOW,45.61857861473686,61.624138831866944,1970.6185786147369,2.1399129200882028,right,80.0,1.0,False,False,False,14.39356803894043
5,1937.5,0.0,50.0,0.0,0.0,0.0,SHADOW,47.06385033608353,61.72659969796239,1978.3138503360835,2.464901691577273,right,80.0,1.0,False,False,False,14.373302459716797
6,1943.75,0.0,50.0,0.0,0.0,0.0,SHADOW,48.52414722069352,61.85816096835773,1986.0241472206935,2.718823027379917,right,80.0,1.0,False,False,False,14.186859130859375
7,1950.0,0.0,50.0,0.0,0.0,0.0,FOLLOW,50.000619266614194,62.00578313752255,1993.7506192666142,2.92012752043439,right,80.0,1.0,False,False,False,14.367818832397461
8,1956.2540675607142,-3.567851717981484e-05,50.08931452635679,-1.3426286819239291e-05,1.3059501629245998,-0.005892931373460068,FOLLOW,51.49959697061627,62.21373221543727,2001.4995969706163,3.0826884037680586,right,80.0,1.0,True,False,False,23.30946922302246
9,1962.5299082617612,-0.00015104026899816892,50.33843952731338,-1.864571750392999e-05,2.545199128083195,0.006273669305445648,FOLLOW,53.01817395360058,62.36987071558476,2009.2722415143148,3.217005180480969,right,80.0,1.0,True,False,False,34.722328186035156
10,1968.8463321541853,-0.00018446551970071473,50.72519108720775,1.6043108730212756e-05,3.516606067487893,0.029411876923270706,FOLLOW,54.53202137176913,62.483294285211606,2017.0619296335303,3.330960453765172,right,80.0,1.0,True,False,False,23.737430572509766
11,1975.2182029287965,0.0001901138555152118,51.212836653941835,0.00010687373894764098,4.1737237760306005,0.05634553443414717,FOLLOW,56.021358674246585,62.66385118577599,2024.867690828432,3.430538415774129,right,80.0,1.0,True,False,False,23.63443374633789
12,1981.6589312926494,0.0014280741989526266,51.833371694075346,0.0002874078451036969,5.474130270188317,0.10443536280531349,FOLLOW,57.4833037613771,62.92388500451333,2032.7015066901736,3.520302803552383,right,80.0,1.0,True,False,False,42.06514358520508
13,1988.1851671793916,0.004242492144272492,52.552989025643235,0.0005760188901481343,5.783088810124663,0.15159924539936429,FOLLOW,58.907321879557,63.15369398500274,2040.5662531722064,3.6037182750390153,right,80.0,1.0,True,False,False,23.741960525512695
14,1994.8001926436477,0.009330329308624203,53.227108116412,0.0009541507407701809,4.780415783283697,0.18875124611197705,FOLLOW,60.27551782319324,63.39667178757915,2048.460685002585,3.6834810291304034,right,80.0,1.0,True,False,False,24.063587188720703
15,2001.4870188852087,0.017242711738948674,53.68337387283905,0.0013978407537438085,2.4785876664170376,0.21722762803229925,FOLLOW,61.58503390844635,63.65247877907386,2056.385226552094,3.761625480127974,right,80.0,1.0,True,False,False,24.533987045288086
16,2008.217599489116,0.028417141503325055,54.01668957525961,0.001905159494308526,3.527620535503173,0.2466707357687673,FOLLOW,62.854092768637656,63.876769240377236,2064.3411116538464,3.839757521347971,right,80.0,1.0,True,False,False,24.138212203979492
17,2014.9994167660516,0.04333045168647619,54.447400257802286,0.002471201000656099,2.6755775346889332,0.276760545371332,FOLLOW,64.10441513119508,64.08081785799537,2072.322014620311,3.919312764008605,right,80.0,1.0,True,False,False,24.842500686645508
18,2021.8261150173569,0.062423986317698826,54.813420082757965,0.0030972368727296,4.3767844686958695,0.3070113769536665,FOLLOW,65.32747105642238,64.26141525879787,2080.326887822474,4.001730741799969,right,80.0,1.0,True,False,False,22.308349609375
19,2028.7182697196108,0.08624853866066717,55.46932463180449,0.0037904031481103577,6.403135430812869,0.34436960953799733,FOLLOW,66.52683560040418,64.44688139138238,2088.352950617761,4.088550850360244,right,80.0,1.0,True,False,False,23.223400115966797
20,2035.7073982600207,0.1154713395797,56.312352683212275,0.0045375000235962784,6.706849703013761,0.37139439288808074,FOLLOW,67.68405301414805,64.63904653913245,2096.402322733759,4.181407176975664,right,80.0,1.0,True,False,False,24.443626403808594
21,2042.8042666486228,0.15062379085204966,57.20335106856163,0.005335139680610264,7.327384738979471,0.4039548154091141,FOLLOW,68.7661106115354,64.80738676172423,2104.473508871556,4.281890833693145,right,80.0,1.0,True,False,False,24.519920349121094
22,2050.012269617002,0.19224711678232256,58.02340248091101,0.006179173304373284,4.553329500265878,0.433808431162217,FOLLOW,69.76229121974416,64.9663566527814,2112.566557868367,4.391422789374628,right,80.0,1.0,True,False,False,22.688865661621094
23,2057.2862004872136,0.24061369598971766,58.280800000590354,0.007088486941757251,1.5035048138006517,0.4745173289687818,FOLLOW,70.67333528312747,65.0973113739285,2120.6856049001294,4.509412095039599,right,80.0,1.0,True,False,False,24.05548095703125
24,2064.583506449518,0.2960777675115927,58.462012969495206,0.008083223008590781,1.3757631329974314,0.5170932810208471,FOLLOW,71.54227667720852,65.21089449115054,2128.828477164422,4.631943380871199,right,80.0,1.0,True,False,False,24.396419525146484
25,2071.903213193518,0.3595339150785879,58.64739674359551,0.009241696080792951,1.432456208064196,0.5620700213126864,FOLLOW,72.41020410675355,65.30292495305402,2136.9937105562717,4.752492754428226,right,80.0,1.0,True,False,False,23.659229278564453
26,2079.245828676856,0.432632067820822,58.836564968887444,0.010647633091136232,1.589655028002018,0.605915626551223,FOLLOW,73.27596336033639,65.38065963235228,2145.179176553854,4.8621257120063905,right,80.0,1.0,True,False,False,24.234771728515625
27,2086.6135298042036,0.51730099335874,59.05690702396775,0.012302413977331261,2.0997634038775637,0.6466587335547487,FOLLOW,74.13715637147698,65.45833078307982,2153.382985048333,4.950501463931451,right,80.0,1.0,True,False,False,25.330543518066406
28,2094.0145514057035,0.6155473441655047,59.36934614431546,0.014201412604683758,2.522320915817778,0.6859251773711871,FOLLOW,74.98779493453503,65.54513684569245,2161.6013247387386,5.006682233407481,right,80.0,1.0,True,False,False,23.627281188964844
29,2101.4552512484634,0.7294137969368227,59.69255821446138,0.016351018863525683,2.6892925336038416,0.7268235887525935,FOLLOW,75.81070783030145,65.57672211896909,2169.825259236005,5.021459324972097,right,80.0,1.0,True,False,False,24.09648895263672
30,2108.9385638644994,0.860962202942543,60.06460767540663,0.01873193973877585,3.1203774473383965,0.7559214357815114,FOLLOW,76.59341355767538,65.62901508376197,2178.0486648061387,4.987980591095194,right,80.0,1.0,True,False,False,22.87769317626953
31,2116.469759529077,1.0112345163602616,60.45862555593451,0.020935635760561046,3.477868884527984,0.7777918211078484,FOLLOW,77.33908147209331,65.73091958234954,2186.2776453365927,4.902059116868648,right,80.0,1.0,True,False,False,22.92323112487793
32,2124.0581329845318,1.174886480119504,60.97821493961643,0.021882558172234244,4.665188786062272,0.7894008126009157,FOLLOW,78.04359525999507,65.81538827816182,2194.513354789072,4.760963802666978,right,80.0,1.0,True,False,False,22.930145263671875
33,2131.720818974213,1.3411565042099447,61.59543368090168,0.021261144830539733,5.139495723906965,0.7933042994591266,FOLLOW,78.69312685443174,65.87044420251829,2202.7512598389635,4.563089907491643,right,80.0,1.0,True,False,False,24.234294891357422
34,2139.4664650947934,1.497798320005563,62.25081542823535,0.018988653071976454,5.2103964546718675,0.7780233208218382,FOLLOW,79.26128854158105,65.90471720902137,2210.9821075157943,4.309032519493203,right,80.0,1.0,True,False,False,23.005008697509766
35,2147.29655935739,1.6312706845851115,62.879970301001805,0.014982065245684347,4.939926107786541,0.7568728453690112,FOLLOW,79.73878738328403,65.97191254718946,2219.2052524780775,4.00502798529573,right,80.0,1.0,True,False,False,23.562192916870117
36,2155.2071116966467,1.7270249776397322,63.46575941027005,0.009178105240461514,4.364781606585494,0.7211226753370369,FOLLOW,80.12971845389166,66.02736193540228,2227.4262778112816,3.6620212251344584,right,80.0,1.0,True,False,False,22.8269100189209
37,2163.189487794933,1.7705256318035698,63.98224298659564,0.0019051256511077768,3.9721326719374814,0.6702105677738049,FOLLOW,80.43933188106575,66.07818328474126,2235.6464435777125,3.2946588429647985,right,80.0,1.0,True,False,False,23.893117904663086
38,2171.234585439034,1.7543488062027395,64.47399926248329,-0.005583300501789055,4.030359866325668,0.6029067084639042,FOLLOW,80.68211470055849,66.15634835993879,2243.8716024954915,2.9206750470841167,right,80.0,1.0,True,False,False,24.309158325195312
39,2179.340745403497,1.6779409144004678,64.97145699178847,-0.012949080199571791,3.8231899133367104,0.5205259101072056,FOLLOW,80.87087732287455,66.21788133700224,2252.1054627619087,2.5591158683945237,right,80.0,1.0,True,False,False,24.0018367767334
40,2187.5043621516843,1.5413635799927021,65.42777384137712,-0.020212290149869104,3.529939099703827,0.419204244819485,FOLLOW,81.01395336582755,66.3273744051022,2260.3546987693244,2.226290436385914,right,80.0,1.0,True,False,False,24.158000946044922
41,2195.7204454210337,1.3445640584093743,65.86446765972997,-0.027408838419052565,3.4531140176321573,0.2851232291779686,FOLLOW,81.11802652109463,66.42318553060838,2268.622388672779,1.9326694912608597,right,80.0,1.0,True,False,False,29.47521209716797
42,2203.9858877750735,1.0872496845034134,66.27247600444103,-0.034544737911685636,3.075979210409185,0.13172931384389028,FOLLOW,81.18248386521327,66.46941809048293,2276.902929286247,1.6837698113284763,right,80.0,1.0,True,False,False,24.281024932861328
43,2212.2977526375007,0.7718439889694946,66.72321428944251,-0.04068450939581374,4.064880522025513,-0.05486372186807506,FOLLOW,81.20598797835464,66.52322243860874,2285.191875753428,1.4809028469316232,right,80.0,1.0,True,False,False,23.926496505737305
44,2220.666937405397,0.414068977195432,67.25494460276555,-0.04408691217523519,4.27011076874421,-0.27512038769278313,FOLLOW,81.19499590350279,66.62223828723718,2293.4927485410035,1.3225622438269398,right,80.0,1.0,True,False,False,23.15068244934082
45,2229.0989759180575,0.03787409687199572,67.75051798467128,-0.04454111975070598,3.5015639949006054,-0.5697844450671525,FOLLOW,81.14081970832194,66.70696142794047,2301.807757113719,1.2051108110232875,right,80.0,1.0,True,False,False,25.838851928710938
46,2237.585076310825,-0.3318920346480978,68.09973609094205,-0.04218655120710033,2.1885269522504327,-1.0172762363418597,FOLLOW,81.03465323321961,66.77951293927627,2310.133629151277,1.1233150892130939,right,80.0,1.0,True,False,False,26.915311813354492
