step,s,n,V,chi,ax,ay,mode,gap,opp_V,opp_s,opp_n,shadow_side,speed_cap,speed_scale,planner_ok,collision,ot_ready,t_plan_ms
0,56.25858363467132,-0.0009851572194484726,50.18759929398986,-0.000437123979944864,2.7155382328646556,-0.3269203225321459,SHADOW,40.0,42.0,90.0,0.0,left,80.0,1.0,True,False,False,53.49540710449219
1,62.56068565462188,-0.006620056602079075,50.663836173840856,-0.001329317851031608,4.661022632064763,-0.389484388292314,SHADOW,40.960074759816244,57.962565347711234,97.21865839448756,-0.6552278007365127,left,80.0,1.0,True,False,False,28.197526931762695
2,68.93587753949855,-0.01808139390372939,51.328055907931706,-0.0021839991963905326,5.775577268490263,-0.3111723816893238,SHADOW,41.89889986911297,58.116636493700256,104.45958552373484,-1.1637866696024133,left,80.0,1.0,True,False,False,21.67224884033203
3,75.40095066963266,-0.03450960634406085,52.07923611252627,-0.002818203057065315,6.1041982638975,-0.2114467613782824,SHADOW,42.77965150229532,58.18409660945732,111.71552904179387,-1.5678595771449715,left,80.0,1.0,True,False,False,24.92666244506836
4,81.96091697310825,-0.05495975995525135,52.83571418988956,-0.003401301962048766,6.004995942207069,-0.25542509652799755,SHADOW,43.57287354183927,58.136927903024734,118.97382421147194,-1.8990576130637704,left,80.0,1.0,True,False,False,24.58024024963379
5,88.61533527966834,-0.08085761704775017,53.5932425261502,-0.004455422839786043,5.992837275083393,-0.5826364956042557,SHADOW,44.257288345859024,57.943335798165634,126.21820531896728,-2.1811447365420618,left,80.0,1.0,True,False,False,25.583744049072266
6,95.36214298019054,-0.11667551019517297,54.301012410493676,-0.006162970293657788,5.239220877226531,-0.8319498557125711,SHADOW,44.814283486241365,57.58743418032132,133.4296187659097,-2.4315058750989413,left,80.0,1.0,True,False,False,28.38921546936035
7,102.18886926390218,-0.16628767264962122,54.8649815468698,-0.008307000113152618,3.7417462014567784,-0.9796680782041189,SHADOW,45.22538529601097,57.053699500737444,140.5875282762015,-2.6629404017222984,left,80.0,1.0,True,False,False,22.68815040588379
8,109.07116132437771,-0.23186126585502187,55.194626173090704,-0.010628451558802713,1.8482316082196906,-1.0062711476894248,SHADOW,45.47842776181804,56.33220355768915,147.66729702572022,-2.8843629481945743,left,80.0,1.0,True,False,False,23.85687828063965
9,115.98590343564663,-0.3137865063933724,55.448130161519565,-0.012921448437178344,2.31820672232773,-0.9601143244314545,SHADOW,45.578344632916966,55.42732358164504,154.64950595729468,-3.1018096448428962,left,80.0,1.0,True,False,False,22.624492645263672
10,122.93628173801223,-0.4113702328682166,55.756070231515665,-0.014984276629446035,2.472366926549971,-0.8132743386860342,SHADOW,45.52170984837218,54.333093142994784,161.50761328401882,-3.3189276046460456,left,80.0,1.0,True,False,False,27.85015106201172
11,129.92395514266053,-0.5224862991760565,56.0333937923714,-0.016644620107218733,1.8822009789143803,-0.6057406584689196,SHADOW,45.281424264654376,53.066726824255205,168.2177060026666,-3.5373143874323727,left,80.0,1.0,True,False,False,23.21481704711914
