step,s,n,V,chi,ax,ay,mode,gap,opp_V,opp_s,opp_n,speed_cap,speed_scale,planner_ok,collision,ot_ready,t_plan_ms
0,56.230997907357434,-0.0010103932636441795,49.590261072090925,-0.00045695497778285504,-5.760191485642344,-0.34476266964883395,FOLLOW,30.0,42.0,80.0,0.0,44.1,1.0,True,False,False,58.873653411865234
1,62.383326198236034,-0.007369294129310766,48.89318231299281,-0.0016686684518994897,-5.260721346370444,-0.5921352406262763,FOLLOW,30.951764623490746,57.67842033738935,87.18276253084818,-0.6403096796376737,60.56234135425882,1.0,True,False,False,26.801347732543945
2,68.45879793332868,-0.022872297462320026,48.39183706114786,-0.003440411861843414,-2.856954337801542,-0.7697433039595627,FOLLOW,32.007995231399576,57.88731738099762,94.39132142963561,-1.1302328310463894,60.78168325004751,1.0,True,False,False,24.189233779907227
3,74.4925847429552,-0.0503912280334328,48.219002787528865,-0.0056521512527038815,-0.09240524727642452,-0.9192994156961893,FOLLOW,33.16522781087065,58.06455709178717,101.62402574419933,-1.5127003856442847,60.96778494637653,1.0,True,False,False,24.45197105407715
4,80.52662038158167,-0.09250201139383735,48.3759609851726,-0.008249982462664575,2.397324591379496,-1.0624502994561746,FOLLOW,34.38296014612425,58.16969965270281,108.87554488907945,-1.820015878672288,61.078184635337955,1.0,True,False,False,23.67544174194336
5,86.59893532763462,-0.15197132390618406,48.808036026649766,-0.011268662458886018,4.318645891928559,-1.2447790028234216,FOLLOW,35.60796095602842,58.171975000902016,116.13458133761009,-2.0764846369003744,61.08057375094712,1.0,True,False,False,26.675939559936523
6,92.73898915446155,-0.23210573549867045,49.438805723570866,-0.014728813338075136,5.6060847616152785,-1.4274675179797434,FOLLOW,36.78752036617634,58.036861184999644,123.38645569381096,-2.300417504909152,60.93870424424963,1.0,True,False,False,23.66805076599121
7,98.96634493429734,-0.3360614220457101,50.18913675673747,-0.018482489236366723,6.27183092661239,-1.5166113701356596,FOLLOW,37.87433190763009,57.74772108131891,130.61332106209164,-2.5051663512476785,60.63510713538486,1.0,True,False,False,23.509740829467773
8,105.2910547325602,-0.4657118234924271,50.98865117950643,-0.022284210053156513,6.429501313793136,-1.5130944178979262,FOLLOW,38.82851570743291,57.28428782414253,137.79486064173025,-2.700580024850129,60.14850221534966,1.0,True,False,False,26.413679122924805
9,111.71513521069555,-0.62144881291203,51.77774892463748,-0.025943524370579892,6.141265708510281,-1.447169470056844,FOLLOW,39.616265014356586,56.636611728342615,144.90731974691678,-2.8933856735226495,59.46844231475975,1.0,True,False,False,23.71811866760254
10,118.23359070859027,-0.8024658421379942,52.50258159670902,-0.029324768667377713,5.435881318820051,-1.322955263647941,FOLLOW,40.21639489323256,55.80492183305006,151.9315301039281,-3.0881098943809113,58.595167924702565,1.0,True,False,False,24.762630462646484
11,124.83510006333157,-1.0063838718370044,53.11523822927033,-0.03213832308923327,4.378228454492243,-1.0185085943954195,FOLLOW,40.60628988335145,54.781102908260536,158.83988059194172,-3.287269339942769,57.52015805367356,1.0,True,False,False,23.991823196411133
12,131.5032989042896,-1.2283635013769183,53.58264065525171,-0.034149073750151686,3.13256812768972,-0.6611936909701992,FOLLOW,40.77415164797367,53.58268386154232,165.60925171130523,-3.4916837309184614,56.26181805461944,1.0,True,False,False,24.190425872802734
13,138.21857194649726,-1.4624224439730935,53.88321072120545,-0.035316840904728516,1.8638158051408307,-0.3028617927039274,FOLLOW,40.72036742052734,52.220157232123746,172.22366632481695,-3.701003608394242,54.831165093729936,1.0,True,False,False,23.926258087158203
14,144.94167335397418,-1.701901647687921,53.711384904817905,-0.035754313056273294,-1.78955529544616,-0.021402585795496976,FOLLOW,40.44042962153753,50.707237807681,178.6590015680348,-3.913609226174817,53.24259969806505,1.0,True,False,False,25.28834342956543
15,151.63290261668183,-1.9413387291151976,53.41416404391921,-0.035724496181208015,-2.8110162221711654,0.1211767082784943,FOLLOW,39.955672450437135,49.07155139568173,184.89734580441132,-4.126922308543411,51.52512896546582,1.0,True,False,False,24.297475814819336
16,158.27653438149497,-2.1777812282237945,52.94550708068314,-0.035387898879293986,-4.44193913954892,0.24949901316726766,FOLLOW,39.29296769271545,47.340006929121934,190.92587030939728,-4.337570575869745,49.707007275578036,1.0,True,False,False,24.66273307800293
