step,s,n,V,chi,ax,ay,mode,gap,opp_V,opp_s,opp_n,speed_cap,speed_scale,planner_ok,collision,ot_ready,t_plan_ms
0,56.23455760949909,0.0010835588568856097,49.66873146843363,0.0004677081744068257,-4.604067532052143,0.3261191368429556,FOLLOW,70.0,44.0,120.0,-0.5,46.2,1.0,True,False,False,63.9188289642334
1,62.41072090811265,0.007256579902338475,49.21497893990693,0.0015592503817225287,-2.709069285288452,0.5069160153606718,FOLLOW,71.43211130967514,61.309138013895065,127.66666891917423,-1.139185552553386,64.37459491458982,1.0,True,False,False,31.209468841552734
2,68.54833413010341,0.02158401173157414,49.05374900195786,0.0031150799719902957,-0.06070548989451341,0.6907352053033535,FOLLOW,72.88230740735385,60.87720663757887,135.2930283154665,-1.6609337210904784,63.92106696945782,1.0,True,False,False,27.35447883605957
3,74.68744788744799,0.04665747985916498,49.22127939446261,0.004996051541325699,2.498111623141922,0.7774694990476553,FOLLOW,74.30436580836196,60.23094814382051,142.85269993846538,-2.0997967348063096,63.242495551011544,1.0,True,False,False,31.077861785888672
4,80.86652933473823,0.08386334052511621,49.66534005854955,0.006932605462135029,4.3906513222800685,0.7586835358124088,FOLLOW,75.63152680246252,59.36156502644232,150.3189746899105,-2.481074511256536,62.32964327776444,1.0,True,False,False,25.875568389892578
5,87.11464565850646,0.13306807625974268,50.301435497591015,0.00866968128826729,5.606168360400629,0.6507611745482353,FOLLOW,76.79759011220833,58.27192927707222,157.66411944694656,-2.822688472348266,61.18552574092583,1.0,True,False,False,25.32052993774414
6,93.4502363906933,0.19289258096023276,51.04455954963539,0.010071475379890057,6.145386811459894,0.514944427330337,FOLLOW,77.74627841030345,56.96480772413065,164.8609240688099,-3.137065368212682,59.813048110337185,1.0,True,False,False,23.346424102783203
7,99.88129114125778,0.26126532063585794,51.8140563937823,0.011051521864437381,6.069755304489516,0.3342226586224206,FOLLOW,78.42953936154768,55.460041198835654,171.879775752241,-3.4320863618505184,58.23304325877744,1.0,True,False,False,24.76048469543457
8,106.40614617723818,0.3354749804973052,52.5356304528862,0.011587040702686005,5.426159043432156,0.16290458899937027,FOLLOW,78.82402328384626,53.7790053690072,178.70531442510404,-3.712324097282094,56.467955637457564,1.0,True,False,False,23.5443115234375
9,113.01376608476075,0.41260529105428934,53.13744977901407,0.011668446408708184,4.434127516427921,-0.031973275423120506,FOLLOW,78.90277511449318,51.94504271499955,185.30892129173137,-3.979468307441141,54.542294850749535,1.0,True,False,False,24.20186996459961
10,119.63981105302652,0.4884931841894962,52.805312547085094,0.011136824475465889,-2.884594380353902,-0.33481444200838506,FOLLOW,78.66221025336428,49.99945613164251,191.67597633812503,-4.233098441927711,52.49942893822464,1.0,True,False,False,28.203725814819336
11,126.21001724305526,0.5574900009364943,52.31262875680216,0.009778025379349253,-4.626571517563536,-0.7079135699767449,FOLLOW,78.15636512618529,47.97617010056235,197.7961761792118,-4.471044243816464,50.37497860559047,1.0,True,False,False,37.31536865234375
12,132.70353723611876,0.6140242723551287,51.583903706630444,0.007625447192795858,-6.618373262249942,-0.9814743821427782,FOLLOW,77.45305941542534,45.91282084932531,203.6630766584806,-4.689511710764144,48.20846189179157,1.0,True,False,False,24.816513061523438
13,139.08878939625467,0.6539562070644441,50.5874445255998,0.004951528428922232,-8.836333899741621,-1.1135330508235721,FOLLOW,76.57218978248571,43.8505227940682,209.27572701860447,-4.883537320983704,46.04304893377161,1.0,True,False,False,26.172637939453125
14,145.33126675558697,0.6755493500965322,49.30939025699823,0.002099840717534235,-11.103105743396252,-1.086696557088782,FOLLOW,75.54614607367432,41.83368782575728,214.634935469929,-5.047327090276936,43.925372217045144,1.0,True,False,False,31.477689743041992
15,151.39900794128903,0.6797109820219507,47.816343476682746,-0.0005519468788126179,-12.388895630290543,-0.9095468175873489,FOLLOW,74.41530137950585,39.91004825606738,219.74656813509282,-5.174618927321085,41.905550668870745,1.0,True,False,False,26.665449142456055
16,157.27162950362944,0.6696274606938825,46.18699776708918,-0.002705504179381616,-13.33302210398309,-0.6541711023852068,FOLLOW,73.22326688258718,38.124843906844454,224.6222748238762,-5.258296391873231,40.03108610218668,1.0,True,False,False,25.58755874633789
17,162.93378110882375,0.6496956062396726,44.46895877326063,-0.00413721632366851,-13.848547669472309,-0.33906298005773927,FOLLOW,72.00932299519354,36.51786906403509,229.28095249882298,-5.291629764482748,38.34376251723685,1.0,True,False,False,25.795936584472656
18,168.37699052905236,0.6251617975451614,42.71690390834844,-0.004685991393486155,-13.923836820623777,-0.011637383482915653,FOLLOW,70.81868032966969,35.13689561264732,233.75246143849344,-5.266364242163988,36.89374039327969,1.0,True,False,False,25.977373123168945
19,173.6001033337212,0.601524037671972,40.97057146824426,-0.004192845668534943,-13.778335049415565,0.3553993555702237,FOLLOW,69.67258152628125,33.94251856930455,238.0495720553336,-5.173791526855808,35.63964449776978,1.0,True,False,False,28.299570083618164
