step,s,n,V,chi,ax,ay,mode,gap,opp_V,opp_s,opp_n,speed_cap,speed_scale,planner_ok,collision,ot_ready,t_plan_ms
0,56.25867819646723,-0.0038901386371885697,50.18967737109539,-0.001704912010361399,2.7445280267119254,-1.2500755906366967,OVERTAKE,70.0,44.0,120.0,-0.5,80.0,1.0,True,False,False,69.45443153381348
1,62.56124975454778,-0.02628173610292285,50.66979900202237,-0.0053792909529636595,4.693482028255567,-1.673126342412928,OVERTAKE,71.407990722707,61.309138013895065,127.66666891917423,-1.139185552553386,80.0,1.0,True,False,False,37.528038024902344
2,68.93724056368107,-0.07394107676997715,51.337187985694825,-0.00927364403742181,5.795809911286545,-1.514988115166845,OVERTAKE,72.73177856091871,60.87720663757887,135.2930283154665,-1.6609337210904784,80.0,1.0,True,False,False,32.138824462890625
3,75.40318343128601,-0.1463188830652416,52.08983987221316,-0.012866783862516037,6.109964759378266,-1.4462946681894668,OVERTAKE,73.9154593747843,60.23094814382051,142.85269993846538,-2.0997967348063096,80.0,1.0,True,False,False,31.466245651245117
4,81.96381574876877,-0.24285571842493914,52.846427882569884,-0.01634874736884784,6.000865984941014,-1.4458954377862934,OVERTAKE,74.9157912586245,59.36156502644232,150.3189746899105,-2.481074511256536,80.0,1.0,True,False,False,30.28106689453125
5,88.61852731241223,-0.3638616239937589,53.60458982191611,-0.019806069023268924,6.008356205980233,-1.4522673327295943,OVERTAKE,75.70030369817779,58.27192927707222,157.66411944694656,-2.822688472348266,80.0,1.0,True,False,False,32.25398063659668
6,95.36544148298586,-0.5091544915736322,54.31520949739322,-0.022985086342652433,5.266562801614348,-1.2577912861564393,OVERTAKE,76.24239675639768,56.96480772413065,164.8609240688099,-3.137065368212682,80.0,1.0,True,False,False,31.44550323486328
7,102.19223229719695,-0.6755308323195698,54.88112534836555,-0.02544412763856228,3.7475895385572193,-0.8664664817772048,OVERTAKE,76.51433426925513,55.460041198835654,171.879775752241,-3.4320863618505184,80.0,1.0,True,False,False,27.75859832763672
8,109.07456951331865,-0.8566573872188485,55.21324485011749,-0.026907017674388217,1.8838944763738237,-0.3982831690439754,OVERTAKE,76.51308212790708,53.7790053690072,178.70531442510404,-3.712324097282094,80.0,1.0,True,False,False,24.70111846923828
9,115.98972654478999,-1.0450615163906818,55.47131084820782,-0.027373138369994218,2.389460540521209,0.027698681386833623,OVERTAKE,76.23435177841272,51.94504271499955,185.30892129173137,-3.979468307441141,80.0,1.0,True,False,False,31.052589416503906
10,122.94163059411623,-1.2340211442511948,55.78758543657085,-0.02681086862500194,2.530255262199215,0.5176808611278971,OVERTAKE,75.68624979333504,49.99945613164251,191.67597633812503,-4.233098441927711,80.0,1.0,True,False,False,32.633304595947266
11,129.93221147876127,-1.4159821219636441,56.07300135141102,-0.025119621518985436,1.9447134726064879,1.046779284701146,OVERTAKE,74.85454558509558,47.97617010056235,197.7961761792118,-4.471044243816464,80.0,1.0,True,False,False,24.17922019958496
12,136.95211835465471,-1.5824799292528997,56.244455775083196,-0.022245125543162485,0.813915648581097,1.5936033238564322,OVERTAKE,73.73086517971933,45.91282084932531,203.6630766584806,-4.689511710764144,80.0,1.0,True,False,False,31.802654266357422
13,143.98669454084595,-1.724538007713465,56.328805664558686,-0.01812789909625298,0.6694215483570805,2.1730804416234935,OVERTAKE,72.32360866394976,43.8505227940682,209.27572701860447,-4.883537320983704,80.0,1.0,True,False,False,24.178028106689453
14,151.031393316834,-1.8330675201258138,56.390263731895324,-0.012736606619319616,0.2409044305213972,2.752535612759205,OVERTAKE,70.64824092908304,41.83368782575728,214.634935469929,-5.047327090276936,80.0,1.0,True,False,False,24.340152740478516
15,158.0791567592925,-1.8990121478129314,56.36305917690889,-0.0061077917773804955,-0.7030810368155073,3.297703368586052,OVERTAKE,68.71517481825882,39.91004825606738,219.74656813509282,-5.174618927321085,80.0,1.0,True,False,False,23.598670959472656
16,165.11470993914236,-1.9139334221061755,56.188856747415954,0.0016556712387630432,-2.0762030662110926,3.775322110240838,OVERTAKE,66.54311806458372,38.124843906844454,224.6222748238762,-5.258296391873231,80.0,1.0,True,False,False,24.705171585083008
