step,s,n,V,chi,ax,ay,mode,gap,opp_V,opp_s,opp_n,speed_cap,speed_scale,planner_ok,collision,ot_ready,t_plan_ms
0,56.00282151507313,-1.0689040617140584,48.084972893155125,-0.02791470934018944,1.4676216623961664,-14.044139101368573,OVERTAKE,15.0,40.0,65.0,0.5,80.0,1.0,True,False,False,50.17542839050293
1,62.02123453705636,-1.3617748319676055,48.347092759734686,-0.06596455621266245,2.735177271439442,-11.154652772146344,OVERTAKE,15.880085801010203,55.26821388373641,71.88290731608333,-0.3858023792684466,80.0,1.0,True,False,False,26.652812957763672
2,68.07480496822907,-1.7935242740787098,48.76279349989522,-0.06797776674546073,3.897149349896316,7.124847245926825,OVERTAKE,16.766771352137198,55.428894309172605,78.78800588919356,-0.9245471879697444,80.0,1.0,True,False,False,24.657726287841797
3,74.19644364477247,-2.126231963773604,49.332353583324426,-0.03963601546759943,5.140819603394583,12.731966633168897,OVERTAKE,17.638295508206312,55.60835871816543,85.71310047643539,-1.3323173892521216,80.0,1.0,True,False,False,24.457216262817383
4,80.40616363209466,-2.2793910295346103,50.0414490153594,-0.01342488777080083,6.063225212703416,7.735505961340732,OVERTAKE,18.465335133637538,55.80423796207553,92.66177877841001,-1.6464740745994875,80.0,1.0,True,False,False,23.929119110107422
5,86.71248038535607,-2.3213711506465913,50.829490838119526,-0.0033895040810872114,6.43170072048062,1.1139549813114895,OVERTAKE,19.228168588829575,55.97877174232879,99.63433222092424,-1.8952011895708183,80.0,1.0,True,False,False,21.254777908325195
6,93.11894902610854,-2.3500852080235006,51.62957706008936,-0.00708674532126158,6.29469544509875,-2.982987082732584,OVERTAKE,19.913196968722502,56.098436778374065,106.62567735407858,-2.099933978021643,80.0,1.0,True,False,False,24.500370025634766
7,99.62254672202803,-2.425385106384252,52.38186704875126,-0.015693156533147845,5.697303401638339,-3.427259158344713,OVERTAKE,20.508545288846364,56.130227590858,113.6274943149549,-2.276869729113129,80.0,1.0,True,False,False,25.159597396850586
8,106.2131381806446,-2.556223770711439,53.03208384931469,-0.02302211422063648,4.703333933706027,-2.250123413148276,OVERTAKE,21.00504087078842,56.048797478896475,120.62758759281645,-2.4380354206964783,80.0,1.0,True,False,False,29.658794403076172
9,112.87569653214075,-2.724349567284741,53.56291193119221,-0.02653525526722572,4.127002654041385,-0.6485362335070717,OVERTAKE,21.39786910660372,55.835682835635595,127.61100728724833,-2.592426128147056,80.0,1.0,True,False,False,24.019718170166016
10,119.6026196766827,-2.907145478407187,54.079897598536085,-0.027452775150251546,4.041107403245544,0.0119045292935257,OVERTAKE,21.684144581055506,55.46950451417144,134.55984111319626,-2.746562486524681,80.0,1.0,True,False,False,24.272918701171875
11,126.39130863629497,-3.0953080538453945,54.54189915302825,-0.02792447868181541,3.2827417710613602,-0.019307708629408775,OVERTAKE,21.851262851789386,54.941515501604485,141.4538825284721,-2.904823927473636,80.0,1.0,True,False,False,27.350664138793945
12,133.22965827590434,-3.2877553267592754,54.87208705327826,-0.02825060587413521,1.979615386015828,0.10528202293539413,OVERTAKE,21.883208383381188,54.248849308815906,148.27451701967615,-3.070077458146078,80.0,1.0,True,False,False,24.734973907470703
13,140.0972799800674,-3.482333251746063,55.02436409710933,-0.02829513634092387,0.8148278553948065,0.28746512960574094,OVERTAKE,21.77089338142497,53.38570467345418,155.0005516573293,-3.243803086413734,80.0,1.0,True,False,False,23.659706115722656
14,146.97790903356952,-3.6758214728148606,55.100980070387166,-0.0277758688545071,0.3598168238382679,0.6622543527021528,OVERTAKE,21.511957631602314,52.35692417473642,161.60923761166973,-3.42623764474753,80.0,1.0,True,False,False,24.41263198852539
15,153.86328693165146,-3.8626365450291003,55.09372691005945,-0.026310053159415616,-0.49782519442576595,1.174532440956816,OVERTAKE,21.10213913618483,51.17449032831171,168.08004816975435,-3.616622480890077,80.0,1.0,True,False,False,23.631811141967773
16,160.73998234657185,-4.035401583744387,54.957201549470575,-0.023834273769928964,-1.6757032380600985,1.6235671568296353,OVERTAKE,20.532991784241744,49.85123672621835,174.3962787158932,-3.8134019472830523,80.0,1.0,True,False,False,23.23317527770996
17,167.58980582478313,-4.187224649487429,54.66191846389273,-0.020467988292745796,-3.019962847082528,1.992574241155988,OVERTAKE,19.802268493806395,48.40304098263143,180.54225084037824,-4.0142336166507055,80.0,1.0,True,False,False,23.256301879882812
