step,s,n,V,chi,ax,ay,mode,gap,opp_V,opp_s,opp_n,speed_cap,speed_scale,planner_ok,collision,ot_ready,t_plan_ms
0,56.25740806770938,-0.005049620919043547,50.16213586200285,-0.0022015201321231768,2.3515786312359896,-1.5950476846651742,RACELINE,30.0,42.0,80.0,0.0,80.0,1.0,True,False,False,53.978681564331055
1,62.55323550056286,-0.035043788412414886,50.592962710786985,-0.007434820678601703,4.312893810352119,-2.509630353999392,RACELINE,30.925354463138802,57.67842033738935,87.18276253084818,-0.6403096796376737,80.0,1.0,True,False,False,24.101734161376953
2,68.91667422888716,-0.10455695765972278,51.22207157618774,-0.014196603008039788,5.564509334859197,-2.923213293423001,RACELINE,31.838085929072747,57.88731738099762,94.39132142963561,-1.1302328310463894,80.0,1.0,True,False,False,23.075580596923828
3,75.36624975809438,-0.22063056091188538,51.959097460985966,-0.021375597800421812,6.086040786823417,-2.9575390470108758,RACELINE,32.70735151531217,58.06455709178717,101.62402574419933,-1.5127003856442847,80.0,1.0,True,False,False,23.41461181640625
4,81.90955377289305,-0.3844582062826717,52.72454589951837,-0.02817001104612089,6.116325158285466,-2.7104687689854408,RACELINE,33.509295130985066,58.16969965270281,108.87554488907945,-1.820015878672288,80.0,1.0,True,False,False,25.87103843688965
5,88.5474052883631,-0.5928182756448748,53.488351726755475,-0.03404760450213172,5.9937103885028815,-2.2755139597112994,RACELINE,34.22502756471704,58.171975000902016,116.13458133761009,-2.0764846369003744,80.0,1.0,True,False,False,26.65233612060547
6,95.27645887807921,-0.8393995520842368,54.192057327535224,-0.038704614782697336,5.188732992067394,-1.7369154008631322,RACELINE,34.839050405447864,58.036861184999644,123.38645569381096,-2.300417504909152,80.0,1.0,True,False,False,25.429725646972656
7,102.08376814159098,-1.115960760299164,54.752036437407796,-0.04208875725036216,3.7363840969584974,-1.2053053098303128,RACELINE,35.33686218401243,57.74772108131891,130.61332106209164,-2.5051663512476785,80.0,1.0,True,False,False,25.98261833190918
8,108.94612680069042,-1.413510466688108,55.09004235035462,-0.0442386892141427,1.9635540892361816,-0.6743783156576039,RACELINE,35.71109250013927,57.28428782414253,137.79486064173025,-2.700580024850129,80.0,1.0,True,False,False,24.307727813720703
9,115.84165829929266,-1.7229629192717546,55.348371595181504,-0.04519291653344603,2.3487636841641963,-0.15425018037248184,RACELINE,35.96119294622636,56.636611728342615,144.90731974691678,-2.8933856735226495,80.0,1.0,True,False,False,24.49512481689453
10,122.77327218001615,-2.03598210773014,55.658842998941466,-0.044832307739949125,2.4856591598901496,0.4693101050026959,RACELINE,36.08987180463545,55.80492183305006,151.9315301039281,-3.0881098943809113,80.0,1.0,True,False,False,24.091720581054688
11,129.74303177190544,-2.342877618062325,55.94104499337416,-0.04301230452356746,1.9456009681390154,1.1340042641989965,RACELINE,36.06660841192557,54.781102908260536,158.83988059194172,-3.287269339942769,80.0,1.0,True,False,False,23.466110229492188
