step,s,n,V,chi,ax,ay,mode,gap,opp_V,opp_s,opp_n,speed_cap,speed_scale,planner_ok,collision,ot_ready,t_plan_ms
0,56.25740806770938,-0.005049620919043547,50.16213586200285,-0.0022015201321231768,2.3515786312359896,-1.5950476846651742,RACELINE,70.0,44.0,120.0,-0.5,80.0,1.0,True,False,False,54.01444435119629
1,62.55323550056286,-0.035043788412414886,50.592962710786985,-0.007434820678601703,4.312893810352119,-2.509630353999392,RACELINE,71.40926085146485,61.309138013895065,127.66666891917423,-1.139185552553386,80.0,1.0,True,False,False,24.007797241210938
2,68.91667422888716,-0.10455695765972278,51.22207157618774,-0.014196603008039788,5.564509334859197,-2.923213293423001,RACELINE,72.73979281490364,60.87720663757887,135.2930283154665,-1.6609337210904784,80.0,1.0,True,False,False,23.30923080444336
3,75.36624975809438,-0.22063056091188538,51.959097460985966,-0.021375597800421812,6.086040786823417,-2.9575390470108758,RACELINE,73.93602570957822,60.23094814382051,142.85269993846538,-2.0997967348063096,80.0,1.0,True,False,False,23.414134979248047
4,81.90955377289305,-0.3844582062826717,52.72454589951837,-0.02817001104612089,6.116325158285466,-2.7104687689854408,RACELINE,74.95272493181612,59.36156502644232,150.3189746899105,-2.481074511256536,80.0,1.0,True,False,False,23.135662078857422
5,88.5474052883631,-0.5928182756448748,53.488351726755475,-0.03404760450213172,5.9937103885028815,-2.2755139597112994,RACELINE,75.75456567405351,58.27192927707222,157.66411944694656,-2.822688472348266,80.0,1.0,True,False,False,25.363922119140625
6,95.27645887807921,-0.8393995520842368,54.192057327535224,-0.038704614782697336,5.188732992067394,-1.7369154008631322,RACELINE,76.31351878044681,56.96480772413065,164.8609240688099,-3.137065368212682,80.0,1.0,True,False,False,24.7344970703125
7,102.08376814159098,-1.115960760299164,54.752036437407796,-0.04208875725036216,3.7363840969584974,-1.2053053098303128,RACELINE,76.60331687416178,55.460041198835654,171.879775752241,-3.4320863618505184,80.0,1.0,True,False,False,25.529861450195312
8,108.94612680069042,-1.413510466688108,55.09004235035462,-0.0442386892141427,1.9635540892361816,-0.6743783156576039,RACELINE,76.62154628351306,53.7790053690072,178.70531442510404,-3.712324097282094,80.0,1.0,True,False,False,24.48296546936035
9,115.84165829929266,-1.7229629192717546,55.348371595181504,-0.04519291653344603,2.3487636841641963,-0.15425018037248184,RACELINE,76.36279449104094,51.94504271499955,185.30892129173137,-3.979468307441141,80.0,1.0,True,False,False,24.898529052734375
10,122.77327218001615,-2.03598210773014,55.658842998941466,-0.044832307739949125,2.4856591598901496,0.4693101050026959,RACELINE,75.83431803883236,49.99945613164251,191.67597633812503,-4.233098441927711,80.0,1.0,True,False,False,23.740768432617188
11,129.74303177190544,-2.342877618062325,55.94104499337416,-0.04301230452356746,1.9456009681390154,1.1340042641989965,RACELINE,75.02290399919566,47.97617010056235,197.7961761792118,-4.471044243816464,80.0,1.0,True,False,False,23.920297622680664
12,136.74233971274424,-2.6328348021388748,56.11330041902841,-0.03971321663218531,0.8340269041959345,1.7866324067050678,RACELINE,73.92004488657517,45.91282084932531,203.6630766584806,-4.689511710764144,80.0,1.0,True,False,False,24.158954620361328
13,143.75639125764192,-2.8951460864748952,56.180448113107325,-0.03507886020521548,0.31169079623368756,2.3356694721023232,RACELINE,72.53338730586023,43.8505227940682,209.27572701860447,-4.883537320983704,80.0,1.0,True,False,False,25.282621383666992
14,150.7752791198181,-3.121033990462186,56.16664526591031,-0.029410011511345226,-0.5638087758001424,2.7254341699523383,RACELINE,70.87854421228707,41.83368782575728,214.634935469929,-5.047327090276936,80.0,1.0,True,False,False,23.564815521240234
15,157.78492748404844,-3.3042018980256116,56.010402445382084,-0.02309142209738972,-1.9219821737326146,2.924734150313173,RACELINE,68.97128901527472,39.91004825606738,219.74656813509282,-5.174618927321085,80.0,1.0,True,False,False,23.522377014160156
16,164.7637081317574,-3.4409485127176396,55.659179824129026,-0.016391146631714447,-3.6458476561389075,3.042299235450628,RACELINE,66.83734733982777,38.124843906844454,224.6222748238762,-5.258296391873231,80.0,1.0,True,False,False,23.57029914855957
17,171.6847412646672,-3.531775484281743,55.08546297641876,-0.010439551865163502,-5.462887487629832,2.3402292549482917,RACELINE,64.51724436706559,36.51786906403509,229.28095249882298,-5.291629764482748,80.0,1.0,True,False,False,25.36177635192871
18,178.51917552224424,-3.5877722024118714,54.28080551936491,-0.006593203931327769,-7.321615688905322,1.2269561703832008,RACELINE,62.067720173826245,35.13689561264732,233.75246143849344,-5.266364242163988,80.0,1.0,True,False,False,23.180484771728516
19,185.23761552142324,-3.6260065427762243,53.241548645245295,-0.005305898838329385,-9.195989803250757,0.12684132553569127,RACELINE,59.53039653308937,33.94251856930455,238.0495720553336,-5.173791526855808,80.0,1.0,True,False,False,22.758007049560547
20,191.81104282106,-3.6630814867990478,51.97487053795221,-0.006263974015482707,-10.951456639238062,-0.6999917356985682,RACELINE,56.962448732903056,32.87698899791863,242.2000642543263,-5.0031168993510295,80.0,1.0,True,False,False,22.758960723876953
