step,s,n,V,chi,ax,ay,mode,gap,opp_V,opp_s,opp_n,speed_cap,speed_scale,planner_ok,collision,ot_ready,t_plan_ms
0,56.23365764426995,-0.0007188201019069297,49.6483453841161,-0.00032621421784553053,-4.921329783414518,-0.24779765892583017,SHADOW,30.0,42.0,80.0,0.0,45.4125,1.0,True,False,False,55.7558536529541
1,62.39817344212439,-0.005313042188274674,49.01357773638206,-0.0012109025436215378,-5.036930629918946,-0.4380629018817061,SHADOW,30.949104886578233,57.67842033738935,87.18276253084818,-0.6403096796376737,63.446262371128284,1.0,True,False,False,24.15013313293457
2,68.48971721616397,-0.01678819756112967,48.522634871323085,-0.002576933448170183,-2.8859771101579503,-0.6112292439785088,SHADOW,31.99314798751122,57.88731738099762,94.39132142963561,-1.1302328310463894,63.67604911909739,1.0,True,False,False,23.676156997680664
3,74.53937455748661,-0.037634591909877904,48.34038317186331,-0.004275583225237384,-0.20493853709371157,-0.6907795660106941,SHADOW,33.13430852803536,58.06455709178717,101.62402574419933,-1.5127003856442847,63.87101280096589,1.0,True,False,False,24.92046356201172
4,80.58783625524417,-0.06916833612359288,48.48534083451009,-0.006064061848084972,2.3093279233513018,-0.6830952768914524,SHADOW,34.33617033159284,58.16969965270281,108.87554488907945,-1.820015878672288,63.9866696179731,1.0,True,False,False,25.76589584350586
5,86.67330125602791,-0.11160049821031737,48.90717141280575,-0.007772766916320803,4.238105078734177,-0.6325954270152843,SHADOW,35.546745082365916,58.171975000902016,116.13458133761009,-2.0764846369003744,63.989172500992225,1.0,True,False,False,25.99501609802246
6,92.825321773951,-0.1647085335242514,49.52614164217364,-0.009400956597513674,5.4991713219042815,-0.6235224730827467,SHADOW,36.71315443778305,58.036861184999644,123.38645569381096,-2.300417504909152,63.84054730349961,1.0,True,False,False,25.41637420654297
7,99.06332809850191,-0.22908306893682823,50.26439205664221,-0.011199439984190549,6.183771216940284,-0.7640163722757629,SHADOW,37.78799928814064,57.74772108131891,130.61332106209164,-2.5051663512476785,63.522493189450806,1.0,True,False,False,24.20949935913086
8,105.39762192805877,-0.3073260999706929,51.05375624774326,-0.01347975844290139,6.3538628180051555,-1.0156156927061337,SHADOW,38.73153254322834,57.28428782414253,137.79486064173025,-2.700580024850129,63.012716606556786,1.0,True,False,False,26.300907135009766
9,111.83037974714533,-0.40340208192853044,51.83285205337938,-0.016317001207743535,6.057041601748883,-1.2434638661946633,SHADOW,39.509697818858015,56.636611728342615,144.90731974691678,-2.8933856735226495,62.30027290117688,1.0,True,False,False,26.28803253173828
10,118.35646168319708,-0.5208792679959038,52.54629282424327,-0.019540497580904443,5.340256389505307,-1.3699673477777352,SHADOW,40.10115035678278,55.80492183305006,151.9315301039281,-3.0881098943809113,61.38541401635507,1.0,True,False,False,24.02329444885254
11,124.96436839636266,-0.6617659840435305,53.14819748083193,-0.022904699199367475,4.301472444190939,-1.396765870387345,SHADOW,40.48341890874464,54.781102908260536,158.83988059194172,-3.287269339942769,60.259213199086595,1.0,True,False,False,23.731470108032227
12,131.63779897581983,-0.8263133420959861,53.6071060590785,-0.026173706891186713,3.0719125329074464,-1.3158775942743515,SHADOW,40.644883314942575,53.58268386154232,165.60925171130523,-3.4916837309184614,58.94095224769656,1.0,True,False,False,23.3612060546875
13,138.35716522587813,-1.0129911527278819,53.9008718722617,-0.02913766211101467,1.8367779457805438,-1.1526238619570368,SHADOW,40.58586734899711,52.220157232123746,172.22366632481695,-3.701003608394242,57.442172955336126,1.0,True,False,False,23.561716079711914
14,145.10638947353416,-1.218916193723724,54.12384600589075,-0.031624879794734356,1.7026170966975156,-0.9122554570657679,SHADOW,40.30183634215666,50.707237807681,178.6590015680348,-3.913609226174817,55.7779615884491,1.0,True,False,False,23.815393447875977
15,151.86152692072264,-1.4396018380413993,53.98199982844662,-0.033457691193913015,-1.3995917984184374,-0.5907222601936772,SHADOW,39.79095633087715,49.07155139568173,184.89734580441132,-4.126922308543411,53.978706535249906,1.0,True,False,False,25.92158317565918
16,158.58931585042524,-1.6688752667278028,53.71347309816857,-0.034452228335357375,-2.7380630531041357,-0.18640388016241377,SHADOW,39.064343388674644,47.340006929121934,190.92587030939728,-4.337570575869745,52.07400762203413,1.0,True,False,False,26.843547821044922
17,165.27072434394213,-1.8996762942207615,53.24311187336821,-0.03440512100692774,-4.538878798069544,0.3024551667078418,SHADOW,38.14590354263498,45.54066831807378,196.73521939306022,-4.541380766154703,50.09473514988116,1.0,True,False,False,24.025440216064453
18,171.877714046839,-2.1232646319379347,52.52870435700039,-0.033069663951273275,-6.584909675195788,0.8927255543552052,SHADOW,37.04867315036779,43.70439611307306,202.31939749430992,-4.733535458044292,47.69471095932344,1.0,True,False,False,25.12335777282715
19,178.3780601252126,-2.3293901771356973,51.538856210533844,-0.030178453525602576,-8.895560191159113,1.5684790854781234,SHADOW,35.798358280958894,41.864202591540575,207.6760723277979,-4.908664156414527,44.031022690846875,1.0,True,False,False,25.516510009765625
