step,s,n,V,chi,ax,ay,mode,gap,opp_V,opp_s,opp_n,speed_cap,speed_scale,planner_ok,collision,ot_ready,t_plan_ms
0,55.97762960060486,-1.0001729563997683,47.506518519431545,-8.804063801359748e-05,-7.088788723085901,-0.06919296208409802,SHADOW,15.0,40.0,65.0,0.5,38.0,1.0,True,False,False,52.29496955871582
1,61.858940276106026,-1.0012250542201178,46.6370677248443,-0.00026603043690798207,-6.698371276858881,-0.07048838528022533,SHADOW,15.905277715478476,55.26821388373641,71.88290731608333,-0.3858023792684466,55.76854470776886,1.0,True,False,False,26.98540687561035
2,67.6416802633263,-1.0033963061313909,45.96875505344895,-0.0004937485293098222,-4.0874987927325135,-0.09927462994985402,SHADOW,16.92906561308753,55.428894309172605,78.78800588919356,-0.9245471879697444,56.49815404900548,1.0,True,False,False,23.21910858154297
3,73.36489389152814,-1.0071970673492825,45.69210836656378,-0.0008499839221605434,-0.5733174438934752,-0.1567336655290425,SHADOW,18.071420213109093,55.60835871816543,85.71310047643539,-1.3323173892521216,57.31632508801337,1.0,True,False,False,25.365591049194336
4,79.08083013223785,-1.0135197283635542,45.82600782672849,-0.0013708980926922115,2.4772044133059,-0.21611379509685913,SHADOW,19.29688488688187,55.80423796207553,92.66177877841001,-1.6464740745994875,58.20208182930755,1.0,True,False,False,23.136377334594727
5,84.83616728445871,-1.0234289440910727,46.294554383187915,-0.0020827714719701524,4.811270240852767,-0.29311484846127434,SHADOW,20.553502088686386,55.97877174232879,99.63433222092424,-1.8952011895708183,59.087554000260006,1.0,True,False,False,22.89104461669922
6,90.66697848174724,-1.03861795656946,47.00991467918073,-0.003178528398795912,6.458316949633176,-0.4936087965470711,SHADOW,21.789510069619865,56.098436778374065,106.62567735407858,-2.099933978021643,59.9072457923411,1.0,True,False,False,25.746822357177734
7,96.59894148832886,-1.0620274847169757,47.888692532255426,-0.004707911619850957,7.460500573620044,-0.6340933199378532,SHADOW,22.960515833207666,56.130227590858,113.6274943149549,-2.151869729113129,60.59848324544375,1.0,True,False,False,29.947280883789062
8,102.64734374233853,-1.0960957056945244,48.85228661796652,-0.006500392852802176,7.8526652412907145,-0.7167518598606181,SHADOW,24.028646104487592,56.048797478896475,120.62758759281645,-2.2192854206964783,61.109245049087,1.0,True,False,False,23.871421813964844
9,108.8182101200626,-1.1428609984658924,49.835438849935294,-0.008619281716415591,7.821236918922578,-0.9029676990890647,SHADOW,24.963663544909792,55.835682835635595,127.61100728724833,-2.428363628147056,61.39896241138127,1.0,True,False,False,24.080991744995117
10,115.11061595740686,-1.2050641536210869,50.78932679941236,-0.011050726177200536,7.393461054906396,-1.0003952226888526,SHADOW,25.741630993133654,55.46950451417144,134.55984111319626,-2.623515611524681,61.016454965588586,1.0,True,False,False,23.15235137939453
11,121.51737508156488,-1.2844725138771083,51.66207539955517,-0.013597049472297664,6.5639380911664595,-1.0312158081299403,SHADOW,26.34326657106523,54.941515501604485,141.4538825284721,-2.812538771223636,60.43566705176494,1.0,True,False,False,25.258779525756836
12,128.02524612190334,-1.3817890700538864,52.410358256061514,-0.016157780141607035,5.426448632370867,-1.0385900848125462,SHADOW,26.757141938111275,54.248849308815906,148.27451701967615,-3.000863590958578,59.6737342396975,1.0,True,False,False,25.675058364868164
13,134.61615271424026,-1.4971611447002375,52.99826795890852,-0.018692213115066622,4.025902402754493,-1.0272595639790807,SHADOW,26.975305535425974,53.38570467345418,155.0005516573293,-3.191892686023109,58.7242751407996,1.0,True,False,False,24.85036849975586
14,141.2688628992996,-1.6301959473639116,53.42363651735858,-0.021131701067843817,3.0534527333601416,-0.9738582889055576,SHADOW,26.99308489742947,52.35692417473642,161.60923761166973,-3.3873048444545613,57.592616592210064,1.0,True,False,False,23.640871047973633
15,147.96850935500456,-1.7800504638031902,53.76628593226337,-0.02343801272349124,2.3841817541947212,-0.916253284441451,SHADOW,26.811185270454757,51.17449032831171,168.08004816975435,-3.5874228806703505,56.29193936114289,1.0,True,False,False,24.066925048828125
16,154.70358509914033,-1.9456967881031142,53.992643637890325,-0.02558647174685673,1.2374712053527184,-0.8402018170784037,SHADOW,26.427769360888647,49.85123672621835,174.3962787158932,-3.7915022471182573,54.83636039884019,1.0,True,False,False,24.09195899963379
17,161.44365084546897,-2.1251120491869995,53.84275032116117,-0.027474181432370237,-1.9623442319875244,-0.6908644654530508,SHADOW,25.838665741237918,48.40304098263143,180.54225084037824,-3.9978088415271094,53.24334508089458,1.0,True,False,False,23.749113082885742
18,168.14813815756946,-2.3148271169852177,53.45169173320713,-0.028931506180680626,-4.077358672211531,-0.46519603175983504,SHADOW,25.058965197015823,46.85092175964853,186.5026160424848,-4.203766694253643,50.07439163737661,1.0,True,False,False,25.889158248901367
