Metric,Ours (RL),A2RL (RAW OCP),Naive GT
OSR,0.000000,0.222222,0.000000
TTO,-1.000000,7.250000,-1.000000
STI,-44.919397,-18.854457,-42.875550
SI_min_gap_m,50.994136,0.099938,33.303992
SI_collision_count,0.000000,19.000000,0.000000
SI_avg_TTC_s,166.571719,19.787920,51.076901
SI_min_TTC_s,5.593198,0.064832,6.395225
SI_track_violation_frac,0.000000,0.000000,0.000000
NG,0.000000,0.000000,0.000000
SW,123.999504,133.079089,124.591768
TS_switch_rate,0.018927,0.000000,0.028391
TS_alpha_std,0.137475,0.000000,0.216757
TS_alpha_delta_mean,0.027521,0.000000,0.017494
PFR,1.000000,1.000000,0.987421
