step,s,n,V,chi,ax,ay,mode,gap,opp_V,speed_cap,speed_scale,planner_ok,collision,ot_ready,t_plan_ms
0,56.235179302378604,-0.0005462356102078069,49.681971962481775,-0.00024927500190001766,-4.425317553446318,-0.1911434244398347,SHADOW,50.0,42.0,46.2,1.0,True,False,False,53.26366424560547
1,62.41315997184875,-0.004568665545374257,49.22213178390172,-0.0011492301661595193,-2.9370240624897876,-0.49794228302573307,FOLLOW,51.01267285981792,58.15523099727062,61.06299254713416,1.0,True,False,False,32.40084648132324
2,68.54872239831313,-0.01633121692676153,49.00918544920928,-0.002705342961413759,-0.6088313751473446,-0.7032506756975033,FOLLOW,52.09312450283502,58.18083149889854,61.08987307384347,1.0,True,False,False,26.486873626708984
3,74.67731599702384,-0.03916893866587043,49.09876293850558,-0.004713680267411946,1.835618553092421,-0.8475993192759301,FOLLOW,53.21264423979221,58.08070097993218,60.98473602892879,1.0,True,False,False,27.92072296142578
4,80.83594100275448,-0.07550376502639028,49.467184091230195,-0.007001514844208976,3.848022123012497,-0.9257434619584036,FOLLOW,54.31829996592512,57.82707052241101,60.71842404853157,1.0,True,False,False,29.981136322021484
5,87.05533500059373,-0.12681653886974675,50.04792052919311,-0.009367894054653315,5.255852164029778,-0.9250221719006627,FOLLOW,55.35253315351659,57.40330951836432,60.27347499428254,1.0,True,False,False,30.663728713989258
6,93.3569911985602,-0.1934973372100734,50.76381731311935,-0.011641016964832454,6.044323967319282,-0.8755843386117155,FOLLOW,56.2645568344319,56.79970524896184,59.63969051140994,1.0,True,False,False,28.019428253173828
7,99.75259785745153,-0.27530042079096984,51.53565337834492,-0.013798823676795668,6.19218802074606,-0.8473514975187524,FOLLOW,57.00726334609854,56.00517868940105,58.80543762387111,1.0,True,False,False,26.30138397216797
8,106.2439779020577,-0.37245877748702566,52.287100087000596,-0.01604287469053865,5.762195887174432,-0.9515107161614504,FOLLOW,57.54814987936847,55.02782735530798,57.77921872307338,1.0,True,False,False,29.07562255859375
9,112.82413053237983,-0.48625793010119533,52.960975478159654,-0.018411060939794797,5.197997227824274,-0.9760528526873432,FOLLOW,57.86234886131162,53.8673703881595,56.560738907567476,1.0,True,False,False,26.702165603637695
10,119.48531861993274,-0.6172503600172061,53.59675554925759,-0.020764867717198657,4.885826039595857,-0.9573428585343726,FOLLOW,57.93123913768969,52.536553973830316,55.16338167252184,1.0,True,False,False,27.63652801513672
11,126.1703066357905,-0.763918247095233,53.30398216677394,-0.02294230954604476,-2.656594194551327,-0.838074781081231,FOLLOW,57.74328968375417,51.05835170198803,53.61126928708743,1.0,True,False,False,27.125835418701172
12,132.8082176450372,-0.9227544264119644,52.945887193983246,-0.024712498337183347,-3.03472601279383,-0.6028752744645097,FOLLOW,57.34147351791603,49.45017516207197,51.92268392017557,1.0,True,False,False,50.42910575866699
13,139.39285733899106,-1.0897460714767266,52.434993478905355,-0.025794687963392626,-4.730380370941608,-0.255759498516283,FOLLOW,56.78176640889612,47.73770380640311,50.12458899672327,1.0,True,False,False,28.04708480834961
14,145.90032725598175,-1.2585572970098045,51.72808455302955,-0.0258609801476446,-6.240179571722584,0.24113354337376947,FOLLOW,56.05818611586034,45.949956019046766,48.24745381999911,1.0,True,False,False,26.440858840942383
15,152.30558306682693,-1.42066051694148,50.79913418239975,-0.024534822991686595,-8.213675969118043,0.8713735566566596,FOLLOW,55.18642723412279,44.118694718304546,46.324629454219775,1.0,True,False,False,31.15558624267578
16,158.58022948385002,-1.565514940311353,49.651715239490876,-0.02143245214652261,-9.77074759867959,1.6289884396976562,FOLLOW,54.18841187336923,42.27698235272601,44.39083147036231,1.0,True,False,False,26.961088180541992
17,164.69723543824844,-1.681763189541886,48.26123757604161,-0.016471884510725475,-11.979277839919057,2.268518662583046,FOLLOW,53.09537282931805,40.456112165814474,42.4789177741052,1.0,True,False,False,42.99640655517578
18,170.627588351025,-1.7601088402690463,46.68103812204321,-0.009925171516746798,-12.942667826937186,2.729561782674436,FOLLOW,51.935072057423014,38.693452360269205,40.62812497828267,1.0,True,False,False,25.931119918823242
19,176.3549093014188,-1.7947186850470538,45.01639450717888,-0.0022533897707077396,-13.393723194831411,2.9426711925728855,FOLLOW,50.74364259452071,37.02635015744042,38.877667665312444,1.0,True,False,False,26.989221572875977
20,181.8726693162455,-1.7809708075693587,43.370264251525704,0.007309131998627289,-12.758517297394365,3.7803618370987575,SHADOW,49.5523376510655,35.48640785455755,39.03504864001331,1.0,True,False,False,26.210784912109375
21,187.18855109154893,-1.7103182971480928,41.80579632518994,0.01890110719202656,-12.11088156299369,4.109483817971368,SHADOW,48.3853478576155,34.11672869182885,37.528401561011734,1.0,True,False,False,30.469179153442383
22,192.3127135928943,-1.580066005423168,40.32912703175908,0.03118441030614249,-11.38857054498186,3.978047169325142,SHADOW,47.25491054781028,32.928944945405476,36.221839439946024,1.0,True,False,False,26.772260665893555
23,197.25737714285853,-1.3941619876320777,38.96889549518805,0.04301050308529629,-10.321428822695793,3.539742203563647,SHADOW,46.1680938857553,31.890735687144794,35.079809255859274,1.0,True,False,False,24.150848388671875
24,202.0383564313474,-1.1608093349241155,37.735552358974225,0.053478993269661074,-9.37251632942646,2.8934467456204644,SHADOW,45.131486473387554,30.951911827704524,34.04710301047498,1.0,True,False,False,23.54264259338379
25,206.67049359493754,-0.8908604506167658,36.60979389827364,0.0619324438604055,-8.596838698714555,2.1310571859258216,SHADOW,44.1274423355475,30.137904706945427,33.15169517763997,1.0,True,False,False,22.808074951171875
26,211.16637548346984,-0.596556688378489,35.572110560743226,0.06790908442698504,-7.955721956813893,1.3047593807117008,SHADOW,43.15467544020308,29.466026565456755,32.41262922200243,1.0,True,False,False,22.971391677856445
27,215.53564994464767,-0.2910685077161594,34.58504094105169,0.07093769480111332,-7.725213790796222,0.38370744761964437,SHADOW,42.217580629620215,28.927619760310158,31.820381736341176,1.0,True,False,False,25.118589401245117
28,219.78499256310818,0.011582148646223422,33.65524194524769,0.07070643537051541,-7.090438141067467,-0.5249447913426547,SHADOW,41.312779222264055,28.510584327968694,31.361642760765566,1.0,True,False,False,23.810148239135742
29,223.92539713032846,0.2984936466243869,32.82288122816718,0.06734350287846491,-6.2007454832005955,-1.2918361230109243,SHADOW,40.43826147983964,28.207011329209525,31.02771246213048,1.0,True,False,False,24.245500564575195
30,227.97129611801256,0.5598073713358473,32.110037391892284,0.06162156336388425,-5.197772305132908,-1.7374882960870521,SHADOW,39.62217057799933,28.00965628733776,30.810621916071536,1.0,True,False,False,23.80204200744629
31,231.93841535011452,0.7909204505160344,31.52578745625928,0.055043285981240246,-4.159602720520033,-1.7080089277622401,SHADOW,38.94653928353006,27.894373330036288,30.683810663039917,1.0,True,False,False,23.507356643676758
32,235.8426226513416,0.9941639241917185,31.070947178210567,0.049530516521067235,-3.146768862484178,-1.153550164257711,SHADOW,38.50720516753748,27.84563919328304,30.630203112611348,1.0,True,False,False,22.497892379760742
33,239.6991143629285,1.178902418687677,30.737171103476104,0.04696455340814713,-2.2525311799673218,-0.13386605963450338,SHADOW,38.326254989232865,27.84624979307348,30.630874772380828,1.0,True,False,False,23.542165756225586
34,243.52063110546052,1.3609218009120647,30.49295503730822,0.04914727236042802,-1.731268772540684,1.3133035566462186,SHADOW,38.34732332061262,27.878279451498734,30.66610739664861,1.0,True,False,False,23.14305305480957
35,247.31417935012817,1.5620014690613324,30.28695972231194,0.05768035496069553,-1.6116418673450918,3.081350051338987,SHADOW,38.50972444076987,27.9277742339368,30.720551657330482,1.0,True,False,False,23.34761619567871
36,251.0800058135849,1.808366497185424,30.07679044586663,0.07370808871204622,-1.7694348827963566,5.039117962175675,SHADOW,38.77296628203314,27.989527781818317,30.788480560000153,1.0,True,False,False,22.762298583984375
