step,s,n,V,chi,ax,ay,mode,gap,opp_V,speed_cap,speed_scale,planner_ok,collision,ot_ready,t_plan_ms
0,56.23136666800719,-0.0018508142734744199,49.597994357877354,-0.0008238424712123558,-5.65819154293716,-0.6042061422902368,FOLLOW,50.0,42.0,44.1,1.0,True,False,False,65.14120101928711
1,62.38253708998389,-0.01288157955128983,48.8491184482808,-0.0028248485386267288,-6.086706030500207,-0.9367315523222886,FOLLOW,51.01648549418933,58.15523099727062,61.06299254713416,1.0,True,False,False,53.394317626953125
2,68.44720188064342,-0.038083706718234335,48.27682918098389,-0.005438833237406682,-3.2236897977189014,-1.0735766896056729,FOLLOW,52.123747384699875,58.18083149889854,61.08987307384347,1.0,True,False,False,35.71152687072754
3,74.46416114949207,-0.07943775727946381,48.071583714277516,-0.008162325210480402,-0.27026273641632326,-1.0162590114995007,FOLLOW,53.314164757461924,58.08070097993218,60.98473602892879,1.0,True,False,False,27.5418758392334
4,80.47855745215597,-0.13623002526956907,48.214292779775086,-0.010513400639450362,2.3298490417490134,-0.7954519187847543,FOLLOW,54.53145481345689,57.82707052241101,60.71842404853157,1.0,True,False,False,29.8764705657959
5,86.53020269250683,-0.2058109365262137,48.64273446369301,-0.012294215552818653,4.320342438690003,-0.576917408504364,FOLLOW,55.7099167041151,57.40330951836432,60.27347499428254,1.0,True,False,False,31.343460083007812
6,92.6496632415122,-0.2854708440116746,49.27539543486529,-0.013603334824554824,5.6337765308506285,-0.4282283295325118,FOLLOW,56.789689142518796,56.79970524896184,59.63969051140994,1.0,True,False,False,39.26682472229004
7,98.85704723325013,-0.37351522265035986,50.02933988724007,-0.014687743649218241,6.3038168842645605,-0.39398040290139996,FOLLOW,57.714591303146534,56.00517868940105,58.80543762387111,1.0,True,False,False,31.140804290771484
8,105.16260816173386,-0.4695119708430395,50.83244098556089,-0.015687857426424714,6.4576529003455985,-0.36576163577151155,FOLLOW,58.44370050356987,55.02782735530798,57.77921872307338,1.0,True,False,False,29.59442138671875
9,111.56850531584973,-0.5732543022978066,51.62662901249327,-0.016639948573755607,6.194398805969797,-0.3589702718039502,FOLLOW,58.94371860163545,53.8673703881595,56.560738907567476,1.0,True,False,False,32.38081932067871
10,118.07021302977527,-0.684138673413208,52.36103847221993,-0.0173497377432385,5.533096624296484,-0.1849834369775273,FOLLOW,59.18686435421978,52.536553973830316,55.16338167252184,1.0,True,False,False,29.737472534179688
11,124.65469110575125,-0.7997890564335829,52.93652846944678,-0.017698596144126652,3.777361418860355,-0.0518009402328998,FOLLOW,59.15839527391164,51.05835170198803,53.61126928708743,1.0,True,False,False,26.6876220703125
12,131.25591807264578,-0.9174538509019085,52.6140420798666,-0.01794406482459547,-3.2403269383125237,-0.07410835078449293,FOLLOW,58.85708904795527,49.45017516207197,51.92268392017557,1.0,True,False,False,34.84177589416504
13,137.80105859058904,-1.0353028372008373,52.13267530100387,-0.01798617824270781,-4.19155653189448,0.10325074546198099,FOLLOW,58.33406598128752,47.73770380640311,50.12458899672327,1.0,True,False,False,38.75398635864258
14,144.27559921535325,-1.1499743087144416,51.47635569898253,-0.017293435022791043,-5.938763310740936,0.5128198355025779,FOLLOW,57.649984864262365,45.949956019046766,48.24745381999911,1.0,True,False,False,29.648542404174805
15,150.65291868819838,-1.2546275903765305,50.580974134430356,-0.015368850663277325,-7.9743684864820406,1.083473861118609,FOLLOW,56.811155274751286,44.118694718304546,46.324629454219775,1.0,True,False,False,29.68764305114746
16,156.9003074602387,-1.3405880351694281,49.39769088113158,-0.01207273441985016,-10.423785189196419,1.5794170461401027,FOLLOW,55.84107625199778,42.27698235272601,44.39083147036231,1.0,True,False,False,48.46048355102539
17,162.98335352633433,-1.4003837760950473,47.973911856952284,-0.007580577527325541,-11.929604901622579,1.957292376045416,FOLLOW,54.77529485292936,40.456112165814474,42.4789177741052,1.0,True,False,False,29.345035552978516
18,168.87885543983742,-1.4289992223098196,46.399638112254905,-0.002174056269277423,-12.899889748574537,2.174755987973899,FOLLOW,53.64895396933713,38.693452360269205,40.62812497828267,1.0,True,False,False,30.362844467163086
19,174.5708236838751,-1.4241880755100222,44.73023713783876,0.003702416134660179,-13.49002855732609,2.1763069956839463,FOLLOW,52.49237550570828,37.02635015744042,38.877667665312444,1.0,True,False,False,30.423641204833984
20,180.04793009982774,-1.387168837714549,42.989034709910335,0.009488964424400219,-14.0292770226317,1.9704659182531845,FOLLOW,51.336423268609195,35.48640785455755,37.26072824728543,1.0,True,False,False,36.580801010131836
21,185.30337472321915,-1.3227993807724072,41.22175909516287,0.014539074938036023,-13.979985534125477,1.5460517182061133,FOLLOW,50.210087074033254,34.11672869182885,35.822565126420294,1.0,True,False,False,29.817819595336914
22,190.33899354972618,-1.2379805552130416,39.50062977360656,0.018761455420734402,-13.379907388071832,1.2674878570586319,FOLLOW,49.14008691614006,32.928944945405476,34.57539219267575,1.0,True,False,False,27.25815773010254
23,195.1652655348323,-1.1374944938867118,37.88664389796037,0.022569384408085817,-12.354576708087302,1.125888931713847,FOLLOW,48.141813928923426,31.890735687144794,33.485272471502036,1.0,True,False,False,24.658918380737305
24,199.7971765460502,-1.0237841210638698,36.38374015021999,0.02624979052263821,-11.5772208459465,1.0489453408786242,FOLLOW,47.2235980814138,30.951911827704524,32.49950741908975,1.0,True,False,False,29.499053955078125
25,204.2490070855165,-0.898275595993467,35.00574681554426,0.029853873647362854,-10.427140519930717,0.9655001807877335,FOLLOW,46.36862222084471,30.137904706945427,31.6447999422927,1.0,True,False,False,24.211406707763672
26,208.53858175314704,-0.7621370457458886,33.775849632619774,0.03335299875565415,-9.228602978986643,0.8865184823731622,FOLLOW,45.57616194962412,29.466026565456755,30.939327893729594,1.0,True,False,False,26.037216186523438
27,212.68469586329215,-0.6165054753242791,32.69636040422636,0.03662585190491428,-8.027232838915856,0.7624154782758414,FOLLOW,44.84537435994301,28.927619760310158,30.374000748325667,1.0,True,False,False,25.576353073120117
28,216.70606414955887,-0.4630189350555851,31.7660783967945,0.03943785454631808,-6.840803479918367,0.5816541991483106,FOLLOW,44.16373330361958,28.510584327968694,29.936113544367128,1.0,True,False,False,23.863554000854492
29,220.62072071313793,-0.30418307305774894,30.974305959640652,0.04140890826792139,-5.786948361786526,0.29535578283565556,FOLLOW,43.517189893388945,28.207011329209525,29.61736189567,1.0,True,False,False,25.82526206970215
30,224.445142584531,-0.1439021521610523,30.321195182708607,0.04207051533940946,-4.641612591148719,-0.08178087606222617,FOLLOW,42.92684699518986,28.00965628733776,29.410139101704647,1.0,True,False,False,26.045560836791992
31,228.19722928587876,0.012572156053370392,29.816060114427234,0.0410042273063633,-3.4609876902667427,-0.528621391604349,FOLLOW,42.47269281701162,27.894373330036288,29.289091996538104,1.0,True,False,False,26.622533798217773
32,231.89622917064145,0.1590935381516465,29.46208086275843,0.03799068494208008,-2.270730640878517,-0.9818228716651025,FOLLOW,42.24839123177324,27.84563919328304,29.237921152947195,1.0,True,False,False,23.612499237060547
33,235.5608318732851,0.2899231763075235,29.245671981556665,0.03345474015695687,-1.288689737002813,-1.2082148910983508,FOLLOW,42.27264846993302,27.84624979307348,29.238562282727155,1.0,True,False,False,23.477554321289062
34,239.2062967691855,0.4022134112468698,29.132377498053437,0.02848710645358744,-0.6253723320184192,-1.0955652212046907,FOLLOW,42.485605810256004,27.878279451498734,29.272193424073674,1.0,True,False,False,23.518800735473633
35,242.8423808034425,0.49815044104313566,29.07300454070211,0.024956059213970185,-0.39040797242178105,-0.44594466189278403,FOLLOW,42.82405877704488,27.9277742339368,29.32416294563364,1.0,True,False,False,24.814367294311523
36,246.4723684386105,0.5874076738736584,29.02127643462278,0.025045081965807837,-0.47450565380574,0.6856446852317875,FOLLOW,43.244764828718814,27.989527781818317,29.389004170909235,1.0,True,False,False,23.63419532775879
37,250.0942616462264,0.6865727939584264,28.939282471731307,0.030463427070639763,-0.8431815086171439,2.161169821897545,FOLLOW,43.7124157456642,28.062519606181986,29.465645586491085,1.0,True,False,False,23.868322372436523
38,253.70153681036783,0.8175132752705234,28.798052712068234,0.04261520929050607,-1.3958604483918828,3.9193277656135246,FOLLOW,44.20828851517717,28.145128321242314,29.552384737304433,1.0,True,False,False,23.735523223876953
39,257.2856598039132,1.0043328949866421,28.58011711338926,0.06102316943939175,-2.0471249542820606,5.854852089900006,FOLLOW,44.71598499744431,28.23529544487832,29.647060217122238,1.0,True,False,False,23.557186126708984
40,260.84606781155253,1.25557136697917,28.278438344526663,0.07769667919051808,-2.71572977058579,7.863643605716032,FOLLOW,45.221867842320705,28.35126632783533,29.768829644227097,1.0,True,False,False,24.10721778869629
41,264.39936367788874,1.5378646540026673,27.902363597317443,0.07931573221479297,-3.23929314909939,9.789445556703786,FOLLOW,45.69882776242321,28.528183872580957,29.954593066210006,1.0,True,False,False,23.95343780517578
42,267.96827980687385,1.7797343662006044,27.472123378853446,0.05788694361317413,-3.587288223218425,11.566541639237842,FOLLOW,46.101737686717456,28.777787232551322,30.21667659417889,1.0,True,False,False,24.106264114379883
43,271.5486016695387,1.9084561706572531,27.014862029335166,0.018777409454126856,-3.67869345335947,13.197401074776442,FOLLOW,46.38154952011888,29.0990075173538,30.553957893221494,1.0,True,False,False,24.928569793701172
44,275.09525327902185,1.8971959575166073,26.56657089247871,-0.02098397896100391,-3.456205925429738,14.472169351409297,FOLLOW,46.50091280730237,29.498651388845165,30.973583958287424,1.0,True,False,False,23.029088973999023
45,278.5699872405008,1.7722411917143732,26.1710282084799,-0.05049148584211967,-2.8745162100981405,15.164362336841222,FOLLOW,46.53408824413265,29.957833924007264,31.45572562020763,1.0,True,False,False,23.02098274230957
46,281.97109136596043,1.5691356042554592,25.870695000482648,-0.07141015996884945,-2.0079821476069286,15.480829129223363,FOLLOW,46.61761011756289,30.484827610485507,32.009068991009784,1.0,True,False,False,23.079395294189453
47,285.3106013538704,1.3113912434526438,25.674413080533903,-0.08625929602231494,-1.248194209733147,16.002897290005052,FOLLOW,46.8538409480127,31.104049327236105,32.65925179359791,1.0,True,False,False,25.998353958129883
48,288.6000242386957,1.0183506521453505,25.561375092245065,-0.09510711277108898,-0.632095882855464,16.655561755782852,FOLLOW,47.292225570233256,31.801560156332606,33.391638164149235,1.0,True,False,False,22.906780242919922
49,291.84969653671743,0.7062909808960565,25.515753832523576,-0.09959617743319643,-0.15196850312388527,17.05816739364596,FOLLOW,47.93178599702924,32.51872408320291,34.14466028736306,1.0,True,False,False,26.266813278198242
50,295.0685012590012,0.38487476147022165,25.52796958835405,-0.10179695794625496,0.29583180221468053,17.163933160432762,FOLLOW,48.72678899424187,33.163288078878615,34.82145248282255,1.0,True,False,False,25.610685348510742
51,298.26399791007475,0.05708085799235885,25.594874983905452,-0.103683843801279,0.7149192443828399,17.04264430667443,FOLLOW,49.64623976212977,33.69975856728684,35.384746495651186,1.0,True,False,False,23.67544174194336
52,301.44195125262013,-0.28022422377021905,25.71359502905876,-0.10689030242538508,1.1642975029768143,16.938451176837336,FOLLOW,50.667144079067384,34.1639385197535,35.87213544574118,1.0,True,False,False,25.84552764892578
53,304.60777098649623,-0.6316576112136042,25.89403285415028,-0.1110525503072175,1.6604147628472155,16.977620234731077,FOLLOW,51.766001885539254,34.66072080831783,36.39375684873373,1.0,True,False,False,25.920629501342773
54,307.7668793225113,-1.001413292067955,26.133108716263962,-0.11635915393096485,2.1106539752322746,16.936258554825,FOLLOW,52.946995104802795,35.25978598737441,37.022775286743126,1.0,True,False,False,27.928590774536133
55,310.9235753444627,-1.3952909826166797,26.434758901653346,-0.12339765230623338,2.648326240161442,16.86510274585154,FOLLOW,54.214156835385495,35.90551458567165,37.700790314955235,1.0,True,False,False,25.804996490478516
56,314.081077846869,-1.8220020336236,26.80427744916406,-0.13288413158758824,3.1996591806509183,16.82684246913762,FOLLOW,55.56406822020881,36.5185901881142,38.344519697519914,1.0,True,False,False,25.127410888671875
57,317.24685840685174,-2.289633539984189,27.241122005203316,-0.1428771390094237,3.705419597151587,16.782553197967715,FOLLOW,56.988219737921895,37.07956174777829,38.93353983516721,1.0,True,False,False,27.085304260253906
58,320.44934691746903,-2.788551922524745,27.720988887918594,-0.14555434188144425,3.9258683910611563,16.381794565669697,FOLLOW,58.47548391414182,37.63486346274478,39.51660663588202,1.0,True,False,False,25.172710418701172
59,323.74264210393994,-3.2767949285118574,28.250530088997767,-0.1321189213281989,4.579420297373691,15.250888951159048,FOLLOW,59.994036381142735,38.13239401520368,40.03901371596387,1.0,True,False,False,25.61211585998535
