step,s,n,V,chi,ax,ay,mode,gap,opp_V,speed_cap,speed_scale,planner_ok,collision,ot_ready,t_plan_ms
0,56.235179302378604,-0.0005462356102078069,49.681971962481775,-0.00024927500190001766,-4.425317553446318,-0.1911434244398347,SHADOW,50.0,42.0,46.2,1.0,True,False,False,54.709672927856445
1,62.4131836699818,-0.004149490360901584,49.22263829665213,-0.0009619781099977039,-2.929846765850931,-0.3630634615366063,SHADOW,51.01267285981792,58.15523099727062,63.97075409699769,1.0,True,False,False,29.563188552856445
2,68.54891388044464,-0.013023920267266533,49.01148761253906,-0.001890017461499563,-0.5882395460022387,-0.3662850017960105,SHADOW,52.09310080470197,58.18083149889854,63.9989146487884,1.0,True,False,False,25.8636474609375
3,74.67828937869325,-0.02732866294028273,49.110011828138965,-0.0026944213593189854,1.9430822775166265,-0.2684156069281371,SHADOW,53.2124527576607,58.08070097993218,63.888771077925405,1.0,True,False,False,30.300140380859375
4,80.83940150506919,-0.045076569444639836,49.494267727493686,-0.002898312136727501,3.9867524997864248,0.0859041931801573,SHADOW,54.31732658425571,57.82707052241101,63.60977757465212,1.0,True,False,False,27.777433395385742
5,87.063500154186,-0.06142583494439143,50.091862574523276,-0.0022429256662457016,5.38407556990085,0.42399439697113217,SHADOW,55.34907265120188,57.40330951836432,63.14364047020075,1.0,True,False,False,28.73682975769043
6,93.37177169381349,-0.07173430189148473,50.817434122786736,-0.0010341347331102389,6.077085595424673,0.5675909971482603,SHADOW,56.25639168083963,56.79970524896184,62.479675773858034,1.0,True,False,False,27.599573135375977
7,99.77474606695849,-0.0738845339163959,51.59022905430667,0.0002704640661281737,6.176204207422134,0.5411386692025449,SHADOW,56.99248285084525,56.00517868940105,61.60569655834116,1.0,True,False,False,28.144121170043945
8,106.2733215024106,-0.06948657177618359,52.334577608365905,0.0008249767675407133,5.674616282841013,0.01823331229758418,SHADOW,57.526001669861515,55.02782735530798,60.53061009083878,1.0,True,False,False,30.73573112487793
9,112.85981188258268,-0.06510635995825159,53.00047125647501,0.00039785326658352884,5.162238449001447,-0.29250547849514974,SHADOW,57.833005260958714,53.8673703881595,59.25410742697545,1.0,True,False,False,26.041030883789062
10,119.52710490562511,-0.06632979481110336,53.63486692393826,-0.0008449019001758708,4.894412864321579,-0.6620654115661139,SHADOW,57.89555778748684,52.536553973830316,57.79020937121335,1.0,True,False,False,27.612924575805664
11,126.26924728604487,-0.0788896880882409,54.18605203034386,-0.0028969847831839656,3.869296379618112,-0.9936413320893367,SHADOW,57.7015033980618,51.05835170198803,56.16418687218684,1.0,True,False,False,25.439739227294922
12,133.0605990850954,-0.10789912766689312,54.38597402433975,-0.005589620747690644,0.24886684303853412,-1.2265396517562892,SHADOW,57.24253286766165,49.45017516207197,54.39519267827917,1.0,True,False,False,28.15079689025879
13,139.85174276737257,-0.15636983927102238,54.231138268258746,-0.008522397048180213,-2.157648048957764,-1.218361001157841,SHADOW,56.52938496883792,47.73770380640311,52.511474187043426,1.0,True,False,False,28.96595001220703
14,146.60399851998272,-0.22444087882827823,53.781729113030444,-0.011487534045654267,-4.615362730558283,-1.227695408039348,SHADOW,55.59930068747883,45.949956019046766,50.544951620951444,1.0,True,False,False,29.820680618286133
15,153.2790818122739,-0.310730527592735,53.01572400898297,-0.014104865164627205,-7.176915723109595,-0.9220657122882234,SHADOW,54.482755970121815,44.118694718304546,48.530564190135,1.0,True,False,False,29.173612594604492
16,159.83884188412915,-0.40896138742325655,51.96841201734605,-0.015463126899353988,-9.16245493919747,-0.18080887542256563,SHADOW,53.21491312792227,42.27698235272601,46.504680587998614,1.0,True,False,False,27.400970458984375
