Sref,Xref,Yref,Aref,Kref,Lmax,Lmin,S,L,X,Y,A,dA,K,V,AN,AT,Vs,ANs,ATs,TIME
0,-31.2163578,-118.755035,0.0960401954041334,-2.05e-05,7.2573636,-7.2689397,0,0,-31.2163578,-118.755035,0.0960401954041334,0,-2.05e-05,60.2465599,-0.0744077835855779,3.3379013,60.2465599,-0.0744077835855779,3.3379013,0
3.0014689,-27.2361518,-118.3715956,0.0959308272807583,-9.42e-05,7.257144,-7.2598643,3.0014689,0,-27.2361518,-118.3715956,0.0959308272807583,0,-9.42e-05,60.4670843,-0.344420472328619,3.3010531,60.4670843,-0.344420472328619,3.3010531,0.0662498922949409
6.002969,-25.2459811,-118.1805284,0.0955115434389912,-0.0001022,7.2379162,-7.2352428,6.002969,0,-25.2459811,-118.1805284,0.0955115434389912,0,-0.0001022,60.5761338,-0.375019628185092,3.2827346,60.5761338,-0.375019628185092,3.2827346,0.0992847279309178
9.0044981,-21.2655344,-117.7995923,0.0953177183938566,-9.21e-05,7.2697576,-7.2546837,9.0044981,0,-21.2655344,-117.7995923,0.0953177183938566,0,-9.21e-05,60.7918411,-0.340369175672576,3.246314,60.7918411,-0.340369175672576,3.246314,0.165177452931694
12.0060543,-19.2752533,-117.6096824,0.0949590842150224,-8.74e-05,7.2203621,-7.2461016,12.0060543,0,-19.2752533,-117.6096824,0.0949590842150224,0,-8.74e-05,60.8985121,-0.324134155021862,3.2282161,60.8985121,-0.324134155021862,3.2282161,0.198036607153257
15.0076358,-15.2946018,-117.2308876,0.0947933069284051,-7.88e-05,7.2284449,-7.2420742,15.0076358,0,-15.2946018,-117.2308876,0.0947933069284051,0,-7.88e-05,61.1095216,-0.294268642058252,3.1922472,61.1095216,-0.294268642058252,3.1922472,0.263583663826951
18.009241,-13.304227,-117.0419676,0.0944866577290809,-7.48e-05,7.2357247,-7.2606793,18.009241,0,-13.304227,-117.0419676,0.0944866577290809,0,-7.48e-05,61.2138732,-0.280285942756497,3.1743799,61.2138732,-0.280285942756497,3.1743799,0.296272758837277
21.0108684,-9.3234013,-116.6650038,0.094344948791684,-6.73e-05,7.2125387,-7.2738938,21.0108684,0,-9.3234013,-116.6650038,0.094344948791684,0,-6.73e-05,61.4203022,-0.253886122053437,3.1388823,61.4203022,-0.253886122053437,3.1388823,0.361485153731214
24.0125168,-7.3329466,-116.47693,0.0940828125604195,-6.39e-05,7.2206485,-7.2642893,24.0125168,0,-7.3329466,-116.47693,0.0940828125604195,0,-6.39e-05,61.5223924,-0.241861804586991,3.1212549,61.5223924,-0.241861804586991,3.1212549,0.394009579973162
27.0141851,-3.3519729,-116.1015315,0.0939616731000697,-5.76e-05,7.249952,-7.2639518,27.0141851,0,-3.3519729,-116.1015315,0.0939616731000697,0,-5.76e-05,61.7243561,-0.219450017431273,3.0862449,61.7243561,-0.219450017431273,3.0862449,0.458897851180865
30.0158722,-1.3614502,-115.9141811,0.0937375058227015,-5.47e-05,7.2518216,-7.2474106,30.0158722,0,-1.3614502,-115.9141811,0.0937375058227015,0,-5.47e-05,61.8242421,-0.209076359044796,3.0688651,61.8242421,-0.209076359044796,3.0688651,0.491262768492032
33.0175774,2.6196498,-115.5401212,0.0936337855336128,-4.94e-05,7.2448215,-7.2811683,33.0175774,0,2.6196498,-115.5401212,0.0936337855336128,0,-4.94e-05,62.0218533,-0.190027488166276,3.0343564,62.0218533,-0.190027488166276,3.0343564,0.555837021016772
36.0192999,4.6102305,-115.3533902,0.0934414785567793,-4.69e-05,7.2190761,-7.2769481,36.0192999,0,4.6102305,-115.3533902,0.0934414785567793,0,-4.69e-05,62.1195909,-0.18097976360106,3.0172298,62.1195909,-0.18097976360106,3.0172298,0.58804737420925
39.0210392,8.5914383,-114.9804787,0.0933522610906742,-4.26e-05,7.2428512,-7.2750118,39.0210392,0,8.5914383,-114.9804787,0.0933522610906742,0,-4.26e-05,62.3129605,-0.165411754971296,2.9832345,62.3129605,-0.165411754971296,2.9832345,0.652317286521864
42.0227949,10.5820688,-114.7942805,0.0931859983062047,-4.07e-05,7.2648861,-7.2896241,42.0227949,0,10.5820688,-114.7942805,0.0931859983062047,0,-4.07e-05,62.4086045,-0.158519740366443,2.9663664,62.4086045,-0.158519740366443,2.9663664,0.684377817090517
45.0245667,14.5633695,-114.4223619,0.0931082858872834,-3.73e-05,7.250202,-7.2864333,45.0245667,0,14.5633695,-114.4223619,0.0931082858872834,0,-3.73e-05,62.5978407,-0.146159664329286,2.9328931,62.5978407,-0.146159664329286,2.9328931,0.748352672133721
48.0263545,16.5540433,-114.2366278,0.0929620369768938,-3.59e-05,7.2769377,-7.2903704,48.0263545,0,16.5540433,-114.2366278,0.0929620369768938,0,-3.59e-05,62.6914447,-0.141094798864776,2.9162886,62.6914447,-0.141094798864776,2.9162886,0.7802679266808
51.0281584,20.5354255,-113.8655826,0.0928927638805978,-3.37e-05,7.2669796,-7.2786555,51.0281584,0,20.5354255,-113.8655826,0.0928927638805978,0,-3.37e-05,62.8766534,-0.133232058391812,2.8833445,62.8766534,-0.133232058391812,2.8833445,0.843956629031697
54.0299786,22.5261379,-113.6802622,0.0927599325734319,-3.29e-05,7.2871339,-7.2771418,54.0299786,0,22.5261379,-113.6802622,0.0927599325734319,0,-3.29e-05,62.9682697,-0.130448598338493,2.8670056,62.9682697,-0.130448598338493,2.8670056,0.875730970222605
57.0318155,26.5075938,-113.3100103,0.0926955485728081,-3.19e-05,7.2623011,-7.2605798,57.0318155,0,26.5075938,-113.3100103,0.0926955485728081,0,-3.19e-05,63.1495545,-0.127212932850196,2.8345962,63.1495545,-0.127212932850196,2.8345962,0.939142061976124
60.0336698,28.4983421,-113.1250744,0.0925685135988682,-3.18e-05,7.2535532,-7.2736383,60.0336698,0,28.4983421,-113.1250744,0.0925685135988682,0,-3.18e-05,63.2392343,-0.127174584004239,2.818526,63.2392343,-0.127174584004239,2.818526,0.970779676730021
63.0355423,32.4798683,-112.7555812,0.0925048662112605,-3.23e-05,7.2827273,-7.291456,63.0355423,0,32.4798683,-112.7555812,0.0925048662112605,0,-3.23e-05,63.4166964,-0.12990017944796,2.7866549,63.4166964,-0.12990017944796,2.7866549,1.03392135920818
66.0374342,34.4706521,-112.5710254,0.0923745045152608,-3.31e-05,7.2647141,-7.2831625,66.0374342,0,34.4706521,-112.5710254,0.0923745045152608,0,-3.31e-05,63.5044896,-0.1334863485987,2.7708544,63.5044896,-0.1334863485987,2.7708544,1.06542626698391
69.0393467,38.4522501,-112.2023108,0.0923065552360251,-3.55e-05,7.2787026,-7.2716152,69.0393467,0,38.4522501,-112.2023108,0.0923065552360251,0,-3.55e-05,63.6782275,-0.143949541342732,2.7395239,63.6782275,-0.143949541342732,2.7395239,1.12830641287371
72.0412817,40.4430717,-112.0181608,0.0921617632708466,-3.72e-05,7.2763281,-7.2933723,72.0412817,0,40.4430717,-112.0181608,0.0921617632708466,0,-3.72e-05,63.7641829,-0.151250401977653,2.7239941,63.7641829,-0.151250401977653,2.7239941,1.15968247276815
75.0432413,44.4247493,-111.650311,0.0920834304839886,-4.18e-05,7.2629698,-7.2708403,75.0432413,0,44.4247493,-111.650311,0.0920834304839886,0,-4.18e-05,63.9342928,-0.17086142066595,2.6932049,63.9342928,-0.17086142066595,2.6932049,1.22230864732322
78.0452277,46.4156146,-111.4666288,0.09191083615145,-4.48e-05,7.2804744,-7.2492374,78.0452277,0,46.4156146,-111.4666288,0.09191083615145,0,-4.48e-05,64.0184579,-0.183606660244854,2.6779459,64.0184579,-0.183606660244854,2.6779459,1.25355957115378
81.047244,50.3973866,-111.0998099,0.0918147900585664,-5.21e-05,7.2642501,-7.2731726,81.047244,0,50.3973866,-111.0998099,0.0918147900585664,0,-5.21e-05,64.1850337,-0.214637336510754,2.6476978,64.1850337,-0.214637336510754,2.6476978,1.31593903932768
84.0492934,52.3883053,-110.9167013,0.0915984852493843,-5.65e-05,7.2678802,-7.269399,84.0492934,0,52.3883053,-110.9167013,0.0915984852493843,0,-5.65e-05,64.2674547,-0.233362273949335,2.6327091,64.2674547,-0.233362273949335,2.6327091,1.3470683917774
87.0513798,56.3701954,-110.5511744,0.0914761703294296,-6.68e-05,7.2823443,-7.2840235,87.0513798,0,56.3701954,-110.5511744,0.0914761703294296,0,-6.68e-05,64.4305879,-0.277306883896927,2.6030005,64.4305879,-0.277306883896927,2.6030005,1.40920814185771
90.0535077,58.3611819,-110.3687963,0.0911978817587189,-7.28e-05,7.302134,-7.2467773,90.0535077,0,58.3611819,-110.3687963,0.0911978817587189,0,-7.28e-05,64.5113099,-0.302972422845007,2.5882812,64.5113099,-0.302972422845007,2.5882812,1.44021935191238
93.0556819,62.3432232,-110.0049317,0.0910397070400426,-8.64e-05,7.2802376,-7.2765411,93.0556819,0,62.3432232,-110.0049317,0.0910397070400426,0,-8.64e-05,64.6710893,-0.361355021963877,2.5591099,64.6710893,-0.361355021963877,2.5591099,1.50212609905082
96.0579081,64.334297,-109.8234983,0.0906796186540933,-9.41e-05,7.2707046,-7.2565952,96.0579081,0,64.334297,-109.8234983,0.0906796186540933,0,-9.41e-05,64.7501563,-0.394522035916284,2.5446583,64.7501563,-0.394522035916284,2.5446583,1.53302246564212
99.0601925,68.316533,-109.4617847,0.0904755131634287,-0.000111,7.2837377,-7.2730006,99.0601925,0,68.316533,-109.4617847,0.0904755131634287,0,-0.000111,64.9066687,-0.467629196232203,2.5160214,64.9066687,-0.467629196232203,2.5160214,1.5947026710819
102.0625421,70.3077186,-109.2815704,0.0900139144859111,-0.0001202,7.269162,-7.2827883,102.0625421,0,70.3077186,-109.2815704,0.0900139144859111,0,-0.0001202,64.9841234,-0.507596942546785,2.5018352,64.9841234,-0.507596942546785,2.5018352,1.62548736606135
105.0649644,74.2902028,-108.9226143,0.0897545437870517,-0.0001399,7.2595032,-7.2499758,105.0649644,0,74.2902028,-108.9226143,0.0897545437870517,0,-0.0001399,65.137453,-0.593580000887476,2.4737287,65.137453,-0.593580000887476,2.4737287,1.68694725013475
108.0674677,76.2815293,-108.7439493,0.0891748516342283,-0.0001502,7.2861432,-7.2691996,108.0674677,0,76.2815293,-108.7439493,0.0891748516342283,0,-0.0001502,65.213337,-0.63876745426587,2.4598068,65.213337,-0.63876745426587,2.4598068,1.71762332795853
111.0700605,80.2643226,-108.3884564,0.0888535151120066,-0.0001714,7.2919542,-7.2831889,111.0700605,0,80.2643226,-108.3884564,0.0888535151120066,0,-0.0001714,65.3635659,-0.732288631063848,2.4322245,65.3635659,-0.732288631063848,2.4322245,1.77886887574842
114.072752,82.2558219,-108.211711,0.08814700094983,-0.0001819,7.2745729,-7.2910807,114.072752,0,82.2558219,-108.211711,0.08814700094983,0,-0.0001819,65.4379196,-0.778917868394686,2.4185645,65.4379196,-0.778917868394686,2.4185645,1.809439277586
117.0755517,86.2389881,-107.8604393,0.0877623635995649,-0.0002021,7.2870631,-7.2646766,117.0755517,0,86.2389881,-107.8604393,0.0877623635995649,0,-0.0002021,65.5851277,-0.869314753933455,2.3915028,65.5851277,-0.869314753933455,2.3915028,1.870476254579
120.0784689,88.2306914,-107.6859919,0.0869346426862183,-0.0002113,7.2814601,-7.2833429,120.0784689,0,88.2306914,-107.6859919,0.0869346426862183,0,-0.0002113,65.6579905,-0.910908323696047,2.3781005,65.6579905,-0.910908323696047,2.3781005,1.90094380818941
123.0815127,92.2142896,-107.339666,0.0864950083786825,-0.0002265,7.2864087,-7.2704442,123.0815127,0,92.2142896,-107.339666,0.0864950083786825,0,-0.0002265,65.8022552,-0.980730682800443,2.3515527,65.8022552,-0.980730682800443,2.3515527,1.96177777777685
126.0846913,94.2062224,-107.1678455,0.0855759663681887,-0.0002334,7.2782485,-7.2648397,126.0846913,0,94.2062224,-107.1678455,0.0855759663681887,0,-0.0002334,65.8736654,-1.01280190774015,2.3384067,65.8736654,-1.01280190774015,2.3384067,1.99214520592151
129.0880117,98.1902929,-106.8270117,0.0850953716380991,-0.0002495,7.2939348,-7.2784304,129.0880117,0,98.1902929,-106.8270117,0.0850953716380991,0,-0.0002495,66.0150622,-1.08731811509883,2.3123671,66.0150622,-1.08731811509883,2.3123671,2.05278151676098
132.0914824,100.1824725,-106.6580632,0.0840795522772517,-0.0002572,7.2715438,-7.263191,132.0914824,0,100.1824725,-106.6580632,0.0840795522772517,0,-0.0002572,66.085057,-1.1232527799359,2.2994729,66.085057,-1.1232527799359,2.2994729,2.08305144670028
135.0951141,104.1670572,-106.3233005,0.083552664672691,-0.0002588,7.2786521,-7.2674161,135.0951141,0,104.1670572,-106.3233005,0.083552664672691,0,-0.0002588,66.2236592,-1.13498630219241,2.2739337,66.2236592,-1.13498630219241,2.2739337,2.14349527141157
138.0989125,106.159502,-106.1575011,0.0825274343917046,-0.0002481,7.2920813,-7.2487184,138.0989125,0,106.159502,-106.1575011,0.0825274343917046,0,-0.0002481,66.2922746,-1.09031655313433,2.2612883,66.2922746,-1.09031655313433,2.2612883,2.17367022866245
141.102874,110.1446003,-105.8288662,0.0820647779740536,-0.000199,7.2811482,-7.2803194,141.102874,0,110.1446003,-105.8288662,0.0820647779740536,0,-0.000199,66.4281535,-0.878127215906493,2.2362447,66.4281535,-0.878127215906493,2.2362447,2.23392660352511
144.1069833,112.1372708,-105.6658326,0.0813337369846885,-0.0001602,7.2902964,-7.2771668,144.1069833,0,112.1372708,-105.6658326,0.0813337369846885,0,-0.0001602,66.4954247,-0.708346969266546,2.223845,66.4954247,-0.708346969266546,2.223845,2.26400898369458
147.111213,116.1227346,-105.3415672,0.0811040981065394,-5.3e-05,7.2692693,-7.2999044,147.111213,0,116.1227346,-105.3415672,0.0811040981065394,0,-5.3e-05,66.6286496,-0.235286978218538,2.1992879,66.6286496,-0.235286978218538,2.1992879,2.32408276834171
150.1155231,118.115511,-105.1799069,0.0810157486373254,1.55e-05,7.2952414,-7.293745,150.1155231,0,118.115511,-105.1799069,0.0810157486373254,0,1.55e-05,66.6946107,0.0689466519945806,2.1871297,66.6946107,0.0689466519945806,2.1871297,2.35407487683222
153.1198607,122.1010285,-104.8561688,0.0811971981966678,0.0001824,7.2713638,-7.2806049,153.1198607,0,122.1010285,-104.8561688,0.0811971981966678,0,0.0001824,66.8252487,0.814527968760194,2.0417798,66.8252487,0.814527968760194,2.0417798,2.41397075001165
156.1241608,124.0937075,-104.6934245,0.0821099907231863,0.0002802,7.2895926,-7.2675271,156.1241608,0,124.0937075,-104.6934245,0.0821099907231863,0,0.0002802,66.886308,1.25355265104342,1.9568742,66.886308,1.25355265104342,1.9568742,2.4438756252169
159.1283481,128.07879,-104.3642288,0.0828780099087422,0.0005012,7.294914,-7.2841417,159.1283481,0,128.07879,-104.3642288,0.0828780099087422,0,0.0005012,67.0029064,2.25008200038284,1.9377068,67.0029064,2.25008200038284,1.9377068,2.5036064457288
162.1323399,130.0710775,-104.1968946,0.0851159253868162,0.000622,7.2803953,-7.2849673,162.1323399,0,130.0710775,-104.1968946,0.0851159253868162,0,0.000622,67.0607012,2.79721961546099,1.9281778,67.0607012,2.79721961546099,1.9281778,2.53343262254781
165.136052,134.0550468,-103.8543222,0.0866087276466214,0.0008756,7.2793361,-7.2800444,165.136052,0,134.0550468,-103.8543222,0.0866087276466214,0,0.0008756,67.175292,3.95116238528778,1.9092296,67.175292,3.95116238528778,1.9092296,2.59300935137985
168.1393758,136.0465515,-103.6780685,0.09036770285943,0.0010038,7.2783875,-7.3049022,168.1393758,0,136.0465515,-103.6780685,0.09036770285943,0,0.0010038,67.2320918,4.53733075364128,1.8998105,67.2320918,4.53733075364128,1.8998105,2.62275904073919
171.1422024,140.0285312,-103.3130379,0.0926297016112926,0.0012507,7.2824995,-7.2903776,171.1422024,0,140.0285312,-103.3130379,0.0926297016112926,0,0.0012507,67.3447099,5.67231215636001,1.881083,67.3447099,5.67231215636001,1.881083,2.68218497357652
174.1444638,142.0187842,-103.1232747,0.0978692931343751,0.0013634,7.2710935,-7.2685604,174.1444638,0,142.0187842,-103.1232747,0.0978692931343751,0,0.0013634,67.4005321,6.19369677708689,1.8717737,67.4005321,6.19369677708689,1.8717737,2.71185992327323
177.1461171,145.9977679,-102.7269605,0.100807441914744,0.001551,7.2661468,-7.2944347,177.1461171,0,145.9977679,-102.7269605,0.100807441914744,0,0.001551,67.5112119,7.0690915486526,1.8532663,67.5112119,7.0690915486526,1.8532663,2.7711382587195
180.1471486,147.9862687,-102.5196618,0.10717212966749,0.0016189,7.2882543,-7.2956278,180.1471486,0,147.9862687,-102.5196618,0.10717212966749,0,0.0016189,67.5660734,7.39056063330242,1.8440683,67.5660734,7.39056063330242,1.8440683,2.80074022933214
183.1475744,151.9612768,-102.0853803,0.110517637164683,0.0016853,7.2874384,-7.2890943,183.1475744,0,151.9612768,-102.0853803,0.110517637164683,0,0.0016853,67.6748488,7.71848046032135,1.825784,67.6748488,7.71848046032135,1.825784,2.85987412072946
186.1474382,153.947602,-101.8581338,0.117280648585024,0.0016769,7.27157,-7.2854245,186.1474382,0,153.947602,-101.8581338,0.117280648585024,0,0.0016769,67.7287664,7.69225186477649,1.8166977,67.7287664,7.69225186477649,1.8166977,2.88940482507836
189.1468051,157.9179886,-101.3835525,0.120575618193759,0.0015615,7.2819548,-7.3023477,189.1468051,0,157.9179886,-101.3835525,0.120575618193759,0,0.0015615,67.8356709,7.18552058183653,1.7986364,67.8356709,7.18552058183653,1.7986364,2.94839742663526
192.1457516,159.9019802,-101.1366813,0.12664672138587,0.0014507,7.293157,-7.3235555,192.1457516,0,159.9019802,-101.1366813,0.12664672138587,0,0.0014507,67.8886613,6.68608819223704,-8.9159654,67.8886613,6.68608819223704,-8.9159654,2.97785849462215
195.1443542,163.8678753,-100.6259641,0.129276623317548,0.0011245,7.2691427,-7.3281016,195.1443542,0,163.8678753,-100.6259641,0.129276623317548,0,0.0011245,66.2754092,4.93928738277356,-44.1165244,66.2754092,4.93928738277356,-44.1165244,3.03746676762207
198.1426783,165.8498664,-100.3634463,0.133391619493395,0.0009189,7.3134531,-7.2799294,198.1426783,0,165.8498664,-100.3634463,0.133391619493395,0,0.0009189,64.9309166,3.8741043897513,-42.984906,64.9309166,3.8741043897513,-42.984906,3.0679424469705
201.1407697,169.8125359,-99.8282593,0.134788350016608,0.0004803,7.2762619,-7.3057256,201.1407697,0,169.8125359,-99.8282593,0.134788350016608,0,0.0004803,62.2653382,1.86210981545933,-40.5991475,62.2653382,1.86210981545933,-40.5991475,3.13081610018817
204.1386531,171.7934136,-99.5574383,0.136272180356967,0.0002889,7.2530936,-7.3071388,204.1386531,0,171.7934136,-99.5574383,0.136272180356967,0,0.0002889,60.9477737,1.07315693027517,-39.3762718,60.9477737,1.07315693027517,-39.3762718,3.16326889628289
207.1363359,175.7548855,-99.0134323,0.136520929873827,5.94e-05,7.3004416,-7.2838874,207.1363359,0,175.7548855,-99.0134323,0.136520929873827,0,5.94e-05,58.3483501,0.202229079587895,-37.0068743,58.3483501,0.202229079587895,-37.0068743,3.23030628044334
210.1338137,177.7355601,-98.7411332,0.136628745269156,2.94e-05,7.2753545,-7.2666105,210.1338137,0,177.7355601,-98.7411332,0.136628745269156,0,2.94e-05,57.0662153,0.0957426561027791,-35.8755074,57.0662153,0.0957426561027791,-35.8755074,3.26495189973573
213.131076,181.6969465,-98.1964862,0.136697048397843,0.0001982,7.2862734,-7.2946304,213.131076,0,181.6969465,-98.1964862,0.136697048397843,0,0.0001982,54.534764,0.589454824034975,-33.6950528,54.534764,0.589454824034975,-33.6950528,3.3366117116609
216.1281088,183.6775634,-97.9237815,0.137817435088551,0.0004833,7.2803258,-7.3005685,216.1281088,0,183.6775634,-97.9237815,0.137817435088551,0,0.0004833,53.2851407,1.3722366958451,-32.5464132,53.2851407,1.3722366958451,-32.5464132,3.37369767780948
219.1248929,187.6380258,-97.3724783,0.139595843857266,0.0016483,7.3058417,-7.2973476,219.1248929,0,187.6380258,-97.3724783,0.139595843857266,0,0.0016483,50.8346049,4.25946607431545,-29.7423019,50.8346049,4.25946607431545,-29.7423019,3.45050634563683
222.121428,189.6171575,-97.0892107,0.147704289070939,0.002515,7.3097648,-7.2891633,222.121428,0,189.6171575,-97.0892107,0.147704289070939,0,0.002515,49.6510666,6.20004946251185,-27.9012433,49.6510666,6.20004946251185,-27.9012433,3.49029909524277
