Sref,Xref,Yref,Aref,Kref,Lmax,Lmin,S,L,X,Y,A,dA,K,V,AN,AT,Vs,ANs,ATs,TIME
0,-30.774819,-121.8795853,0.1403715,-3.8e-06,7.2573636,-7.2689397,0,3.1134825,-31.2104655,-118.7967319,0.0967459,-0.0436256,-5.45e-05,58.442874,-0.186148538915203,2.8283705,58.442874,-0.186148538915203,2.8283705,0
2.9984541,-27.8058557,-121.4600684,0.1403602,-5.6e-06,7.257144,-7.2598643,3.0013822,2.9825869,-28.2231185,-118.5068132,0.0965824,-0.0437779,-7.97e-05,58.5879473,-0.273574041235558,2.8057887,58.5879473,-0.273574041235558,2.8057887,0.05129216628741
5.9969049,-24.8368864,-121.040619,0.1403382,-7.2e-06,7.2379162,-7.2352428,6.0027945,2.8507769,-25.2356469,-118.2178687,0.0962676,-0.0440706,-0.0001009,58.7315096,-0.348043473187395,2.7832978,58.7315096,-0.348043473187395,2.7832978,0.102458653547323
8.9953528,-21.8679112,-120.6212338,0.1403173,-6.8e-06,7.2697576,-7.2546837,9.0042348,2.7181233,-22.24806,-117.929825,0.0959765,-0.0443407,-9.33e-05,58.8735766,-0.323386945422377,2.7609038,58.8735766,-0.323386945422377,2.7609038,0.15350135123217
11.9937984,-18.89893,-120.2019094,0.1402975,-6.4e-06,7.2203621,-7.2461016,12.0057013,2.5846908,-19.2603667,-117.6426146,0.0957073,-0.0445901,-8.63e-05,59.014164,-0.300554554991011,2.7386118,59.014164,-0.300554554991011,2.7386118,0.204422108065447
14.992242,-15.9299429,-119.7826424,0.1402788,-6e-06,7.2284449,-7.2420742,15.0071923,2.4505393,-16.2725749,-117.3561746,0.0954584,-0.0448204,-7.98e-05,59.1532872,-0.279229088647942,2.7164254,59.1532872,-0.279229088647942,2.7164254,0.255222745375854
17.9906842,-12.9609498,-119.3634295,0.1402613,-5.7e-06,7.2357247,-7.2606793,18.0087062,2.3157239,-13.2846918,-117.0704471,0.0952283,-0.045033,-7.38e-05,59.2909619,-0.259437860431411,2.6943448,59.2909619,-0.259437860431411,2.6943448,0.305905052223464
20.9891255,-9.9919508,-118.9442671,0.1402448,-5.3e-06,7.2125387,-7.2738938,21.0102416,2.1802954,-10.2967242,-116.7853783,0.0950155,-0.0452293,-6.82e-05,59.4272034,-0.240854608769047,2.6723768,59.4272034,-0.240854608769047,2.6723768,0.356470782684066
23.9875663,-7.0229459,-118.525152,0.1402295,-4.9e-06,7.2206485,-7.2642893,24.0117972,2.0443006,-7.3086782,-116.5009184,0.0948188,-0.0454107,-6.31e-05,59.5620272,-0.22385577381135,2.6505242,59.5620272,-0.22385577381135,2.6505242,0.406921661927392
26.9860071,-4.053935,-118.1060807,0.1402153,-4.5e-06,7.249952,-7.2639518,27.0133722,1.9077824,-4.3205593,-116.2170214,0.0946369,-0.0455784,-5.83e-05,59.6954485,-0.207754765125222,2.6287898,59.6954485,-0.207754765125222,2.6287898,0.457259385638292
29.9844484,-1.0849181,-117.6870499,0.1402023,-4.2e-06,7.2518216,-7.2474106,30.0149653,1.7707803,-1.3323726,-115.9336448,0.0944687,-0.0457336,-5.4e-05,59.8274827,-0.193283695055815,2.6071764,59.8274827,-0.193283695055815,2.6071764,0.507485617910815
32.9828906,1.8841046,-117.2680561,0.1401903,-3.8e-06,7.2448215,-7.2811683,33.016576,1.6333302,1.6558772,-115.6507497,0.094313,-0.0458773,-5e-05,59.9581449,-0.17974895699247,2.5856864,59.9581449,-0.17974895699247,2.5856864,0.557601991834919
35.9813342,4.8531334,-116.8490959,0.1401795,-3.4e-06,7.2190761,-7.2769481,36.0182036,1.4954647,4.6441861,-115.3683003,0.0941688,-0.0460107,-4.63e-05,60.0874503,-0.167166227948595,2.5643216,60.0874503,-0.167166227948595,2.5643216,0.607610116016307
38.9797797,7.8221681,-116.430166,0.1401698,-3.1e-06,7.2428512,-7.2750118,39.0198474,1.3572131,7.6325504,-115.0862641,0.0940349,-0.0461348,-4.31e-05,60.2154136,-0.156276119109322,2.5430849,60.2154136,-0.156276119109322,2.5430849,0.65751156840528
41.9782276,10.7912087,-116.011263,0.1401612,-2.7e-06,7.2648861,-7.2896241,42.0215072,1.2186014,10.620967,-114.8046117,0.0939103,-0.0462509,-4.02e-05,60.3420499,-0.14637475204259,2.5219785,60.3420499,-0.14637475204259,2.5219785,0.707307902235419
44.9766783,13.7602552,-115.5923834,0.1401537,-2.3e-06,7.250202,-7.2864333,45.0231827,1.0796526,13.609433,-114.5233173,0.0937938,-0.0463599,-3.76e-05,60.467374,-0.137477004773941,2.5010045,60.467374,-0.137477004773941,2.5010045,0.757000639176112
47.9751324,16.7293077,-115.1735239,0.1401474,-1.9e-06,7.2769377,-7.2903704,48.0248739,0.9403859,16.5979463,-114.2423581,0.0936844,-0.046463,-3.55e-05,60.5914004,-0.130331781986376,2.4801646,60.5914004,-0.130331781986376,2.4801646,0.80659128098236
50.9735902,19.6983662,-114.7546811,0.1401421,-1.6e-06,7.2669796,-7.2786555,51.0265808,0.8008172,19.5865051,-113.961715,0.0935807,-0.0465614,-3.38e-05,60.7141438,-0.124593805299007,2.4594606,60.7141438,-0.124593805299007,2.4594606,0.856081300739053
53.9720523,22.6674306,-114.3358516,0.140138,-1.2e-06,7.2871339,-7.2771418,54.0283036,0.6609587,22.5751081,-113.6813725,0.0934815,-0.0466565,-3.25e-05,60.8356186,-0.120281605939452,2.438894,60.8356186,-0.120281605939452,2.438894,0.905472146883704
56.9705192,25.6365009,-113.917032,0.140135,-8e-07,7.2623011,-7.2605798,57.0300428,0.5208183,25.5637548,-113.4013192,0.0933854,-0.0467496,-3.18e-05,60.9558393,-0.118156536163604,2.4184662,60.9558393,-0.118156536163604,2.4184662,0.954765247931382
59.9689912,28.6055772,-113.4982189,0.1401332,-4e-07,7.2535532,-7.2736383,60.0317991,0.3803997,28.5524449,-113.1215481,0.0932909,-0.0468423,-3.15e-05,61.07482,-0.117499209598021,2.3981783,61.07482,-0.117499209598021,2.3981783,1.00396200280498
62.967469,31.5746594,-113.0794089,0.1401324,-1e-07,7.2827273,-7.291456,63.0335733,0.2397019,31.5411793,-112.8420567,0.0931962,-0.0469362,-3.19e-05,61.1925748,-0.11945054561985,2.3780311,61.1925748,-0.11945054561985,2.3780311,1.05306379765348
65.9659529,34.5437475,-112.6605986,0.1401328,3e-07,7.2647141,-7.2831625,66.0353666,0.0987184,34.5299591,-112.5628479,0.0930996,-0.0470332,-3.29e-05,61.3091178,-0.12366478074613,2.3580264,61.3091178,-0.12366478074613,2.3580264,1.10207198861301
68.9644434,37.5128416,-112.2417847,0.1401343,7e-07,7.2787026,-7.2716152,69.0371802,-0.0425631,37.5187867,-112.2839305,0.0929989,-0.0471354,-3.46e-05,61.4244629,-0.13054457663235,2.3381649,61.4244629,-0.13054457663235,2.3381649,1.15098791948921
71.9629411,40.4819417,-111.8229636,0.1401369,1.1e-06,7.2763281,-7.2933723,72.039016,-0.1841611,40.507665,-112.0053194,0.0928921,-0.0472449,-3.71e-05,61.5386238,-0.140497782332243,2.3184476,61.5386238,-0.140497782332243,2.3184476,1.19981290903359
74.9614463,43.4510477,-111.4041321,0.1401407,1.4e-06,7.2629698,-7.2708403,75.0408759,-0.3261014,43.4965982,-111.7270366,0.0927764,-0.0473642,-4.04e-05,61.6516141,-0.153557229453867,2.2988753,61.6516141,-0.153557229453867,2.2988753,1.24854826295601
77.9599596,46.4201596,-110.9852868,0.1401455,1.8e-06,7.2804744,-7.2492374,78.0427624,-0.4684176,46.4855914,-111.4491118,0.0926494,-0.0474961,-4.47e-05,61.7634475,-0.170518138084711,2.2794485,61.7634475,-0.170518138084711,2.2794485,1.29719526695407
80.9584814,49.3892774,-110.5664242,0.1401515,2.2e-06,7.2642501,-7.2731726,81.0446783,-0.6111515,49.474651,-111.1715832,0.092508,-0.0476435,-5e-05,61.8741374,-0.191420443949704,2.2601671,61.8741374,-0.191420443949704,2.2601671,1.34575519248115
83.9570122,52.3584012,-110.1475409,0.1401586,2.6e-06,7.2678802,-7.269399,84.0466269,-0.7543544,52.4637845,-110.894498,0.0923491,-0.0478095,-5.64e-05,61.9836969,-0.216687597630456,2.2410319,61.9836969,-0.216687597630456,2.2410319,1.39422929343651
86.9555525,55.327531,-109.7286336,0.1401668,2.9e-06,7.2823443,-7.2840235,87.048612,-0.8980872,55.453001,-110.6179131,0.0921693,-0.0479976,-6.4e-05,62.0921394,-0.246747761617218,2.2220438,62.0921394,-0.246747761617218,2.2220438,1.4426188136077
89.9541027,58.2966666,-109.3096989,0.1401762,3.3e-06,7.302134,-7.2467773,90.050638,-1.0424216,58.4423111,-110.3418958,0.0919649,-0.0482112,-7.28e-05,62.1994778,-0.281646822809548,2.2032031,62.1994778,-0.281646822809548,2.2032031,1.49092498454329
92.9526633,61.2658083,-108.8907334,0.1401866,3.7e-06,7.2802376,-7.2765411,93.0527097,-1.18744,61.4317266,-110.0665246,0.0917324,-0.0484542,-8.28e-05,62.3057252,-0.321429880915387,2.1845089,62.3057252,-0.321429880915387,2.1845089,1.53914902017549
95.9512349,64.2349558,-108.4717336,0.1401982,4e-06,7.2707046,-7.2565952,96.0548327,-1.3332363,64.4212612,-109.7918887,0.0914679,-0.0487303,-9.4e-05,62.4108942,-0.366141253195298,2.1659622,62.4108942,-0.366141253195298,2.1659622,1.58729212941533
98.9498178,67.2041093,-108.0526962,0.1402109,4.4e-06,7.2837377,-7.2730006,99.057013,-1.4799158,67.4109302,-109.5180889,0.0911677,-0.0490432,-0.0001065,62.5149977,-0.416215305836402,2.1475631,62.5149977,-0.416215305836402,2.1475631,1.63535551065148
101.9484126,70.1732687,-107.6336178,0.1402248,4.8e-06,7.269162,-7.2827883,102.0592576,-1.6275945,70.4007502,-109.2452369,0.0908283,-0.0493965,-0.0001201,62.6180481,-0.470914495737255,2.1293112,62.6180481,-0.470914495737255,2.1293112,1.68334034869194
104.9470197,73.1424341,-107.2144951,0.1402397,5.2e-06,7.2595032,-7.2499758,105.0615738,-1.7763992,73.3907397,-108.9734546,0.0904464,-0.0497933,-0.0001347,62.7200581,-0.529883626182675,2.1112063,62.7200581,-0.529883626182675,2.1112063,1.73124782607415
107.9456396,76.1116054,-106.7953245,0.1402558,5.5e-06,7.2861432,-7.2691996,108.0639696,-1.9264653,76.3809179,-108.7028725,0.0900195,-0.0502363,-0.00015,62.8210398,-0.591972456232978,2.0932489,62.8210398,-0.591972456232978,2.0932489,1.77907910709748
110.9442728,79.0807826,-106.3761027,0.1402729,5.9e-06,7.2919542,-7.2831889,111.0664536,-2.0779353,79.3713054,-108.4336283,0.0895456,-0.0507273,-0.0001657,62.9210055,-0.656015071019812,2.0754381,62.9210055,-0.656015071019812,2.0754381,1.82683535184024
113.9429197,82.0499658,-105.9568264,0.1402913,6.3e-06,7.2745729,-7.2910807,114.0690347,-2.2309556,82.3619233,-108.1658636,0.0890242,-0.0512671,-0.0001815,63.0199673,-0.720830204546492,2.057774,63.0199673,-0.720830204546492,2.057774,1.87451770730057
116.9415808,85.0191549,-105.537492,0.1403107,6.7e-06,7.2870631,-7.2646766,117.0717221,-2.3856729,85.3527926,-107.8997201,0.0884559,-0.0518548,-0.0001966,63.1179371,-0.783229625207129,2.0402562,63.1179371,-0.783229625207129,2.0402562,1.92212730410372
119.9402566,87.98835,-105.1180964,0.1403312,7e-06,7.2814601,-7.2833429,120.0745252,-2.5422294,88.3439339,-107.635335,0.0878435,-0.0524878,-0.0002104,63.2149267,-0.840785111897213,2.0228842,63.2149267,-0.840785111897213,2.0228842,1.96966525888714
122.9389476,90.9575509,-104.6986359,0.1403529,7.4e-06,7.2864087,-7.2704442,123.0774526,-2.7007555,91.335366,-107.3728341,0.0871922,-0.0531607,-0.000222,63.3109477,-0.889837293905214,2.0056578,63.3109477,-0.889837293905214,2.0056578,2.01713266228694
125.9376543,93.9267579,-104.2791073,0.1403757,7.8e-06,7.2782485,-7.2648397,126.0805125,-2.8613617,94.3271051,-107.1123233,0.0865104,-0.0538653,-0.000232,63.4060117,-0.932714778170525,1.9885764,63.4060117,-0.932714778170525,1.9885764,2.06453057819275
128.9363771,96.8959707,-103.8595072,0.1403996,8.2e-06,7.2939348,-7.2784304,129.0837115,-3.0241279,97.3191629,-106.8538782,0.0857988,-0.0546008,-0.0002434,63.5001299,-0.981453665446927,1.9716395,63.5001299,-0.981453665446927,1.9716395,2.1118600278369
131.9351165,99.8651895,-103.4398321,0.1404246,8.5e-06,7.2715438,-7.263191,132.087058,-3.1891612,100.3115553,-106.5976013,0.0850483,-0.0553763,-0.0002548,63.5933136,-1.0304391094232,1.9548467,63.5933136,-1.0304391094232,1.9548467,2.15912204867715
134.9338729,102.8344142,-103.0200786,0.1404508,8.9e-06,7.2786521,-7.2674161,135.0905621,-3.3565953,103.3043015,-106.3436216,0.0842682,-0.0561826,-0.0002578,63.6855738,-1.04559872557865,1.9381973,63.6855738,-1.04559872557865,1.9381973,2.20631768234072
137.9326469,105.8036449,-102.6002435,0.140478,9.3e-06,7.2920813,-7.2487184,138.0942294,-3.5264821,106.2974098,-106.091987,0.0834998,-0.0569782,-0.000244,63.7769215,-0.992468954708188,1.9216909,63.7769215,-0.992468954708188,1.9216909,2.2534478957574
140.931439,108.7728815,-102.1803232,0.1405064,9.7e-06,7.2811482,-7.2803194,141.0980562,-3.6987064,109.2908645,-105.8425797,0.0828023,-0.0577041,-0.0002098,63.867367,-0.855782711064162,1.9053266,63.867367,-0.855782711064162,1.9053266,2.30051348354608
143.9302496,111.742124,-101.7603144,0.1405359,1e-05,7.2902964,-7.2771668,144.1020277,-3.8729644,112.2846241,-105.5950957,0.0822392,-0.0582967,-0.0001542,63.9569204,-0.630753198259409,1.8891043,63.9569204,-0.630753198259409,1.8891043,2.34751506012832
146.9290791,114.7113724,-101.3402137,0.1405666,1.04e-05,7.2692693,-7.2999044,147.106117,-4.0487582,115.2786194,-105.3490383,0.0818758,-0.0586908,-7.66e-05,64.0455911,-0.314200770834087,1.873023,64.0455911,-0.314200770834087,1.873023,2.39445303336935
149.9279281,117.6806268,-100.9200177,0.1405983,1.08e-05,7.2952414,-7.293745,150.1102847,-4.2253912,118.2727536,-105.1037142,0.0817788,-0.0588196,2.33e-05,64.1333883,0.0958350318297388,1.8570826,64.1333883,0.0958350318297388,1.8570826,2.44132760993505
