Sref,Xref,Yref,Aref,Kref,Lmax,Lmin,S,L,X,Y,A,dA,K,V,AN,AT,Vs,ANs,ATs,TIME
0,16.1120244439907,145.348290253691,4.69850418352262,0,5.30459752273074,-6.03320990708315,0,-4.48646648878185,11.6259904158901,145.410581936013,4.70338245697356,0.00487827345093482,3.7464761723828e-05,63.4748412651973,0.210739284706004,2.96052631605195,63.4748412651973,0.150947603292082,2.96052631605195,0
2,16.0850897575616,143.408544954451,4.69863800695851,0.000103779732415172,5.32799324386727,-6.00154444625403,1.94055596773174,-4.47669797929866,11.608815019481,143.470101977431,4.7035258955068,0.00488788854829104,7.58934643753548e-05,75.0000000016862,0.426900737130567,2.96052631601709,63.5005208939002,0.306026442368334,4.409298662386,0.0305720491623464
4,16.058665193338,141.46813474779,4.69890683490495,0.000139137442068564,5.3653516749721,-5.97224133828793,3.88237243119734,-4.46700604831231,11.5920651189131,141.528357756732,4.70370554916139,0.00479871425644281,7.77640317557602e-05,75.0000000016862,0.437422678645819,2.96052631602248,63.5704571184117,0.314260239842186,4.40535789931627,0.0611515851430052
6,16.0327559169568,139.527063506339,4.69917811515419,0.000140353537368206,5.38017359253079,-5.94608936582103,5.82485024093238,-4.45752464530532,11.575620245213,139.585949558788,4.70385482552663,0.00467671037244015,7.9623157512923e-05,75.0000000016863,0.447880261030332,2.96052631602494,63.6400768602324,0.322478516171488,4.40143496939822,0.0917078827973828
8,16.0073670940551,137.585335102733,4.69945184684761,0.000141568658067227,5.40954380137864,-5.91483287641361,7.76798547948318,-4.44828607883857,11.5594532636676,137.642881576445,4.70400784332558,0.00455599647797054,8.14823068162311e-05,75.0000000016864,0.458337975861912,2.96052631602406,63.7093818753976,0.330727340519838,4.39752977368286,0.122241083485031
10,15.9825038902699,135.642953409605,4.69972802915533,0.00014278282673335,5.43417514723167,-5.8983919255537,9.71177441277492,-4.43928776689936,11.5435719269361,135.699157521871,4.70416460373327,0.00443657457794199,8.33414799246972e-05,75.0000000016866,0.468795824597506,2.9605263160218,63.778373912246,0.339006552642255,4.39101424932792,0.152751329795274
12,15.9581714712381,133.699922299586,4.70000666127609,0.000143996065818607,5.45478999171328,-5.86097202446433,11.6562133110234,-4.43052712349008,11.5279839917624,133.754781106333,4.70432510790923,0.00431844663313675,8.52006771315756e-05,75.0000000016866,0.479253808886668,2.96052631602005,63.8469745852233,0.347315121429702,4.38314612630609,0.183238762744316
14,15.9343750025969,131.756245645311,4.70028774243716,0.00014520839766045,5.48950734590027,-5.84239450809377,13.6012984487471,-4.42200155871605,11.5126972188911,131.809756040282,4.70448935699755,0.00420161456038862,8.70598986424039e-05,75.0000000016867,0.489711929885548,2.96052631601926,63.9151442427,0.355652367409437,4.37532743841129,0.213703560024997
16,15.9111196499831,129.811927319411,4.7005712718942,0.000146419844488652,5.50199174492836,-5.81078644385648,15.5470261047919,-4.41370847887376,11.4977193729817,129.864086033413,4.70465735212686,0.00408608023266099,8.89191446058357e-05,75.0000000016867,0.500170188430323,2.96052631601891,63.98288612176,0.364018058167581,4.36529023970201,0.2441459172957
18,15.8884105790339,127.866971194521,4.70085724893116,0.000147630428421024,5.52782669763708,-5.78804818578548,17.4933925623417,-4.40564528653818,11.4830582225249,127.917774794751,4.70482909441041,0.00397184547924559,9.07784152063017e-05,75.0000000016867,0.510628585558414,2.96052631601885,64.050134446642,0.372411160931692,4.3529402950526,0.274566027664681
20,15.8662529553862,125.921381143273,4.70114567286015,0.000148840171464482,5.5511220677143,-5.76472613220214,19.4403941089429,-4.39780938064984,11.4687215397577,125.970826032714,4.70500458494638,0.00385891208623106,9.26377108379445e-05,75.0000000016867,0.521087123486876,2.96052631601893,64.1168209189296,0.380830546711811,4.34069353287581,0.304964114466875
22,15.8446519446771,123.9751610383,4.70143654302135,0.000150049095517581,5.56807760491775,-5.73764522421712,21.3880270365185,-4.39019815660106,11.454717100581,124.023243455194,4.70518382481799,0.00374728179664128,9.44970316045321e-05,75.0000000016867,0.531545802799401,2.96052631601889,64.1829509779147,0.389275909883795,4.3285489542627,0.335340432251534
24,15.8236127125436,122.028314752236,4.7017298587829,0.000151257222368278,5.601598974563,-5.72292126983544,23.3362876413862,-4.38280900632186,11.4410526844761,122.075030769625,4.70536681509344,0.00363695631053694,9.63563777831565e-05,75.0000000016867,0.542004625054634,2.96052631601888,64.2485299949535,0.397746948670233,4.31650557278051,0.365695231698791
26,15.8031404246227,120.080846157713,4.70202561954074,0.000152464573700337,5.61042139819142,-5.69117526642712,25.2851722242801,-4.3756393183657,11.4277360744215,120.126191683056,4.70555355682614,0.00352793728539547,9.82157496432059e-05,75.0000000016867,0.552463591767883,2.96052631601864,64.3135632746256,0.406243364366332,4.30456241425976,0.396028759688413
28,15.7832402465514,118.132759127363,4.70232382471858,0.00015367117108862,5.63186304090671,-5.67699364891993,27.2346770903673,-4.36868647799416,11.4147750568118,118.176729902226,4.70574405105472,0.00342022633613487,0.000100075147273277,75.0000000016868,0.562922703437503,2.96052631601869,64.3780560558665,0.414764860589962,4.29271851658632,0.426341259366942
