Sref,Xref,Yref,Aref,Kref,Lmax,Lmin,S,L,X,Y,A,dA,K,V,AN,AT,Vs,ANs,ATs,TIME
0,443.4543894,66.4238077,-0.8812089,3.7e-06,8.1111448,-8.1544484,0,6.2788661,448.2986328,70.4184874,-0.8852296,-0.0040207,-5.75e-05,64.5450621,-0.239548739885839,2.8321226,64.5450621,-0.239548739885839,2.8321226,0
2.9990189,445.3624228,64.110038,-0.8811979,5.4e-06,8.1122103,-8.23562,2.9989052,6.2668083,450.197275,68.0971537,-0.8854019,-0.004204,-8.1e-05,64.6765148,-0.338827176900644,2.8081184,64.6765148,-0.338827176900644,2.8081184,0.0464149295172696
5.9980353,447.2705054,61.7963121,-0.8811763,7.1e-06,8.1115358,-8.1701466,5.9978161,6.2536512,452.0951206,65.7751613,-0.8857155,-0.0045393,-9.55e-05,64.8065905,-0.401089893448413,2.7843368,64.8065905,-0.401089893448413,2.7843368,0.0927361989968774
8.9970492,449.1786358,59.4826289,-0.8811552,6.9e-06,8.1117359,-8.1750681,8.9967324,6.2395828,453.9923137,63.4526287,-0.8859745,-0.0048193,-7.95e-05,64.9353074,-0.335219234697033,2.7607771,64.9353074,-0.335219234697033,2.7607771,0.138965156780801
11.9960607,451.086813,57.1689873,-0.8811346,6.8e-06,8.1123584,-8.1788753,11.9956537,6.2247457,455.888963,61.1296457,-0.8861923,-0.0050577,-6.75e-05,65.0626841,-0.285737818205006,2.7374385,65.0626841,-0.285737818205006,2.7374385,0.185103119411682
14.9950698,452.9950355,54.8553863,-0.8811146,6.6e-06,8.1120743,-8.1836527,14.9945796,6.2092477,457.7851503,58.8062795,-0.8863791,-0.0052645,-5.83e-05,65.1887384,-0.247750025106906,2.7143204,65.1887384,-0.247750025106906,2.7143204,0.231151383292441
17.9940767,454.9033022,52.5418248,-0.8810951,6.4e-06,8.1123045,-8.1846047,17.9935099,6.1931703,459.6809374,56.4825811,-0.8865422,-0.0054471,-5.13e-05,65.3134881,-0.218838193635568,2.691422,65.3134881,-0.218838193635568,2.691422,0.277111216880528
20.9930812,456.8116118,50.2283017,-0.8810762,6.2e-06,8.1123181,-8.1785409,20.9924445,6.1765771,461.5763721,54.1585898,-0.8866869,-0.0056107,-4.58e-05,65.4369507,-0.196115348874672,2.6687425,65.4369507,-0.196115348874672,2.6687425,0.322983866319507
23.9920834,458.7199632,47.9148159,-0.8810578,6e-06,8.1123244,-8.1746878,23.991383,6.1595182,463.4714917,51.8343364,-0.8868171,-0.0057593,-4.14e-05,65.5591436,-0.177937254216008,2.6462808,65.5591436,-0.177937254216008,2.6462808,0.368770552136616
26.9910835,460.628355,45.6013664,-0.88104,5.9e-06,8.1146975,-8.1622096,26.9903254,6.1420339,465.3663263,49.5098456,-0.8869355,-0.0058955,-3.78e-05,65.6800837,-0.163064414324914,2.6240359,65.6800837,-0.163064414324914,2.6240359,0.414472473460885
29.9900814,462.5367861,43.2879522,-0.8810227,5.7e-06,8.1131777,-8.1544917,29.9892716,6.1241579,467.2609004,47.1851376,-0.8870441,-0.0060214,-3.48e-05,65.7997879,-0.150670500651438,2.6020068,65.7997879,-0.150670500651438,2.6020068,0.460090805190273
32.9890771,464.4452551,40.974572,-0.8810059,5.5e-06,8.1143479,-8.1448909,32.9882215,6.1059184,469.1552346,44.8602293,-0.8871445,-0.0061385,-3.23e-05,65.9182726,-0.140350562800943,2.5801922,65.9182726,-0.140350562800943,2.5801922,0.505626700808893
35.9880708,466.3537609,38.6612249,-0.8809897,5.3e-06,8.1152392,-8.1349184,35.987175,6.0873399,471.0493466,42.5351354,-0.8872378,-0.006248,-3.01e-05,66.0355542,-0.131256901996884,2.5585917,66.0355542,-0.131256901996884,2.5585917,0.551081289618477
38.9870624,468.2623023,36.3479098,-0.8809741,5.1e-06,8.1136748,-8.1253613,38.9861321,6.0684437,472.9432515,40.2098682,-0.8873248,-0.0063507,-2.81e-05,66.1516487,-0.122966741582963,2.5372036,66.1516487,-0.122966741582963,2.5372036,0.596455682497452
41.986052,470.1708779,34.0346256,-0.880959,4.9e-06,8.1150041,-8.1160725,41.9850926,6.0492491,474.8369631,37.884439,-0.8874063,-0.0064473,-2.63e-05,66.2665721,-0.115490100598362,2.5160262,66.2665721,-0.115490100598362,2.5160262,0.641750968395657
44.9850397,472.0794866,31.7213712,-0.8809444,4.8e-06,8.113555,-8.110099,44.9840565,6.0297734,476.7304933,35.5588578,-0.8874828,-0.0065384,-2.48e-05,66.3803398,-0.109277467896694,2.4950581,66.3803398,-0.109277467896694,2.4950581,0.686968212694539
47.9840254,473.988127,29.4081456,-0.8809304,4.6e-06,8.1140749,-8.1021139,47.9830238,6.0100325,478.6238532,33.2331337,-0.8875548,-0.0066244,-2.33e-05,66.4929674,-0.103016632828219,2.4742979,66.4929674,-0.103016632828219,2.4742979,0.732108463491238
50.9830092,475.8967981,27.0949478,-0.8809169,4.4e-06,8.1145478,-8.0959996,50.9819944,5.9900412,480.517053,30.9072748,-0.8876225,-0.0067056,-2.2e-05,66.6044699,-0.0975954190345201,2.4537439,66.6044699,-0.0975954190345201,2.4537439,0.777172752258271
53.9819912,477.8054984,24.7817765,-0.880904,4.2e-06,8.1169044,-8.0878988,53.9809683,5.969813,482.4101018,28.581289,-0.8876865,-0.0067824,-2.07e-05,66.7148622,-0.0921330677541553,2.4333963,66.7148622,-0.0921330677541553,2.4333963,0.82216208317378
56.9809714,479.7142269,22.4686308,-0.8808916,4e-06,8.1175149,-8.0835721,56.9799453,5.9493608,484.3030084,26.2551832,-0.8877468,-0.0068551,-1.96e-05,66.824159,-0.0875231772307227,2.2954165,66.824159,-0.0875231772307227,2.2954165,0.86707745043517
59.9799498,481.6229823,20.1555095,-0.8808798,3.9e-06,8.1156717,-8.0807116,59.9789255,5.9286966,486.1957807,23.928964,-0.8878037,-0.0069239,-1.85e-05,66.927095,-0.0828658668350719,2.2001783,66.927095,-0.0828658668350719,2.2001783,0.911921594989946
62.9789265,483.5317632,17.8424117,-0.8808685,3.7e-06,8.115271,-8.0789628,62.9779089,5.9078318,488.0884261,21.6026377,-0.8878576,-0.006989,-1.75e-05,67.0256119,-0.0786175713849649,2.1839661,67.0256119,-0.0786175713849649,2.1839661,0.95669834256228
65.9779015,485.4405686,15.5293362,-0.8808578,3.5e-06,8.1153998,-8.0773165,65.9768953,5.886777,489.9809519,19.27621,-0.8879085,-0.0070507,-1.65e-05,67.1232599,-0.0743412783234486,2.1678423,67.1232599,-0.0743412783234486,2.1678423,1.00140966086181
68.9768749,487.3493971,13.216282,-0.8808476,3.3e-06,8.1154121,-8.0733698,68.9758847,5.8655424,491.8733644,16.9496863,-0.8879566,-0.007109,-1.56e-05,67.2200468,-0.0704891411919894,2.1518102,67.2200468,-0.0704891411919894,2.1518102,1.04605631283023
71.9758467,489.2582475,10.903248,-0.8808379,3.1e-06,8.1160682,-8.0706817,71.9748772,5.8441378,493.76567,14.6230717,-0.8880021,-0.0071642,-1.48e-05,67.3159804,-0.0670653300147551,2.1358661,67.3159804,-0.0670653300147551,2.1358661,1.09063905481677
74.9748169,491.1671186,8.590233,-0.8808288,2.9e-06,8.1179447,-8.0692299,74.9738726,5.8225722,495.6578744,12.2963711,-0.8880452,-0.0072164,-1.4e-05,67.4110682,-0.0636195296221107,2.120015,67.4110682,-0.0636195296221107,2.120015,1.13515862815932
77.9737856,493.0760092,6.2772362,-0.8808203,2.8e-06,8.1173089,-8.0702386,77.9728709,5.8008545,497.5499832,9.969589,-0.888086,-0.0072657,-1.32e-05,67.505318,-0.0601519770493108,2.1042534,67.505318,-0.0601519770493108,2.1042534,1.17961576726914
80.9727527,494.9849179,3.9642563,-0.8808123,2.6e-06,8.1158462,-8.0688361,80.9718721,5.778993,499.4420016,7.6427295,-0.8881246,-0.0073123,-1.25e-05,67.5987372,-0.0571198658879333,2.0885852,67.5987372,-0.0571198658879333,2.0885852,1.22401119698596
83.9717185,496.8938437,1.6512923,-0.8808048,2.4e-06,8.1158548,-8.0704884,83.9708762,5.7569958,501.3339345,5.3157969,-0.8881611,-0.0073563,-1.19e-05,67.6913335,-0.0545271879089978,2.0730073,67.6913335,-0.0545271879089978,2.0730073,1.26834562679806
86.9706828,498.8027851,-0.6616569,-0.8807979,2.2e-06,8.1155164,-8.0687256,86.9698831,5.7348703,503.2257864,2.9887948,-0.8881957,-0.0073978,-1.12e-05,67.7831141,-0.0514589662394485,2.0575236,67.7831141,-0.0514589662394485,2.0575236,1.31261976045073
89.9696458,500.7117411,-2.9745923,-0.8807915,2e-06,8.1157904,-8.0695739,89.9688928,5.712624,505.1175617,0.6617269,-0.8882285,-0.0074369,-1.06e-05,67.8740865,-0.0488330511530205,2.0421307,67.8740865,-0.0488330511530205,2.0421307,1.35683428976062
92.9686075,502.6207103,-5.287515,-0.8807857,1.9e-06,8.1162425,-8.0710295,92.9679052,5.6902637,507.0092646,-1.6654034,-0.8882595,-0.0074738,-1.01e-05,67.964258,-0.0466533176914547,2.0268326,67.964258,-0.0466533176914547,2.0268326,1.4009898983651
95.9675678,504.5296915,-7.6004261,-0.8807804,1.7e-06,8.1184204,-8.06918,95.9669203,5.6677963,508.900899,-3.992593,-0.8882889,-0.0075085,-9.5e-06,68.053636,-0.0439973250417947,2.0116256,68.053636,-0.0439973250417947,2.0116256,1.44508726094635
98.9665269,506.4386835,-9.9133266,-0.8807757,1.5e-06,8.1170167,-8.0696107,98.9659382,5.6452281,510.7924686,-6.3198387,-0.8883167,-0.0075411,-9e-06,68.1422275,-0.0417902685179558,1.9965133,68.1422275,-0.0417902685179558,1.9965133,1.48912703981772
101.9654848,508.3476851,-12.2262177,-0.8807715,1.3e-06,8.1150336,-8.0709838,101.9649587,5.6225652,512.6839768,-8.6471377,-0.8883431,-0.0075716,-8.6e-06,68.2300399,-0.0400359097648981,1.9814938,68.2300399,-0.0400359097648981,1.9814938,1.53310988982503
104.9644416,510.2566949,-14.5391004,-0.8807678,1.1e-06,8.116747,-8.0708367,104.9639818,5.5998136,514.5754269,-10.9744873,-0.8883681,-0.0076002,-8.1e-06,68.3170801,-0.0378045098104575,1.966568,68.3170801,-0.0378045098104575,1.966568,1.57703645692534
107.9633972,512.1657119,-16.8519757,-0.8807647,9e-07,8.115677,-8.0734347,107.9630076,5.576979,516.4668222,-13.3018849,-0.8883917,-0.007627,-7.7e-06,68.4033553,-0.0360284464254949,1.9517368,68.4033553,-0.0360284464254949,1.9517368,1.62090737928757
110.9623517,514.0747346,-19.1648448,-0.8807622,8e-07,8.1176476,-8.0744166,110.962036,5.5540668,518.3581654,-15.6293281,-0.8884142,-0.007652,-7.3e-06,68.4888724,-0.0342422971911514,1.9369978,68.4888724,-0.0342422971911514,1.9369978,1.66472328300396
113.9613052,515.983762,-21.4777088,-0.8807602,6e-07,8.1165839,-8.0758362,113.9610669,5.5310822,520.2494595,-17.9568146,-0.8884354,-0.0076753,-6.9e-06,68.5736383,-0.0324461727009247,1.9223537,68.5736383,-0.0324461727009247,1.9223537,1.70848478946177
116.9602577,517.8927928,-23.7905686,-0.8807587,4e-07,8.1158418,-8.0781848,116.9601003,5.5080305,522.140707,-20.2843421,-0.8884556,-0.0076969,-6.5e-06,68.65766,-0.0306401827983914,1.9078034,68.65766,-0.0306401827983914,1.9078034,1.75219250691427
