Sref,Xref,Yref,Aref,Kref,Lmax,Lmin,S,L,X,Y,A,dA,K,V,AN,AT,Vs,ANs,ATs,TIME
0,443.4543894,66.4238077,-0.8812089,3.7e-06,8.1111448,-8.1544484,0,4.3240183,446.7904371,69.1747929,-0.8109605,0.0702484,-0.0002514,64.5326832,-1.04694705432928,2.8343817,64.5326832,-1.04694705432928,2.8343817,0
2.9990189,445.3624228,64.110038,-0.8811979,5.4e-06,8.1122103,-8.23562,3.0063368,4.5350349,448.8612091,66.9953519,-0.8117165,0.0694814,-0.0004342,64.6645916,-1.8156113844303,2.8102972,64.6645916,-1.8156113844303,2.8102972,0.046538699891044
5.9980353,447.2705054,61.7963121,-0.8811763,7.1e-06,8.1115358,-8.1701466,6.0123484,4.7414287,450.9284595,64.8130185,-0.8135712,0.0676051,-0.0007311,64.7951,-3.06945388380971,2.7864388,64.7951,-3.06945388380971,2.7864388,0.0929780379524908
8.9970492,449.1786358,59.4826289,-0.8811552,6.9e-06,8.1117359,-8.1750681,9.0179045,4.9411377,452.9905967,62.6264795,-0.8161114,0.0650437,-0.0009543,64.9242217,-4.02252199980562,2.7628068,64.9242217,-4.02252199980562,2.7628068,0.139317399821162
11.9960607,451.086813,57.1689873,-0.8811346,6.8e-06,8.1123584,-8.1788753,12.0228888,5.1321004,455.0460295,60.4344213,-0.8193074,0.0618272,-0.0011618,65.0519711,-4.91645754113366,2.7394019,65.0519711,-4.91645754113366,2.7394019,0.185556376175935
14.9950698,452.9950355,54.8553863,-0.8811146,6.6e-06,8.1120743,-8.1836527,15.0272138,5.3124392,457.0933087,58.2356477,-0.823093,0.0580216,-0.0013469,65.1783633,-5.72192622829852,2.7162236,65.1783633,-5.72192622829852,2.7162236,0.231694983488919
17.9940767,454.9033022,52.5418248,-0.8810951,6.4e-06,8.1123045,-8.1846047,18.0308241,5.4804937,459.1311529,56.0291002,-0.8273997,0.0536954,-0.0015109,65.3034148,-6.44328741904278,2.6932714,65.3034148,-6.44328741904278,2.6932714,0.277733718036594
20.9930812,456.8116118,50.2283017,-0.8810762,6.2e-06,8.1123181,-8.1785409,21.0336949,5.6348036,461.158435,53.8138478,-0.8321686,0.0489076,-0.0016572,65.4271432,-7.09399438075161,2.6705443,65.4271432,-7.09399438075161,2.6705443,0.323673519613219
23.9920834,458.7199632,47.9148159,-0.8810578,6e-06,8.1123244,-8.1746878,24.0358285,5.7740656,463.1741488,51.5890592,-0.8373513,0.0437065,-0.001783,65.5495668,-7.66109759677144,2.6480413,65.5495668,-7.66109759677144,2.6480413,0.369515720362628
26.9910835,460.628355,45.6013664,-0.88104,5.9e-06,8.1146975,-8.1622096,27.0372528,5.8971136,465.1773945,49.3539907,-0.8428728,0.0381672,-0.0018724,65.6707049,-8.07498991101454,2.625761,65.6707049,-8.07498991101454,2.625761,0.41526201215978
29.9900814,462.5367861,43.2879522,-0.8810227,5.7e-06,8.1131777,-8.1544917,30.0380251,6.0030959,467.1675143,47.1080982,-0.8485895,0.0324332,-0.001905,65.7905774,-8.24560214216137,2.603702,65.7905774,-8.24560214216137,2.603702,0.460914514135359
32.9890771,464.4452551,40.974572,-0.8810059,5.5e-06,8.1143479,-8.1448909,33.0382337,6.0917093,469.1442741,44.851187,-0.8543042,0.0267018,-0.0018693,65.9092054,-8.12028286022954,2.5818623,65.9092054,-8.12028286022954,2.5818623,0.506475782466046
35.9880708,466.3537609,38.6612249,-0.8809897,5.3e-06,8.1152392,-8.1349184,36.0379871,6.1632855,471.1079287,42.5834663,-0.8598051,0.0211846,-0.0017658,66.02661,-7.69802845816503,2.5602397,66.02661,-7.69802845816503,2.5602397,0.551948642239945
38.9870624,468.2623023,36.3479098,-0.8809741,5.1e-06,8.1136748,-8.1253613,39.0373997,6.2187894,473.0592221,40.3055482,-0.8648973,0.0160768,-0.0016044,66.1428125,-7.01904406789606,2.5388319,66.1428125,-7.01904406789606,2.5388319,0.597335984521259
41.986052,470.1708779,34.0346256,-0.880959,4.9e-06,8.1150041,-8.1160725,42.0365779,6.2597192,474.9993091,38.0183847,-0.8694291,0.0115299,-0.001402,66.2578331,-6.15492082684465,2.5176367,66.2578331,-6.15492082684465,2.5176367,0.64264053139403
44.9850397,472.0794866,31.7213712,-0.8809444,4.8e-06,8.113555,-8.110099,45.0356099,6.2879463,476.9296324,35.723165,-0.8733064,0.0076381,-0.0011782,66.3716912,-5.19020828093588,2.496652,66.3716912,-5.19020828093588,2.496652,0.687864701673478
47.9840254,473.988127,29.4081456,-0.8809304,4.6e-06,8.1140749,-8.1021139,48.0345611,6.3055316,478.8517809,33.4211993,-0.8764959,0.0044346,-0.0009528,66.4844046,-4.21154374521972,2.4758758,66.4844046,-4.21154374521972,2.4758758,0.733010540934426
50.9830092,475.8967981,27.0949478,-0.8809169,4.4e-06,8.1145478,-8.0959996,51.0334752,6.3145441,480.7673495,31.1138028,-0.8790211,0.0018958,-0.0007429,66.5959904,-3.29478076886244,2.455307,66.5959904,-3.29478076886244,2.455307,0.778079740117499
