Sref,Xref,Yref,Aref,Kref,Lmax,Lmin,S,L,X,Y,A,dA,K,V,AN,AT,Vs,ANs,ATs,TIME
0,443.4543894,66.4238077,-0.8812089,3.7e-06,8.1111448,-8.1544484,0,3.8588703,446.4315682,68.8788609,-0.8359977,0.0452111,-0.0002837,64.4834396,-1.17965693687691,2.8433645,64.4834396,-1.17965693687691,2.8433645,0
2.9990189,445.3624228,64.110038,-0.8811979,5.4e-06,8.1122103,-8.23562,3.002001,3.9945479,448.4442226,66.6514792,-0.8368493,0.0443486,-0.0004145,64.6156757,-1.73061440888646,2.8192318,64.6156757,-1.73061440888646,2.8192318,0.046506910414008
5.9980353,447.2705054,61.7963121,-0.8811763,7.1e-06,8.1115358,-8.1701466,6.0037688,4.1250418,450.4529245,64.4208459,-0.8384863,0.0426899,-0.0005232,64.7465127,-2.19331242644365,2.7953244,64.7465127,-2.19331242644365,2.7953244,0.0929156416946824
8.9970492,449.1786358,59.4826289,-0.8811552,6.9e-06,8.1117359,-8.1750681,9.0053295,4.2507517,452.4579816,62.1872142,-0.8399902,0.041165,-0.0004787,64.8759707,-2.01479639660174,2.7716411,64.8759707,-2.01479639660174,2.7716411,0.139227983089019
11.9960607,451.086813,57.1689873,-0.8811346,6.8e-06,8.1123584,-8.1788753,12.0067072,4.3720827,454.4597052,59.95084,-0.8413598,0.0397748,-0.0004339,65.0040695,-1.83345705547224,2.7481811,65.0040695,-1.83345705547224,2.7481811,0.185445669830234
14.9950698,452.9950355,54.8553863,-0.8811146,6.6e-06,8.1120743,-8.1836527,15.0079244,4.4894408,456.4584078,57.7119806,-0.8425947,0.0385199,-0.000389,65.1308286,-1.65014766047368,2.7249436,65.1308286,-1.65014766047368,2.7249436,0.231570376520575
17.9940767,454.9033022,52.5418248,-0.8810951,6.4e-06,8.1123045,-8.1846047,18.0090022,4.6032332,458.4544025,55.4708933,-0.8436945,0.0374006,-0.0003439,65.2562669,-1.4644570091481,2.7019277,65.2562669,-1.4644570091481,2.7019277,0.277603730507143
20.9930812,456.8116118,50.2283017,-0.8810762,6.2e-06,8.1123181,-8.1785409,21.0099598,4.7138683,460.4480033,53.2278369,-0.8446585,0.0364176,-0.0002985,65.3804031,-1.27596723719127,2.6791322,65.3804031,-1.27596723719127,2.6791322,0.323547301191792
23.9920834,458.7199632,47.9148159,-0.8810578,6e-06,8.1123244,-8.1746878,24.0108157,4.8217568,462.439526,50.9830713,-0.8454859,0.0355719,-0.0002527,65.5032555,-1.08425394677354,2.6565561,65.5032555,-1.08425394677354,2.6565561,0.369402617085399
26.9910835,460.628355,45.6013664,-0.88104,5.9e-06,8.1146975,-8.1622096,27.0115871,4.9273127,464.4292891,48.7368585,-0.8461754,0.0348646,-0.0002067,65.6248422,-0.890178336177272,2.6341984,65.6248422,-0.890178336177272,2.6341984,0.415171166714131
29.9900814,462.5367861,43.2879522,-0.8810227,5.7e-06,8.1131777,-8.1544917,30.0122904,5.0309534,466.4176133,46.489463,-0.8467265,0.0342962,-0.000161,65.7451809,-0.69591103866337,2.6120577,65.7451809,-0.69591103866337,2.6120577,0.460854392202945
32.9890771,464.4452551,40.974572,-0.8810059,5.5e-06,8.1143479,-8.1448909,33.0129411,5.1330957,468.4048193,44.2411487,-0.8471416,0.0338643,-0.0001171,65.8642889,-0.507992043074642,2.5901327,65.8642889,-0.507992043074642,2.5901327,0.506453705793156
35.9880708,466.3537609,38.6612249,-0.8809897,5.3e-06,8.1152392,-8.1349184,36.0135538,5.2341432,470.3912171,41.9921712,-0.8474291,0.0335606,-7.75e-05,65.9821834,-0.337407760782921,2.5684222,65.9821834,-0.337407760782921,2.5684222,0.551970473201993
38.9870624,468.2623023,36.3479098,-0.8809741,5.1e-06,8.1136748,-8.1253613,39.0141412,5.3344619,472.377088,39.7427621,-0.8476066,0.0333675,-4.52e-05,66.0988811,-0.197481606136772,2.5469254,66.0988811,-0.197481606136772,2.5469254,0.597406015013092
41.986052,470.1708779,34.0346256,-0.880959,4.9e-06,8.1150041,-8.1160725,42.0147135,5.4343495,474.3626606,37.4931097,-0.8477003,0.0332587,-2.21e-05,66.2143983,-0.096894058583306,2.5256408,66.2143983,-0.096894058583306,2.5256408,0.642761588857088
44.9850397,472.0794866,31.7213712,-0.8809444,4.8e-06,8.113555,-8.110099,45.015278,5.5340152,476.348095,35.2433459,-0.8477394,0.033205,-8.3e-06,66.3287512,-0.0365158768567375,2.5045665,66.3287512,-0.0365158768567375,2.5045665,0.688038382771183
47.9840254,473.988127,29.4081456,-0.8809304,4.6e-06,8.1140749,-8.1021139,48.0158388,5.6335805,478.333484,32.9935469,-0.8477503,0.0331801,-2.2e-06,66.4419555,-0.00971197359146076,2.483701,66.4419555,-0.00971197359146076,2.483701,0.733237521332979
50.9830092,475.8967981,27.0949478,-0.8809169,4.4e-06,8.1145478,-8.0959996,51.0163977,5.7330964,480.3188656,30.7437438,-0.8477525,0.0331645,-8.2e-06,66.5540264,-0.0363213951264255,2.4630429,66.5540264,-0.0363213951264255,2.4630429,0.77836007194629
53.9819912,477.8054984,24.7817765,-0.880904,4.2e-06,8.1169044,-8.0878988,54.0169551,5.832568,482.3042428,28.4939388,-0.8477992,0.0331048,-4.84e-05,66.6649791,-0.215100220818726,2.4425903,66.6649791,-0.215100220818726,2.4425903,0.823407060014185
56.9809714,479.7142269,22.4686308,-0.8808916,4e-06,8.1175149,-8.0835721,57.0175023,5.9317253,484.289406,26.2439588,-0.8480427,0.032849,-0.000152,66.774828,-0.677749403473297,2.422344,66.774828,-0.677749403473297,2.422344,0.86837935382208
59.9799498,481.6229823,20.1555095,-0.8808798,3.9e-06,8.1156717,-8.0807116,60.0180096,6.0296611,486.2736544,23.9932251,-0.8487117,0.0321681,-0.0003238,66.8835867,-1.44849150819951,2.2073206,66.8835867,-1.44849150819951,2.2073206,0.913277496310401
62.9789265,483.5317632,17.8424117,-0.8808685,3.7e-06,8.115271,-8.0789628,63.0184253,6.1247306,488.2557184,21.7406898,-0.8499857,0.0308828,-0.0005319,66.9825345,-2.38645441572644,2.1910619,66.9825345,-2.38645441572644,2.1910619,0.958104603283276
65.9779015,485.4405686,15.5293362,-0.8808578,3.5e-06,8.1153998,-8.0773165,66.0186921,6.2149497,490.2340666,19.4850886,-0.8519035,0.0289543,-0.0007384,67.0806043,-3.32265783825015,2.1748922,67.0806043,-3.32265783825015,2.1748922,1.00286360878883
68.9768749,487.3493971,13.216282,-0.8808476,3.3e-06,8.1154121,-8.0733698,69.0187653,6.2984416,492.2072503,17.2252257,-0.8544163,0.0264313,-0.0009227,67.1778024,-4.16401327873526,2.1588135,67.1778024,-4.16401327873526,2.1588135,1.04755462585546
71.9758467,489.2582475,10.903248,-0.8808379,3.1e-06,8.1160682,-8.0706817,72.0186175,6.3735169,494.1739655,14.9600243,-0.8574398,0.0233981,-0.0010704,67.274136,-4.84442635451457,2.1428269,67.274136,-4.84442635451457,2.1428269,1.09217802127955
74.9748169,491.1671186,8.590233,-0.8808288,2.9e-06,8.1179447,-8.0692299,75.0182422,6.4388051,496.1331543,12.6886109,-0.8608379,0.019991,-0.0011649,67.3696127,-5.28709052690889,2.1269312,67.3696127,-5.28709052690889,2.1269312,1.13673446403947
