Sref,Xref,Yref,Aref,Kref,Lmax,Lmin,S,L,X,Y,A,dA,K,V,AN,AT,Vs,ANs,ATs,TIME
0,-30.774819,-121.8795853,0.1403715,-3.8e-06,7.2573636,-7.2689397,0,-0.4399377,-30.7132618,-122.3151951,0.1075961,-0.0327754,-1e-07,59.4052566,-0.000352898451171184,3.7259245,59.4052566,-0.000352898451171184,3.7259245,0
2.9984541,-27.8058557,-121.4600684,0.1403602,-5.6e-06,7.257144,-7.2598643,3.0000558,-0.5382482,-27.730555,-121.9930233,0.1075959,-0.0327643,-1e-07,59.5931244,-0.000355134047575388,3.695469,59.5931244,-0.000355134047575388,3.695469,0.0504217910896705
5.9969049,-24.8368864,-121.040619,0.1403382,-7.2e-06,7.2379162,-7.2352428,6.0001042,-0.6364921,-24.7478553,-121.6708535,0.1075955,-0.0327427,-1e-07,59.7788729,-0.000357351364519435,3.6651461,59.7788729,-0.000357351364519435,3.6651461,0.10068564773165
8.9953528,-21.8679112,-120.6212338,0.1403173,-6.8e-06,7.2697576,-7.2546837,9.0001461,-0.7346723,-21.7651621,-121.3486855,0.1075952,-0.0327221,-1e-07,59.9625286,-0.000359550483610582,3.6349637,59.9625286,-0.000359550483610582,3.6349637,0.150794328378199
11.9937984,-18.89893,-120.2019094,0.1402975,-6.4e-06,7.2203621,-7.2461016,12.0001822,-0.8327923,-18.7824744,-121.0265191,0.1075949,-0.0327026,-1e-07,60.1441176,-0.000361731488188263,3.6049288,60.1441176,-0.000361731488188263,3.6049288,0.200750534447864
14.992242,-15.9299429,-119.7826424,0.1402788,-6e-06,7.2284449,-7.2420742,15.0002134,-0.9308553,-15.7997916,-120.7043541,0.1075946,-0.0326843,-1e-07,60.323666,-0.000363894467967956,3.5750481,60.323666,-0.000363894467967956,3.5750481,0.250556898810078
17.9906842,-12.9609498,-119.3634295,0.1402613,-5.7e-06,7.2357247,-7.2606793,18.0002404,-1.0288648,-12.8171129,-120.3821903,0.1075943,-0.032667,-1e-07,60.5011996,-0.000366039515303904,3.5453287,60.5011996,-0.000366039515303904,3.5453287,0.300215997405253
20.9891255,-9.9919508,-118.9442671,0.1402448,-5.3e-06,7.2125387,-7.2738938,21.0002641,-1.126824,-9.8344373,-120.0600278,0.107594,-0.0326508,-1e-07,60.6767443,-0.000368166729884758,3.5157769,60.6767443,-0.000368166729884758,3.5157769,0.349730350241422
23.9875663,-7.0229459,-118.525152,0.1402295,-4.9e-06,7.2206485,-7.2642893,24.0002852,-1.2247364,-6.8517642,-119.7378664,0.1075937,-0.0326358,-1e-07,60.8503254,-0.000370276210128589,3.4863984,60.8503254,-0.000370276210128589,3.4863984,0.399102414240831
26.9860071,-4.053935,-118.1060807,0.1402153,-4.5e-06,7.249952,-7.2639518,27.0003046,-1.3226053,-3.8690928,-119.4157059,0.1075935,-0.0326218,-1e-07,61.0219684,-0.00037236806274106,3.4571986,61.0219684,-0.00037236806274106,3.4571986,0.448334594108563
