y,x
14297.452199,2151.10953
14197.452255,2151.216029
14097.452312,2151.322527
13997.452369,2151.429026
13897.452426,2151.535524
13797.452482,2151.642023
13697.452539,2151.748522
13597.452596,2151.85502
13497.452652,2151.961519
13397.452709,2152.068017
13297.452766,2152.174516
13197.452823,2152.281015
13097.452879,2152.387513
12997.452936,2152.494012
12897.452993,2152.600511
12797.45305,2152.707009
12697.453106,2152.813508
12597.453163,2152.920006
12497.45322,2153.026505
12397.453277,2153.133004
12297.453333,2153.239502
12197.45339,2153.346001
12097.453447,2153.452499
11997.453504,2153.558998
11897.45356,2153.665497
11797.453617,2153.771995
11697.453674,2153.878494
11597.453731,2153.984992
11497.453787,2154.091491
11397.453844,2154.19799
11297.453901,2154.304488
11197.453939,2154.216812
11097.453978,2154.129135
10997.454016,2154.041459
10897.454055,2153.953783
10797.454093,2153.866106
10697.454131,2153.77843
10597.45417,2153.690754
10497.454208,2153.603077
10397.454247,2153.515401
10297.454285,2153.427725
10197.454324,2153.340048
10097.454362,2153.252372
9997.454401,2153.164696
9897.454439,2153.077019
9797.454477,2152.989343
9697.454516,2152.901667
9597.454554,2152.81399
9497.454593,2152.726314
9397.454631,2152.638638
9297.45467,2152.550961
9197.454708,2152.463285
9097.454746,2152.375609
8997.454785,2152.287932
8897.454823,2152.200256
8797.454862,2152.112579
8697.4549,2152.024903
8597.454939,2151.937227
8497.454977,2151.84955
8397.455016,2151.761874
8297.455054,2151.674198
8197.455092,2151.586521
8097.455131,2151.498845
7997.455169,2151.411169
7897.455208,2151.323492
7797.455246,2151.235816
7697.455285,2151.14814
7597.455323,2151.060463
7497.455627,2151.307105
7397.455931,2151.553747
7297.456236,2151.800389
7197.45654,2152.047031
7097.456844,2152.293673
6997.457148,2152.540315
6897.457452,2152.786957
6797.457756,2153.033599
6697.45806,2153.280241
6597.458365,2153.526883
6497.458669,2153.773525
6397.458973,2154.020167
6297.459277,2154.266809
6197.459581,2154.513451
6097.459885,2154.760093
5997.46019,2155.006735
5897.460494,2155.253377
5797.460798,2155.500019
5697.461102,2155.746661
5597.461406,2155.993303
5497.46171,2156.239945
5397.462015,2156.486587
5297.462319,2156.733229
5197.462623,2156.979871
5097.462927,2157.226512
4997.463231,2157.473154
4897.463535,2157.719796
4797.46384,2157.966438
4697.464144,2158.21308
4597.464448,2158.459722
4497.464452,2158.430471
4397.464457,2158.40122
4297.464461,2158.371969
4197.464465,2158.342718
4097.464469,2158.313466
3997.464474,2158.284215
3897.464478,2158.254964
3797.464482,2158.225713
3697.464486,2158.196462
3597.464491,2158.16721
3497.464495,2158.137959
3397.464499,2158.108708
3297.464504,2158.079457
3197.464508,2158.050206
3097.464512,2158.020954
2997.464516,2157.991703
2897.464521,2157.962452
2797.464525,2157.933201
2697.464529,2157.90395
2597.464534,2157.874698
2497.464538,2157.845447
2397.464542,2157.816196
2297.464546,2157.786945
2197.464551,2157.757694
2097.464555,2157.728443
1997.464559,2157.699191
