Sref,Xref,Yref,Aref,Kref,Lmax,Lmin,S,L,X,Y,A,dA,K,V,AN,AT,Vs,ANs,ATs,TIME
0,11.2528150253017,145.486666708987,-1.58094340435892,0,11.2528150253017,-11.2528150253017,0,0,11.2528150253017,145.486666708987,-1.58094340435892,0,0,63.3212298883185,0,2.96052631580869,63.3212298883185,0,2.96052631580869,0
2,11.2324858467305,143.483283890717,-1.58086327724354,0,11.2324858467305,-11.2324858467305,2,0,11.2324858467305,143.483283890717,-1.58086327724354,0,0,75.0000000002055,0,2.9605263158079,63.3480841368992,0,4.41788816155693,0.0315849834806977
4,11.2124782559647,141.479951178739,-1.58070112609786,0,11.2124782559647,-11.2124782559647,4,0,11.2124782559647,141.479951178739,-1.58070112609786,0,0,75.0000000002055,0,2.96052631580796,63.4208817149298,0,4.41378616707449,0.0631565775904402
6,11.1927998287457,139.476668616355,-1.58053518517425,0,11.1927998287457,-11.1927998287457,6,0,11.1927998287457,139.476668616355,-1.58053518517425,0,0,75.0000000002055,0,2.96052631580794,63.4933132044021,0,4.40970480093281,0.0946919322862293
8,11.173458140815,137.473436246866,-1.5803654541493,0,11.173458140815,-11.173458140815,8,0,11.173458140815,137.473436246866,-1.5803654541493,0,0,75.0000000002055,0,2.9605263158079,63.5653811050777,0,4.40564392227544,0.126191312284899
10,11.154460767914,135.470254113573,-1.58019193269955,0,11.154460767914,-11.154460767914,10,0,11.154460767914,135.470254113573,-1.58019193269955,0,0,75.0000000002055,0,2.96052631580791,63.6370878920112,0,4.40160339163812,0.157654979539467
12,11.1358152857842,133.467122259777,-1.58001462050153,0,11.1358152857842,-11.1358152857842,12,0,11.1358152857842,133.467122259777,-1.58001462050153,0,0,75.0000000002055,0,2.96052631580784,63.7084360158907,0,4.3975830709296,0.189083193278504
14,11.1175292701671,131.464040728779,-1.57983351723181,0,11.1175292701671,-11.1175292701671,14,0,11.1175292701671,131.464040728779,-1.57983351723181,0,0,75.0000000002055,0,2.96052631580789,63.7794279033718,0,4.39089336229457,0.220476210044779
16,11.099610296804,129.461009563881,-1.57964862256712,0,11.099610296804,-11.099610296804,16,0,11.099610296804,129.461009563881,-1.57964862256712,0,0,75.0000000002055,0,2.96052631580796,63.8499816210864,0,4.38280123569387,0.251834283733211
18,11.0820659414366,127.458028808383,-1.57945993618441,0,11.0820659414366,-11.0820659414366,18,0,11.0820659414366,127.458028808383,-1.57945993618441,0,0,75.0000000002055,0,2.960526315808,63.920055452324,0,4.37476414945464,0.283157707001661
20,11.0649037798061,125.455098505587,-1.57926745776092,0,11.0649037798061,-11.0649037798061,20,0,11.0649037798061,125.455098505587,-1.57926745776092,0,0,75.0000000002055,0,2.9605263158078,63.9896535474516,0,4.36404742312842,0.314446791246773
22,11.0481313876541,123.452218698794,-1.57907118697428,0,11.0481313876541,-11.0481313876541,22,0,11.0481313876541,123.452218698794,-1.57907118697428,0,0,75.0000000002055,0,2.96052631580787,64.0586945500142,0,4.35136825882679,0.345701844042408
