Sref,Xref,Yref,Aref,Kref,Lmax,Lmin,S,L,X,Y,A,dA,K,V,AN,AT,Vs,ANs,ATs,TIME
0,-30.7830015,-121.8751446,0.1404648,-6.1e-06,7.2518077,-0.0113406,0,4.3837143,-31.396818,-117.5346169,0.136384,-0.0040809,1e-07,57.1954089,0.00032713147992382,3.0543497,57.1954089,0.00032713147992382,3.0543497,0
2.9976491,-27.8148732,-121.4554631,0.1404466,-9e-06,7.2566974,-0.0061976,2.9978405,4.3714806,-28.4268151,-117.1270258,0.1363844,-0.0040622,2e-07,57.3552761,0.000657925539301446,2.9928174,57.3552761,0.000657925539301446,2.9928174,0.052340856996813
5.9952923,-24.8467356,-121.035891,0.1404108,-1.17e-05,7.2417555,-0.0006079,5.9956671,4.359359,-25.4568264,-116.7194341,0.1363853,-0.0040255,3e-07,57.511491,0.000992271479112924,2.9697442,57.511491,0.000992271479112924,2.9697442,0.104537442664864
8.9929302,-21.8785889,-120.6164234,0.1403766,-1.11e-05,7.2496457,-0.0010248,8.9934804,4.3473453,-22.4868511,-116.3118412,0.1363863,-0.0039903,3e-07,57.6660825,0.000997613121269042,2.9467245,57.6660825,0.000997613121269042,2.9467245,0.156592948283975
11.9905634,-18.9104331,-120.1970556,0.140344,-1.06e-05,7.212594,-0.0258142,11.9912811,4.3354346,-19.5168889,-115.9042471,0.1363873,-0.0039568,3e-07,57.8190666,0.00100291333874857,2.9237669,57.8190666,0.00100291333874857,2.9237669,0.20850959073421
14.9881923,-15.9422684,-119.777783,0.140313,-1.01e-05,7.2178659,-0.0155044,14.9890696,4.3236222,-16.546939,-115.496652,0.1363881,-0.0039249,3e-07,57.9704591,0.00100817223847943,2.9008748,57.9704591,0.00100817223847943,2.9008748,0.260289551471283
17.9858176,-12.974095,-119.3586006,0.1402835,-9.6e-06,7.2336055,-0.0156963,17.9868467,4.311903,-13.5770008,-115.089056,0.136389,-0.0038946,3e-07,58.120276,0.00101338994469485,2.8780557,58.120276,0.00101338994469485,2.8780557,0.311934966166839
20.9834397,-10.0059129,-118.9395039,0.1402556,-9e-06,7.2078982,-0.0283004,20.9846129,4.3002722,-10.6070737,-114.681459,0.1363898,-0.0038659,3e-07,58.2685332,0.00101856658838385,2.8553138,58.2685332,0.00101856658838385,2.8553138,0.363447929276063
23.9810591,-7.0377223,-118.520488,0.1402293,-8.5e-06,7.2068686,-0.0292078,23.9823688,4.288725,-7.6371571,-114.2738611,0.1363905,-0.0038388,2e-07,58.4152465,0.000682468204731152,2.8326546,58.4152465,0.000682468204731152,2.8326546,0.414830494100601
26.9786765,-4.0695234,-118.1015482,0.1402046,-8e-06,7.2389391,-0.0150296,26.980115,4.2772566,-4.6672505,-113.8662623,0.1363912,-0.0038133,2e-07,58.5604319,0.000685864836862907,2.8100828,58.5604319,0.000685864836862907,2.8100828,0.466084672634909
