Sref,Xref,Yref,Aref,Kref,Lmax,Lmin,S,L,X,Y,A,dA,K,V,AN,AT,Vs,ANs,ATs,TIME
0,-30.0524239,-122.4318861,0.1421602,-9.6e-06,7.1501219,0.0030008,0,3.0060198,-30.4784093,-119.4562028,0.1393268,-0.0028334,4.9e-06,51.0236181,0.0127567070596718,3.1182362,51.0236181,0.0127567070596718,3.1182362,0
2.9990126,-27.083662,-122.00698,0.1421315,-1.43e-05,7.1411544,-0.0017042,2.9992019,2.9975218,-27.5082706,-119.0396841,0.1393415,-0.00279,7.2e-06,51.206582,0.0188792210888836,3.0686354,51.206582,0.0188792210888836,3.0686354,0.0586754568612081
5.9980202,-24.1148808,-121.5822452,0.1420747,-1.87e-05,7.1364696,-0.0029679,5.9983933,2.9892842,-24.5381544,-118.6230798,0.1393699,-0.0027048,9.1e-06,51.385999,0.0240287401283748,3.0549159,51.385999,0.0240287401283748,3.0549159,0.117143455733161
8.997023,-21.1460807,-121.1576778,0.1420192,-1.83e-05,7.1359189,-0.00212,8.9975746,2.9812974,-21.5680597,-118.2063954,0.1393962,-0.002623,8.4e-06,51.5639931,0.0223343012291015,3.0406833,51.5639931,0.0223343012291015,3.0406833,0.17540827401635
11.9960212,-18.177262,-120.7332738,0.1419651,-1.78e-05,7.1370826,-0.0004264,11.9967462,2.9735506,-18.5979851,-117.7896374,0.1394204,-0.0025447,7.7e-06,51.7405494,0.0206135502820466,3.0259431,51.7405494,0.0206135502820466,3.0259431,0.23347293486739
14.9950151,-15.2084249,-120.3090291,0.1419123,-1.74e-05,7.138916,0.0008286,14.9959084,2.9660337,-15.6279295,-117.3728118,0.1394426,-0.0024697,7.1e-06,51.9156531,0.0191361687612767,3.0107048,51.9156531,0.0191361687612767,3.0107048,0.291340426028802
17.994005,-12.2395699,-119.8849397,0.1418608,-1.69e-05,7.1409595,0.0015382,17.9950615,2.9587369,-12.6578918,-116.9559244,0.139463,-0.0023978,6.5e-06,52.0892903,0.0176364120657249,2.9949805,52.0892903,0.0176364120657249,2.9949805,0.34901370493945
20.9929911,-9.2706972,-119.4610016,0.1418107,-1.65e-05,7.1431276,0.0020906,20.9942059,2.9516509,-9.6878708,-116.5389802,0.1394817,-0.002329,6e-06,52.2614478,0.0163875535569127,2.9787858,52.2614478,0.0163875535569127,2.9787858,0.406495702038758
23.9919737,-6.3018071,-119.0372108,0.141762,-1.6e-05,7.1452493,0.0021096,23.9933419,2.9447668,-6.7178656,-116.1219841,0.1394989,-0.0022631,5.5e-06,52.4321132,0.0151201957203969,2.9621361,52.4321132,0.0151201957203969,2.9621361,0.463789311174581
26.9909531,-3.3329,-118.6135633,0.1417146,-1.56e-05,7.1473534,0.0014813,26.9924698,2.9380764,-3.7478753,-115.7049402,0.1395147,-0.0021999,5e-06,52.6012751,0.0138344707107294,2.9450507,52.6012751,0.0138344707107294,2.9450507,0.52089739692162
