Sref,Xref,Yref,Aref,Kref,Lmax,Lmin,S,L,X,Y,A,dA,K,V,AN,AT,Vs,ANs,ATs,TIME
0,20.3196507869772,302.740110767043,1.81737090144882,-0.0070877872882575,20.3196507869772,-20.3196507869772,0,0,20.3196507869772,302.740110767043,1.81737090144882,0,-0.0070877872882575,14.0000000000369,-1.38920630850579,0.10315789473285,14.0000000000369,-1.3892063085058,0.10315789473285,0
2,19.8400831680864,304.645452854537,1.80340101323942,-0.0106356735184457,19.8400831680864,-19.8400831680864,2,0,19.8400831680864,304.645452854537,1.80340101323942,0,-0.0106356735184457,14.0000000000363,-2.08459200962615,0.10315789470916,14.0000000000363,-2.08459200962616,0.103157894709036,0.142857142856766
4,19.4166677807392,306.551894158057,1.77559223048269,-0.0141606612791014,19.4166677807392,-19.4166677807392,4,0,19.4166677807392,306.551894158057,1.77559223048269,0,-0.0141606612791014,14.0000000000323,-2.77548961071668,0.103157894736274,14.0000000000322,-2.77548961071665,0.103157894736674,0.285714285713539
6,19.047890458489,308.459427598327,1.74826058186827,-0.0139656713235657,19.047890458489,-19.047890458489,6,0,19.047890458489,308.459427598327,1.74826058186827,0,-0.0139656713235657,14.0000000000322,-2.73727157943145,0.103157894742077,14.0000000000321,-2.73727157943145,0.103157894742157,0.428571428570353
8,18.732237034889,310.368046096071,1.72146588565369,-0.0137270818160666,18.732237034889,-18.732237034889,8,0,18.732237034889,310.368046096071,1.72146588565369,0,-0.0137270818160666,14.0000000000328,-2.69050803596167,0.103157894743047,14.0000000000328,-2.69050803596168,0.103157894742913,0.571428571427168
10,18.4681933434923,312.277742572016,1.69526312852917,-0.0134483435677443,18.4681933434923,-18.4681933434923,10,0,18.4681933434923,312.277742572016,1.69526312852917,0,-0.0134483435677443,14.0000000000336,-2.63587533929053,0.103157894744353,14.0000000000336,-2.63587533929055,0.103157894744105,0.714285714283975
12,18.2542452178522,314.188509946885,1.66970212953342,-0.0131332504260509,18.2542452178522,-18.2542452178522,12,0,18.2542452178522,314.188509946885,1.66970212953342,0,-0.0131332504260509,14.0000000000345,-2.57411708351868,0.103157894745184,14.0000000000346,-2.57411708351871,0.103157894744864,0.857142857140775
14,18.088878491522,316.100341141404,1.64482733439331,-0.0127858198767626,18.088878491522,-18.088878491522,14,0,18.088878491522,316.100341141404,1.64482733439331,0,-0.0127858198767626,14.0000000000356,-2.50602069585821,0.103157894745038,14.0000000000357,-2.50602069585824,0.103157894744656,0.999999999997565
16,17.9705789980548,318.013229076298,1.62067773426413,-0.0124101784525938,17.9705789980548,-17.9705789980548,16,0,17.9705789980548,318.013229076298,1.62067773426413,0,-0.0124101784525938,14.0000000000366,-2.43239497672112,0.103157894738267,14.0000000000367,-2.43239497672115,0.103157894737867,1.14285714285434
18,17.8978325710038,319.927166672291,1.59728689860391,-0.012010456450897,17.8978325710038,-17.8978325710038,18,0,17.8978325710038,319.927166672291,1.59728689860391,0,-0.012010456450897,14.0000000000367,-2.35404946438816,0.103157894737617,14.0000000000368,-2.35404946438817,0.103157894737422,1.28571428571111
20,17.8691250439223,321.84214685011,1.5746831087723,-0.0115906952716736,17.8691250439223,-17.8691250439223,20,0,17.8691250439223,321.84214685011,1.5746831087723,0,-0.0115906952716736,14.0000000000368,-2.27177627325995,0.103157894737602,14.0000000000368,-2.27177627325996,0.103157894737469,1.42857142856788
22,17.8829422503636,323.758162530478,1.55288957693286,-0.011154769461762,17.8829422503636,-17.8829422503636,22,0,17.8829422503636,323.758162530478,1.55288957693286,0,-0.011154769461762,14.0000000000368,-2.18633481451685,0.103157894737642,14.0000000000368,-2.18633481451685,0.103157894737535,1.57142857142465
24,17.9377700238807,325.675206634122,1.53192473389761,-0.0107063244024346,17.9377700238807,-17.9377700238807,24,0,17.9377700238807,325.675206634122,1.53192473389761,0,-0.0107063244024346,14.0000000000368,-2.09843958288821,0.103157894737685,14.0000000000368,-2.09843958288821,0.103157894737596,1.71428571428141
26,18.032094198027,327.593272081765,1.51180256955049,-0.0102487295857477,18.032094198027,-18.032094198027,26,0,18.032094198027,327.593272081765,1.51180256955049,0,-0.0102487295857477,14.0000000000368,-2.00875099881711,0.103157894737723,14.0000000000368,-2.00875099881712,0.103157894737617,1.85714285713818
28,18.1644006063556,329.512351794132,1.49253301024552,-0.00978504663608209,18.1644006063556,-18.1644006063556,28,0,18.1644006063556,329.512351794132,1.49253301024552,0,-0.00978504663608209,14.0000000000369,-1.91786914068219,0.103157894737698,14.0000000000369,-1.91786914068219,0.103157894737592,1.99999999999495
30,18.3331750824198,331.43243869195,1.47412231890269,-0.00931801066360265,18.3331750824198,-18.3331750824198,30,0,18.3331750824198,331.43243869195,1.47412231890269,0,-0.00931801066360265,14.0000000000369,-1.82633009007575,0.103157894737702,14.0000000000369,-1.82633009007575,0.103157894737604,2.14285714285172
32,18.5369034597728,333.353525695943,1.45657350522717,-0.00885002317783174,18.5369034597728,-18.5369034597728,32,0,18.5369034597728,333.353525695943,1.45657350522717,0,-0.00885002317783174,14.0000000000369,-1.73460454286417,0.103157894737003,14.0000000000369,-1.73460454286417,0.103157894736897,2.28571428570848
34,18.7740715719677,335.275605726835,1.43988673538228,-0.00838315461771294,18.7740715719677,-18.7740715719677,34,0,18.7740715719677,335.275605726835,1.43988673538228,0,-0.00838315461771294,14.0000000000369,-1.64309830508039,0.103157894737709,14.0000000000369,-1.64309830508039,0.10315789473762,2.42857142856525
36,19.043165252558,337.198671705352,1.42405973240801,-0.00791915453461595,19.043165252558,-19.043165252558,36,0,19.043165252558,337.198671705352,1.42405973240801,0,-0.00791915453461595,14.0000000000369,-1.55215428879291,0.103157894737654,14.0000000000369,-1.55215428879291,0.103157894737565,2.57142857142201
38,19.3426703350966,339.122716552219,1.40908816058056,-0.00745946755940802,19.3426703350966,-19.3426703350966,38,0,19.3426703350966,339.122716552219,1.40908816058056,0,-0.00745946755940802,14.0000000000369,-1.46205564165168,0.103157894737649,14.0000000000369,-1.46205564165169,0.10315789473756,2.71428571427878
40,19.671072653137,341.047733188161,1.39496598867228,-0.00700525345763729,19.671072653137,-19.671072653137,40,0,19.671072653137,341.047733188161,1.39496598867228,0,-0.00700525345763729,14.0000000000369,-1.37302967770415,0.103157894737635,14.000000000037,-1.37302967770416,0.103157894737547,2.85714285713555
42,20.0268580402322,342.973714533903,1.38168582864344,-0.00655740979567165,20.0268580402322,-20.0268580402322,42,0,20.0268580402322,342.973714533903,1.38168582864344,0,-0.00655740979567165,14.000000000037,-1.28525231995843,0.103157894737629,14.000000000037,-1.28525231995843,0.103157894737531,2.99999999999231
44,20.4085123299355,344.900653510169,1.3692392476486,-0.00611659597937637,20.4085123299355,-20.4085123299355,44,0,20.4085123299355,344.900653510169,1.3692392476486,0,-0.00611659597937637,14.000000000037,-1.1988528119641,0.103157894737662,14.000000000037,-1.1988528119641,0.103157894737556,3.14285714284908
46,20.8145213558002,346.828543037685,1.35761705236416,-0.00568325766556348,20.8145213558002,-20.8145213558002,46,0,20.8145213558002,346.828543037685,1.35761705236416,0,-0.00568325766556348,14.000000000037,-1.11391850245633,0.103157894737656,14.000000000037,-1.11391850245633,0.103157894737558,3.28571428570584
48,21.2433709513793,348.757376037176,1.34680954554534,-0.00525765077120407,21.2433709513793,-21.2433709513793,48,0,21.2433709513793,348.757376037176,1.34680954554534,0,-0.00525765077120407,14.000000000037,-1.03049955116145,0.103157894737676,14.0000000000371,-1.03049955116145,0.103157894737579,3.42857142856261
50,21.6935469502263,350.687145429367,1.3368067554171,-0.00483986450754073,21.6935469502263,-21.6935469502263,50,0,21.6935469502263,350.687145429367,1.3368067554171,0,-0.00483986450754073,14.0000000000371,-0.948613443483006,0.103157894736988,14.0000000000371,-0.948613443483008,0.103157894736909,3.57142857141937
52,22.1635351858942,352.617844134983,1.32759863901675,-0.00442984304126308,22.1635351858942,-22.1635351858942,52,0,22.1635351858942,352.617844134983,1.32759863901675,0,-0.00442984304126308,14.000000000037,-0.868249236092151,0.103157894737671,14.000000000037,-0.868249236092153,0.103157894737591,3.71428571427614
54,22.6518214919364,354.549465074748,1.31917526096075,-0.00402740553144368,22.6518214919364,-22.6518214919364,54,0,22.6518214919364,354.549465074748,1.31917526096075,0,-0.00402740553144368,14.000000000037,-0.789371484167136,0.103157894737659,14.000000000037,-0.789371484167138,0.10315789473757,3.8571428571329
56,23.1568917019059,356.482001169388,1.31152694933046,-0.00363226440996485,23.1568917019059,-23.1568917019059,56,0,23.1568917019059,356.482001169388,1.31152694933046,0,-0.00363226440996485,14.000000000037,-0.711923824356879,0.10315789473799,14.0000000000371,-0.711923824356881,0.103157894737901,3.99999999998967
58,23.6772316493561,358.415445339628,1.30464443048507,-0.00324404186685001,23.6772316493561,-23.6772316493561,58,0,23.6772316493561,358.415445339628,1.30464443048507,0,-0.00324404186685001,14.0000000000371,-0.635832205905974,0.103157894736718,14.0000000000371,-0.635832205905976,0.103157894736629,4.14285714284643
60,24.2113271678401,360.349790506193,1.29851894463779,-0.00286228457336609,24.2113271678401,-24.2113271678401,60,0,24.2113271678401,360.349790506193,1.29851894463779,0,-0.00286228457336609,14.000000000037,-0.561007776382719,0.103157894738055,14.000000000037,-0.561007776382721,0.103157894737967,4.2857142857032
62,24.7576640909113,362.285029589808,1.29314234399133,-0.00248647672845845,24.7576640909113,-24.7576640909113,62,0,24.7576640909113,362.285029589808,1.29314234399133,0,-0.00248647672845845,14.0000000000371,-0.487349438780439,0.103157894736629,14.0000000000371,-0.487349438780441,0.10315789473654,4.42857142855996
64,25.3147282521227,364.221155511197,1.28850717513984,-0.00211605155130327,25.3147282521227,-25.3147282521227,64,0,25.3147282521227,364.221155511197,1.28850717513984,0,-0.00211605155130327,14.000000000037,-0.414746104057632,0.103157894737701,14.000000000037,-0.414746104057633,0.103157894737612,4.57142857141672
66,25.8810054850276,366.158161191086,1.28460674731721,-0.001750401367683,25.8810054850276,-25.8810054850276,66,0,25.8810054850276,366.158161191086,1.28460674731721,0,-0.001750401367683,14.000000000037,-0.343078668067682,0.103157894737659,14.000000000037,-0.343078668067683,0.10315789473757,4.71428571427349
68,26.4549816231793,368.0960395502,1.28143518792057,-0.001388886453323,26.4549816231793,-26.4549816231793,68,0,26.4549816231793,368.0960395502,1.28143518792057,0,-0.001388886453323,14.000000000037,-0.272221744852747,0.103157894737627,14.000000000037,-0.272221744852748,0.103157894737538,4.85714285713026
70,27.0351425001309,370.034783509264,1.27898748656838,-0.00103084308024243,27.0351425001309,-27.0351425001309,70,0,27.0351425001309,370.034783509264,1.27898748656838,0,-0.00103084308024243,14.0000000000371,-0.202045243728585,0.10315789473757,14.0000000000371,-0.202045243728585,0.10315789473749,4.99999999998702
72,27.6199739494357,371.974385989003,1.27725952766377,-0.000687099641348383,27.6199739494357,-27.6199739494357,72,0,27.6199739494357,371.974385989003,1.27725952766377,0,-0.000687099641348383,14.0000000000371,-0.134671529704996,0.103157894737551,14.0000000000371,-0.134671529704997,0.103157894737462,5.14285714284379
74,28.2079618093431,373.914839910141,1.27620151215811,-0.000410416875897109,28.2079618093431,-28.2079618093431,74,0,28.2079618093431,373.914839910141,1.27620151215811,0,-0.000410416875897109,14.0000000000371,-0.0804417076762595,0.10315789473754,14.0000000000371,-0.0804417076762597,0.103157894737451,5.28571428570055
76,28.7977894737056,375.856138193404,1.27559424261516,-0.000239964651982539,28.7977894737056,-28.7977894737056,76,0,28.7977894737056,375.856138193404,1.27559424261516,0,-0.000239964651982539,14.0000000000371,-0.0470330717888269,0.103157894737517,14.0000000000371,-0.047033071788827,0.103157894737429,5.42857142855731
78,29.388863468818,377.798273759516,1.27522731606619,-0.000131194456378291,29.388863468818,-29.388863468818,78,0,29.388863468818,377.798273759516,1.27522731606619,0,-0.000131194456378291,14.0000000000371,-0.0257141134502814,0.103157894737523,14.0000000000371,-0.0257141134502814,0.103157894737443,5.57142857141408
80,29.9807557335003,379.741239529204,1.27506131505704,0,29.9807557335003,-29.9807557335003,80,0,29.9807557335003,379.741239529204,1.27506131505704,0,0,14.0000000000371,0,0.103157894737494,14.0000000000371,0,0.103157894737423,5.71428571427084
82,30.5730382065725,381.685028423192,1.2750959206458,0,30.5730382065725,-30.5730382065725,82,0,30.5730382065725,381.685028423192,1.2750959206458,0,0,14.0000000000371,0,0.103157894737438,14.0000000000371,0,0.103157894737349,5.85714285712761
84,31.1652828268549,383.629633362203,1.2753308922721,0.000164818361138355,31.1652828268549,-31.1652828268549,84,0,31.1652828268549,383.629633362203,1.2753308922721,0,0.000164818361138355,14.0000000000371,0.0323043987832887,0.103157894737453,14.0000000000371,0.0323043987832888,0.103157894737364,5.99999999998437
86,31.7570615331672,385.575047266965,1.2757660673989,0.000263188496036422,31.7570615331672,-31.7570615331672,86,0,31.7570615331672,385.575047266965,1.2757660673989,0,0.000263188496036422,14.0000000000371,0.051584945223412,0.103157894737456,14.0000000000371,0.0515849452234121,0.103157894737367,6.14285714284113
88,32.3479462643298,387.521263058202,1.27640136098995,0.000361503596699008,32.3479462643298,-32.3479462643298,88,0,32.3479462643298,387.521263058202,1.27640136098995,0,0.000361503596699008,14.0000000000371,0.0708547049533811,0.103157894737438,14.0000000000371,0.0708547049533813,0.103157894737359,6.2857142856979
90,32.9375089591625,389.468273656638,1.27723676482288,0.000459820023808911,32.9375089591625,-32.9375089591625,90,0,32.9375089591625,389.468273656638,1.27723676482288,0,0.000459820023808911,14.0000000000371,0.0901247246670241,0.103157894737442,14.0000000000371,0.0901247246670243,0.103157894737353,6.42857142855466
92,33.5253215564854,391.416071982999,1.27827234663667,0.000558193419495234,33.5253215564854,-33.5253215564854,92,0,33.5253215564854,391.416071982999,1.27827234663667,0,0.000558193419495234,14.0000000000371,0.109405910221645,0.103157894737443,14.0000000000371,0.109405910221646,0.103157894737363,6.57142857141143
94,34.1109559951186,393.36465095801,1.27950824911132,0.00065667860066356,34.1109559951186,-34.1109559951186,94,0,34.1109559951186,393.36465095801,1.27950824911132,0,0.00065667860066356,14.0000000000371,0.12870900573074,0.103157894737447,14.0000000000371,0.12870900573074,0.103157894737358,6.71428571426819
