Sref,Xref,Yref,Aref,Kref,Lmax,Lmin,S,L,X,Y,A,dA,K,V,AN,AT,Vs,ANs,ATs,TIME
0,-26.3880066917439,-135.519378314775,0.137743709617342,0,-26.3880066917439,26.3880066917439,0,0,-26.3880066917439,-135.519378314775,0.137743709617342,0,0,8.00000000006441,0,0.0336842105269043,8.00000000006441,0,0.0336842105269043,0
2,-24.4073931089792,-135.244822640461,0.137821886978252,0,-24.4073931089792,24.4073931089792,2,0,-24.4073931089792,-135.244822640461,0.137821886978252,0,0,8.00000000006441,0,0.033684210526892,8.00000000006442,0,0.0336842105267943,0.249999999997987
4,-22.4268128652968,-134.969955957856,0.13797657993847,0,-22.4268128652968,22.4268128652968,4,0,-22.4268128652968,-134.969955957856,0.13797657993847,0,0,8.00000000006441,0,0.0336842105268925,8.00000000006441,0,0.0336842105268748,0.499999999995974
6,-20.4462650704441,-134.694784848111,0.138127950164708,0,-20.4462650704441,20.4462650704441,6,0,-20.4462650704441,-134.694784848111,0.138127950164708,0,0,8.00000000006441,0,0.0336842105268928,8.00000000006441,0,0.0336842105268573,0.749999999993961
8,-18.4657488341682,-134.41931589238,0.138275997703967,0,-18.4657488341682,18.4657488341682,8,0,-18.4657488341682,-134.41931589238,0.138275997703967,0,0,8.00000000006441,0,0.0336842105268929,8.00000000006441,0,0.0336842105268574,0.999999999991948
10,-16.4852632662163,-134.143555671816,0.138420722604038,0,-16.4852632662163,16.4852632662163,10,0,-16.4852632662163,-134.143555671816,0.138420722604038,0,0,8.00000000006441,0,0.033684210526895,8.00000000006441,0,0.0336842105268684,1.24999999998994
12,-14.5048074763356,-133.867510767571,0.138562124913159,0,-14.5048074763356,14.5048074763356,12,0,-14.5048074763356,-133.867510767571,0.138562124913159,0,0,8.00000000006441,0,0.0336842105268925,8.00000000006441,0,0.033684210526857,1.49999999998792
14,-12.5243805742735,-133.591187760798,0.138700204680142,0,-12.5243805742735,12.5243805742735,14,0,-12.5243805742735,-133.591187760798,0.138700204680142,0,0,8.00000000006441,0,0.0336842105268944,8.00000000006441,0,0.0336842105268589,1.74999999998591
16,-10.543981669777,-133.314593232648,0.138834961954402,0,-10.543981669777,10.543981669777,16,0,-10.543981669777,-133.314593232648,0.138834961954402,0,0,8.00000000006441,0,0.0336842105268899,8.00000000006441,0,0.0336842105268543,1.9999999999839
18,-8.56360987259332,-133.037733764276,0.138966396785701,0,-8.56360987259332,8.56360987259332,18,0,-8.56360987259332,-133.037733764276,0.138966396785701,0,0,8.00000000006441,0,0.0336842105268914,8.00000000006441,0,0.0336842105268736,2.24999999998188
20,-6.58326429246977,-132.760615936833,0.139094509224344,0,-6.58326429246977,6.58326429246977,20,0,-6.58326429246977,-132.760615936833,0.139094509224344,0,0,8.00000000006441,0,0.0336842105268894,8.00000000006442,0,0.0336842105268539,2.49999999997987
22,-4.60294403915351,-132.483246331472,0.139219299320842,0,-4.60294403915351,4.60294403915351,22,0,-4.60294403915351,-132.483246331472,0.139219299320842,0,0,8.00000000006441,0,0.0336842105268892,8.00000000006441,0,0.0336842105268537,2.74999999997786
