Sref,Xref,Yref,Aref,Kref,Lmax,Lmin,S,L,X,Y,A,dA,K,V,AN,AT,Vs,ANs,ATs,TIME
0,-26.3880066917439,-135.519378314775,0.137743709617342,0.0,-26.3880066917439,26.3880066917439,0,0,-26.3880066917439,-135.519378314775,0.137743709617342,0,0.0,14.0000000002322,0.0,0.103157894740785,14.0000000002322,0.0,0.103157894740785,0.0
2,-24.4073931089792,-135.244822640461,0.137821886978252,0.0,-24.4073931089792,24.4073931089792,2,0,-24.4073931089792,-135.244822640461,0.137821886978252,0,0.0,14.0000000002321,0.0,0.10315789474065,14.0000000002323,0.0,0.103157894739841,0.142857142854774
4,-22.4268128652968,-134.969955957856,0.13797657993847,0.0,-22.4268128652968,22.4268128652968,4,0,-22.4268128652968,-134.969955957856,0.13797657993847,0,0.0,14.0000000002321,0.0,0.103157894740616,14.0000000002322,0.0,0.103157894740128,0.285714285709547
6,-20.4462650704441,-134.694784848111,0.138127950164708,0.0,-20.4462650704441,20.4462650704441,6,0,-20.4462650704441,-134.694784848111,0.138127950164708,0,0.0,14.0000000002321,0.0,0.103157894740616,14.0000000002322,0.0,0.103157894740234,0.42857142856432
8,-18.4657488341682,-134.41931589238,0.138275997703967,0.0,-18.4657488341682,18.4657488341682,8,0,-18.4657488341682,-134.41931589238,0.138275997703967,0,0.0,14.0000000002321,0.0,0.103157894740607,14.0000000002322,0.0,0.103157894740243,0.571428571419094
10,-16.4852632662163,-134.143555671816,0.138420722604038,0.0,-16.4852632662163,16.4852632662163,10,0,-16.4852632662163,-134.143555671816,0.138420722604038,0,0.0,14.0000000002321,0.0,0.103157894740617,14.0000000002322,0.0,0.103157894740271,0.714285714273868
12,-14.5048074763356,-133.867510767571,0.138562124913159,0.0,-14.5048074763356,14.5048074763356,12,0,-14.5048074763356,-133.867510767571,0.138562124913159,0,0.0,14.0000000002321,0.0,0.103157894740611,14.0000000002322,0.0,0.103157894740256,0.857142857128642
14,-12.5243805742735,-133.591187760798,0.138700204680142,0.0,-12.5243805742735,12.5243805742735,14,0,-12.5243805742735,-133.591187760798,0.138700204680142,0,0.0,14.0000000002321,0.0,0.10315789474061,14.0000000002322,0.0,0.103157894740255,0.999999999983415
16,-10.543981669777,-133.314593232648,0.138834961954402,0.0,-10.543981669777,10.543981669777,16,0,-10.543981669777,-133.314593232648,0.138834961954402,0,0.0,14.0000000002321,0.0,0.103157894740609,14.0000000002322,0.0,0.103157894740263,1.14285714283819
18,-8.56360987259332,-133.037733764276,0.138966396785701,0.0,-8.56360987259332,8.56360987259332,18,0,-8.56360987259332,-133.037733764276,0.138966396785701,0,0.0,14.0000000002321,0.0,0.103157894740611,14.0000000002322,0.0,0.103157894740265,1.28571428569296
