Sref,Xref,Yref,Aref,Kref,Lmax,Lmin,S,L,X,Y,A,dA,K,V,AN,AT,Vs,ANs,ATs,TIME
0,-30.7830015,-121.8751446,0.1404648,-6.1e-06,7.2518077,-7.274489,0,-0.1732457,-30.7587433,-122.0466835,0.1084864,-0.0319784,-1.5e-06,54.0939252,-0.00438922911531479,2.5723679,54.0939252,-0.00438922911531479,2.5723679,0
2.9976491,-27.8148732,-121.4554631,0.1404466,-9e-06,7.2566974,-7.2690926,2.9991772,-0.2691383,-27.7771979,-121.7219514,0.1084819,-0.0319647,-2.2e-06,54.2363597,-0.00647148196971713,2.5299545,54.2363597,-0.00647148196971713,2.5299545,0.0553709834347548
5.9952923,-24.8467356,-121.035891,0.1404108,-1.17e-05,7.2417555,-7.2429713,5.9983427,-0.3649482,-24.7956612,-121.3972476,0.1084731,-0.0319377,-2.8e-06,54.3760813,-0.00827892300912379,2.5071344,54.3760813,-0.00827892300912379,2.5071344,0.110597907069831
8.9929302,-21.8785889,-120.6164234,0.1403766,-1.11e-05,7.2496457,-7.2516954,8.9974972,-0.4606783,-21.8141327,-121.0725701,0.1084649,-0.0319117,-2.7e-06,54.5141888,-0.00802385130740952,2.4845585,54.5141888,-0.00802385130740952,2.4845585,0.165683719432164
11.9905634,-18.9104331,-120.1970556,0.140344,-1.06e-05,7.212594,-7.2642223,11.9966418,-0.5563319,-18.8326114,-120.7479176,0.1084571,-0.031887,-2.6e-06,54.650708,-0.00776541970074329,2.462227,54.650708,-0.00776541970074329,2.462227,0.220630771411761
14.9881923,-15.9422684,-119.777783,0.140313,-1.01e-05,7.2178659,-7.2488748,14.9957774,-0.6519128,-15.8510966,-120.423289,0.1084495,-0.0318635,-2.5e-06,54.7856641,-0.00750367247719507,2.4401396,54.7856641,-0.00750367247719507,2.4401396,0.275441352629046
17.9858176,-12.974095,-119.3586006,0.1402835,-9.6e-06,7.2336055,-7.264998,17.994905,-0.7474252,-12.8695873,-120.0986834,0.1084422,-0.0318414,-2.4e-06,54.919082,-0.00723865336253454,2.4182963,54.919082,-0.00723865336253454,2.4182963,0.330117704018298
20.9834397,-10.0059129,-118.9395039,0.1402556,-9e-06,7.2078982,-7.2644989,20.9940256,-0.8428729,-9.8880826,-119.7741001,0.108435,-0.0318206,-2.4e-06,55.0509863,-0.00727346662224669,2.3966969,55.0509863,-0.00727346662224669,2.3966969,0.384662011997301
23.9810591,-7.0377223,-118.520488,0.1402293,-8.5e-06,7.2068686,-7.2652842,23.9931401,-0.9382605,-6.9065817,-119.4495385,0.108428,-0.0318013,-2.3e-06,55.1814012,-0.00700347018830933,2.3753412,55.1814012,-0.00700347018830933,2.3753412,0.439076410139602
26.9786765,-4.0695234,-118.1015482,0.1402046,-8e-06,7.2389391,-7.2689983,26.9922496,-1.0335923,-3.9250836,-119.1249984,0.108421,-0.0317836,-2.3e-06,55.3103503,-0.00703624015571003,2.3542286,55.3103503,-0.00703624015571003,2.3542286,0.493362985560708
29.9762923,-1.1013163,-117.6826798,0.1401814,-7.5e-06,7.2456962,-7.2664619,29.9913549,-1.1288732,-0.9435873,-118.8004795,0.108414,-0.0317674,-2.4e-06,55.4378572,-0.00737605442622622,2.3333584,55.4378572,-0.00737605442622622,2.3333584,0.547523777592529
32.9739071,1.866899,-117.2638779,0.1401598,-6.9e-06,7.2271695,-7.2864365,32.9904571,-1.224108,2.0379082,-118.475982,0.1084069,-0.031753,-2.4e-06,55.5639449,-0.00740964473484057,2.3127292,55.5639449,-0.00740964473484057,2.3127292,0.601560777886098
35.9715214,4.8351222,-116.845138,0.1401398,-6.4e-06,7.2162095,-7.2741692,35.9895572,-1.3193018,5.019404,-118.151506,0.1083996,-0.0317402,-2.5e-06,55.688636,-0.00775306044885124,2.2923401,55.688636,-0.00775306044885124,2.2923401,0.655475934804238
38.9691357,7.8033532,-116.4264551,0.1401214,-5.9e-06,7.2376963,-7.2686578,38.9886562,-1.4144601,8.000901,-117.8270523,0.108392,-0.0317293,-2.6e-06,55.811953,-0.00809893265395294,2.2594271,55.811953,-0.00809893265395294,2.2594271,0.709271147648591
41.9667506,10.7715919,-116.0078247,0.1401045,-5.4e-06,7.2484544,-7.2765048,41.9877551,-1.5095886,10.9824004,-117.5026215,0.1083841,-0.0317204,-2.7e-06,55.9332333,-0.00844702178595902,2.1464587,55.9332333,-0.00844702178595902,2.1464587,0.762948607352431
44.9643666,13.7398382,-115.5892418,0.1400892,-4.8e-06,7.2423611,-7.2836461,44.986855,-1.6046932,13.9639034,-117.1782148,0.1083757,-0.0317134,-2.9e-06,56.0482067,-0.00911006427542918,2.0355548,56.0482067,-0.00911006427542918,2.0355548,0.81651283798364
47.9619842,16.7080919,-115.1707018,0.1400755,-4.3e-06,7.2686969,-7.2774084,47.9859567,-1.6997804,16.9454111,-116.8538337,0.1083668,-0.0317087,-3.1e-06,56.1570222,-0.00977619454135101,1.9395215,56.1570222,-0.00977619454135101,1.9395215,0.869970270798907
50.959604,19.6763529,-114.7522,0.1400633,-3.8e-06,7.2476463,-7.2747195,50.9850615,-1.7948568,19.9269249,-116.5294801,0.108357,-0.0317063,-3.4e-06,56.2605083,-0.0107618323001929,1.9262106,56.2605083,-0.0107618323001929,1.9262106,0.92332680370519
53.9572265,22.644621,-114.3337316,0.1400527,-3.3e-06,7.2661981,-7.2840121,53.9841703,-1.8899298,22.9084459,-116.2051564,0.1083463,-0.0317065,-3.8e-06,56.3630964,-0.0120718348160236,1.9129367,56.3630964,-0.0120718348160236,1.9129367,0.976585776633768
56.9548522,25.6128962,-113.9152918,0.1400437,-2.7e-06,7.2580002,-7.2614599,56.9832843,-1.9850073,25.8899758,-115.8808657,0.1083344,-0.0317094,-4.2e-06,56.4647931,-0.0133907460112684,1.8997016,56.4647931,-0.0133907460112684,1.8997016,1.02974841309866
59.9524816,28.5811783,-113.4968759,0.1400363,-2.2e-06,7.2500455,-7.2749992,59.9824045,-2.0800981,28.8715159,-115.5566118,0.108321,-0.0317153,-4.8e-06,56.5656055,-0.0153584050827918,1.8865066,56.5656055,-0.0153584050827918,1.8865066,1.08281591059905
62.9501153,31.5494671,-113.0784791,0.1400305,-1.7e-06,7.2695613,-7.2779916,62.9815321,-2.1752119,31.8530679,-115.2323995,0.1083057,-0.0317247,-5.5e-06,56.6655405,-0.0176604091408643,1.8733537,56.6655405,-0.0176604091408643,1.8733537,1.13578945430045
65.9477538,34.5177625,-112.6600968,0.1400262,-1.2e-06,7.261352,-7.2688619,65.9806682,-2.2703595,34.8346338,-114.9082349,0.1082881,-0.031738,-6.3e-06,56.7646048,-0.0202999882560312,1.8602447,56.7646048,-0.0202999882560312,1.8602447,1.18867021514282
68.9453977,37.4860644,-112.2417241,0.1400235,-6e-07,7.2673935,-7.2642338,68.9798142,-2.3655536,37.8162155,-114.5841254,0.1082676,-0.0317558,-7.4e-06,56.8628055,-0.0239270020050481,1.8471801,56.8628055,-0.0239270020050481,1.8471801,1.24145934300333
71.9430474,40.4543727,-111.8233563,0.1400223,-1e-07,7.2534361,-7.2846334,71.9789712,-2.4608086,40.7978153,-114.2600808,0.1082435,-0.0317789,-8.8e-06,56.9601494,-0.0285512358530988,1.8341625,56.9601494,-0.0285512358530988,1.8341625,1.29415797359498
74.9407036,43.4226871,-111.4049887,0.1400228,4e-07,7.2593585,-7.2643763,74.9781406,-2.5561416,43.7794361,-113.936113,0.1082147,-0.0318081,-1.06e-05,57.0566433,-0.0345078817734324,1.8211924,57.0566433,-0.0345078817734324,1.8211924,1.34676723291131
77.9383666,46.3910077,-110.9866165,0.1400248,9e-07,7.2633518,-7.2479416,77.977324,-2.6515728,46.7610808,-113.6122372,0.1081801,-0.0318447,-1.27e-05,57.1522941,-0.0414830859553398,1.8082717,57.1522941,-0.0414830859553398,1.8082717,1.39928822468183
80.9360371,49.3593342,-110.568235,0.1400284,1.5e-06,7.261029,-7.2690948,80.9765229,-2.7471262,49.7427533,-113.2884725,0.1081382,-0.0318902,-1.55e-05,57.2471087,-0.050797087544899,1.7954015,57.2471087,-0.050797087544899,1.7954015,1.45172204687592
83.9337156,52.3276665,-110.1498394,0.1400336,2e-06,7.2635999,-7.2716895,83.975739,-2.8428308,52.7244577,-112.9648428,0.1080874,-0.0319462,-1.88e-05,57.3410939,-0.061814419733394,1.7825828,57.3410939,-0.061814419733394,1.7825828,1.50406977636557
86.9314027,55.2960045,-109.731425,0.1400403,2.5e-06,7.2635459,-7.2715455,86.9749744,-2.9387212,55.7061993,-112.6413773,0.1080255,-0.0320148,-2.28e-05,57.4342565,-0.0752102190893377,1.7698171,57.4342565,-0.0752102190893377,1.7698171,1.55633248565379
89.9290987,58.2643481,-109.3129871,0.1400486,3e-06,7.2908351,-7.2463231,89.9742312,-3.0348383,58.6879842,-112.318112,0.1079504,-0.0320982,-2.77e-05,57.5266034,-0.0916678897351227,1.7571051,57.5266034,-0.0916678897351227,1.7571051,1.60851123329431
92.9268044,61.2326971,-108.8945208,0.1400585,3.6e-06,7.2758812,-7.2639158,92.9735118,-3.1312305,61.6698193,-111.9950899,0.1078594,-0.0321991,-3.34e-05,57.6181412,-0.110882996524461,1.7444482,57.6181412,-0.110882996524461,1.7444482,1.66060706388155
95.9245201,64.2010513,-108.4760215,0.1400699,4.1e-06,7.2706786,-7.243985,95.9728188,-3.2279539,64.6517128,-111.6723617,0.1077501,-0.0323198,-3.99e-05,57.7088769,-0.132879547475068,1.7318472,57.7088769,-0.132879547475068,1.7318472,1.71262101560658
