Sref,Xref,Yref,Aref,Kref,Lmax,Lmin,S,L,X,Y,A,dA,K,V,AN,AT,Vs,ANs,ATs,TIME
0,-31.9308715,-122.6764921,0.1409085,-6.3e-06,7.1254373,-7.1032924,0,0.4223329,-31.9901932,-122.2583461,0.1125367,-0.0283717,-1e-07,53.6101721,-0.000287405055259162,2.8906018,53.6101721,-0.000287405055259162,2.8906018,0
2.9972264,-28.963353,-122.255554,0.1408896,-9.3e-06,7.1095004,-7.0999922,2.9984459,0.3372732,-29.0107142,-121.9216226,0.1125365,-0.0283531,-1e-07,53.771602,-0.00028913851816464,2.8480158,53.771602,-0.00028913851816464,2.8480158,0.0558464586206797
5.9944563,-25.9958151,-121.8347271,0.1408529,-1.2e-05,7.0928218,-7.1024123,5.9968885,0.2523251,-26.0312383,-121.5849009,0.1125362,-0.0283168,-1e-07,53.9301808,-0.000290846440112069,2.8273814,53.9301808,-0.000290846440112069,2.8273814,0.111526922610478
8.9916897,-23.0282586,-121.414006,0.140818,-1.14e-05,7.0763327,-7.1060137,8.9953281,0.1674836,-23.0517654,-121.2481802,0.1125358,-0.0282822,-2e-07,54.0871507,-0.000585083974168902,2.8065629,54.0871507,-0.000585083974168902,2.8065629,0.167044671187594
11.9889266,-20.0606843,-120.9933854,0.1407848,-1.08e-05,7.0611173,-7.1107367,11.9937651,0.0827429,-20.0722948,-120.9114611,0.1125352,-0.0282496,-2e-07,54.2425154,-0.000588450095383847,2.7856071,54.2425154,-0.000588450095383847,2.7856071,0.2224023062457
14.9861669,-17.0930931,-120.57286,0.1407535,-1.02e-05,7.0491646,-7.1149148,14.9922,-0.0019032,-17.0928261,-120.5747444,0.1125344,-0.0282191,-3e-07,54.3962811,-0.000887686619253065,2.7645539,54.3962811,-0.000887686619253065,2.7645539,0.277602382094636
17.9834104,-14.1254858,-120.1524246,0.1407239,-9.6e-06,7.0409769,-7.1184542,17.9906332,-0.0864609,-14.1133588,-120.2380308,0.1125333,-0.0281907,-4e-07,54.548456,-0.00119021362079357,2.6633468,54.548456,-0.00119021362079357,2.6633468,0.332647412153336
20.9806573,-11.1578632,-119.7320737,0.1406962,-9e-06,7.0366574,-7.1215456,20.989065,-0.1709364,-11.1338924,-119.901321,0.1125319,-0.0281643,-5e-07,54.6946596,-0.00149575289437994,2.3108734,54.6946596,-0.00149575289437994,2.3108734,0.387542072136313
23.9779073,-8.1902261,-119.3118022,0.1406702,-8.4e-06,7.031333,-7.124058,23.987496,-0.2553359,-8.1544263,-119.564616,0.1125302,-0.02814,-6e-07,54.8211982,-0.00180321826325021,1.9626763,54.8211982,-0.00180321826325021,1.9626763,0.442300005211743
26.9751604,-5.2225753,-118.8916045,0.140646,-7.8e-06,7.0240268,-7.1259881,26.9859265,-0.3396659,-5.1749601,-119.2279165,0.1125281,-0.0281179,-7e-07,54.9284414,-0.00211199357224326,1.699716,54.9284414,-0.00211199357224326,1.699716,0.496941286927849
29.9724165,-2.2549117,-118.4714756,0.1406236,-7.2e-06,7.0166246,-7.1274144,29.984357,-0.4239327,-2.1954932,-118.8912235,0.1125258,-0.0280979,-9e-07,55.0211471,-0.00272459396537985,1.6939887,55.0211471,-0.00272459396537985,1.6939887,0.551483200079161
32.9696757,0.7127639,-118.05141,0.1406031,-6.6e-06,7.0113947,-7.1284206,32.9827878,-0.5081429,0.783975,-118.5545383,0.1125229,-0.0280801,-1e-06,55.1133854,-0.00303748525024893,1.6883179,55.1133854,-0.00303748525024893,1.6883179,0.605933530985559
35.9669378,3.6804506,-117.6314023,0.1405843,-6e-06,7.0104469,-7.1290696,35.9812194,-0.5923031,3.7634449,-118.217862,0.1125197,-0.0280646,-1.2e-06,55.2051615,-0.0036571318274893,1.6827009,55.2051615,-0.0036571318274893,1.6827009,0.660293049735353
38.9642027,6.6481478,-117.2114475,0.1405673,-5.4e-06,7.0150697,-7.1294125,38.9796523,-0.6764201,6.7429173,-117.8811959,0.1125159,-0.0280513,-1.3e-06,55.2964808,-0.0039750110255242,1.6771351,55.2964808,-0.0039750110255242,1.6771351,0.714562521859579
41.9614703,9.6158545,-116.79154,0.140552,-4.8e-06,7.0238478,-7.1295003,41.9780868,-0.760501,9.7223927,-117.5445416,0.1125116,-0.0280404,-1.5e-06,55.3873483,-0.00460163752755827,1.6716178,55.3873483,-0.00460163752755827,1.6716178,0.768742695761464
44.9587407,12.5835699,-116.3716746,0.1405386,-4.2e-06,7.0346807,-7.1293856,44.9765234,-0.8445529,12.7018716,-117.2079008,0.1125067,-0.028032,-1.8e-06,55.4777688,-0.00554000909584726,1.6661466,55.4777688,-0.00554000909584726,1.6661466,0.82283430897545
47.9560138,15.5512932,-115.9518459,0.140527,-3.6e-06,7.0455514,-7.129113,47.9749626,-0.9285833,15.6813549,-116.8712756,0.112501,-0.028026,-2e-06,55.567747,-0.00617554901331202,1.6607189,55.567747,-0.00617554901331202,1.6607189,0.876838095003646
50.9532894,18.5190236,-115.5320487,0.1405172,-3e-06,7.0545863,-7.1287431,50.9734047,-1.0125998,18.6608432,-116.5346681,0.1124944,-0.0280228,-2.3e-06,55.6572874,-0.00712478737367026,1.6553325,55.6572874,-0.00712478737367026,1.6553325,0.930754771852969
