Sref,Xref,Yref,Aref,Kref,Lmax,Lmin,S,L,X,Y,A,dA,K,V,AN,AT,Vs,ANs,ATs,TIME
0,-31.9308715,-122.6764921,0.1409085,-6.3e-06,7.1254373,-7.1032924,0,-0.1910064,-31.9040424,-122.8656049,0.1167277,-0.0241808,1.2e-06,53.7351002,0.00346495319220485,2.875474,53.7351002,0.00346495319220485,2.875474,0
2.9972264,-28.963353,-122.255554,0.1408896,-9.3e-06,7.1095004,-7.0999922,2.9980923,-0.2634956,-28.926352,-122.5164387,0.1167312,-0.0241584,1.7e-06,53.8952954,0.00493799487263054,2.8319498,53.8952954,0.00493799487263054,2.8319498,0.055710884190579
5.9944563,-25.9958151,-121.8347271,0.1408529,-1.2e-05,7.0928218,-7.1024123,5.9961827,-0.3358507,-25.9486659,-122.1672517,0.1167381,-0.0241148,2.2e-06,54.0526017,0.00642770425118545,2.8111757,54.0526017,0.00642770425118545,2.8111757,0.111257874630117
8.9916897,-23.0282586,-121.414006,0.140818,-1.14e-05,7.0763327,-7.1060137,8.9942715,-0.4080784,-22.9709837,-121.818045,0.1167444,-0.0240736,2e-06,54.2083024,0.00587708009817969,2.7902539,54.2083024,0.00587708009817969,2.7902539,0.166644236864559
11.9889266,-20.0606843,-120.9933854,0.1407848,-1.08e-05,7.0611173,-7.1107367,11.9923593,-0.4801861,-19.9933047,-121.4688206,0.11675,-0.0240348,1.8e-06,54.3624034,0.0053194876261638,2.7692191,54.3624034,0.0053194876261638,2.7692191,0.221872535999794
14.9861669,-17.0930931,-120.57286,0.1407535,-1.02e-05,7.0491646,-7.1149148,14.9904462,-0.5521813,-17.0156282,-121.1195807,0.116755,-0.0239985,1.5e-06,54.514912,0.00445781344555162,2.7081819,54.514912,0.00445781344555162,2.7081819,0.276945294179853
17.9834104,-14.1254858,-120.1524246,0.1407239,-9.6e-06,7.0409769,-7.1184542,17.9885328,-0.6240716,-14.0379538,-120.7703271,0.1167592,-0.0239647,1.3e-06,54.6636475,0.00388454866540553,2.3548193,54.6636475,0.00388454866540553,2.3548193,0.331866087330039
20.9806573,-11.1578632,-119.7320737,0.1406962,-9e-06,7.0366574,-7.1215456,20.9866194,-0.6958641,-11.0602807,-120.4210618,0.1167628,-0.0239333,1.1e-06,54.7926478,0.00330245767822833,2.0056801,54.7926478,0.00330245767822833,2.0056801,0.386647525071606
23.9779073,-8.1902261,-119.3118022,0.1406702,-8.4e-06,7.031333,-7.124058,23.9847064,-0.7675663,-8.0826084,-120.0717867,0.1167658,-0.0239044,9e-07,54.9022829,0.00271283460086847,1.7013345,54.9022829,0.00271283460086847,1.7013345,0.44130979508158
26.9751604,-5.2225753,-118.8916045,0.140646,-7.8e-06,7.0240268,-7.1259881,26.9827941,-0.8391854,-5.1049362,-119.7225035,0.1167682,-0.0238779,7e-07,54.9951104,0.00211712351753573,1.6955923,54.9951104,0.00211712351753573,1.6955923,0.495871376837691
29.9724165,-2.2549117,-118.4714756,0.1406236,-7.2e-06,7.0166246,-7.1274144,29.980883,-0.9107286,-2.1272637,-119.3732142,0.1167699,-0.0238538,5e-07,55.087469,0.00151731462041298,1.6899074,55.087469,0.00151731462041298,1.6899074,0.550341190855984
32.9696757,0.7127639,-118.05141,0.1406031,-6.6e-06,7.0113947,-7.1284206,32.9789733,-0.9822032,0.8504098,-119.0239205,0.116771,-0.0238321,3e-07,55.1793641,0.000913428666744111,1.6842767,55.1793641,0.000913428666744111,1.6842767,0.604720014203125
35.9669378,3.6804506,-117.6314023,0.1405843,-6e-06,7.0104469,-7.1290696,35.9770654,-1.0536165,3.8280848,-118.6746243,0.1167714,-0.0238128,0,55.2708012,0,1.6786979,55.2708012,0,1.6786979,0.659008608375945
38.9642027,6.6481478,-117.2114475,0.1405673,-5.4e-06,7.0150697,-7.1294125,38.9751597,-1.1249759,6.805762,-118.3253274,0.1167712,-0.023796,-2e-07,55.3617851,-0.000612985449891716,1.6731682,55.3617851,-0.000612985449891716,1.6731682,0.713207727586422
41.9614703,9.6158545,-116.79154,0.140552,-4.8e-06,7.0238478,-7.1295003,41.9732567,-1.1962886,9.7834419,-117.9760318,0.1167703,-0.0237817,-4e-07,55.4523209,-0.00122998395727863,1.6676853,55.4523209,-0.00122998395727863,1.6676853,0.767318111274824
44.9587407,12.5835699,-116.3716746,0.1405386,-4.2e-06,7.0346807,-7.1293856,44.9713565,-1.2675622,12.7611252,-117.6267395,0.1167687,-0.0237699,-7e-07,55.5424132,-0.00215947176485567,1.6622464,55.5424132,-0.00215947176485567,1.6622464,0.821340491950141
47.9560138,15.5512932,-115.9518459,0.140527,-3.6e-06,7.0455514,-7.129113,47.9694597,-1.3388044,15.7388124,-117.2774529,0.1167663,-0.0237607,-9e-07,55.6320666,-0.00278543415076815,1.6568494,55.6320666,-0.00278543415076815,1.6568494,0.875275587558743
50.9532894,18.5190236,-115.5320487,0.1405172,-3e-06,7.0545863,-7.1287431,50.9675665,-1.410023,18.7165043,-116.9281741,0.1167631,-0.0237541,-1.2e-06,55.7212855,-0.00372583398932701,1.6514916,55.7212855,-0.00372583398932701,1.6514916,0.929124112122582
53.9505675,21.4867603,-115.1122777,0.1405092,-2.4e-06,7.0606622,-7.1283221,53.9656774,-1.4812259,21.6942015,-116.578906,0.1167589,-0.0237503,-1.6e-06,55.8100741,-0.00498362299367599,1.6461706,55.8100741,-0.00498362299367599,1.6461706,0.982886764815924
56.947848,24.4545024,-114.6925275,0.1405029,-1.8e-06,7.0645372,-7.1278776,56.9637928,-1.5524217,24.6719048,-116.2296513,0.1167536,-0.0237493,-2e-06,55.8984364,-0.00624927038392969,1.6408843,55.8984364,-0.00624927038392969,1.6408843,1.03656423951016
59.9451309,27.4222491,-114.2727928,0.1404985,-1.2e-06,7.0673915,-7.1274439,59.9619129,-1.6236192,27.6496149,-115.8804135,0.1167471,-0.0237514,-2.4e-06,55.9863762,-0.00752273836801902,1.6356302,55.9863762,-0.00752273836801902,1.6356302,1.0901572176477
62.9424161,30.3899997,-113.8530684,0.1404958,-6e-07,7.0703613,-7.1270636,62.9600384,-1.6948276,30.6273328,-115.5311964,0.1167391,-0.0237567,-3e-06,56.0738974,-0.00943284590887718,1.6304063,56.0738974,-0.00943284590887718,1.6304063,1.14366637655311
65.9397035,33.3577532,-113.4333488,0.140495,0,7.0745886,-7.126794,65.9581695,-1.7660573,33.6050593,-115.1820048,0.1167293,-0.0237656,-3.6e-06,56.1610035,-0.0113546099308572,1.6252103,56.1610035,-0.0113546099308572,1.6252103,1.19709237935362
68.9369931,36.3255088,-113.0136288,0.1404959,6e-07,7.0812801,-7.1266545,68.9563067,-1.8373194,36.5827957,-114.8328446,0.1167173,-0.0237786,-4.5e-06,56.247698,-0.0142371158863464,1.6200402,56.247698,-0.0142371158863464,1.6200402,1.25043588747245
71.9342848,39.2932658,-112.5939031,0.1404986,1.2e-06,7.090765,-7.126652,71.9544506,-1.9086268,39.5605433,-114.4837229,0.1167025,-0.0237961,-5.5e-06,56.333984,-0.0174543476432174,1.6148938,56.333984,-0.0174543476432174,1.6148938,1.3036975518509
74.9315785,42.2610233,-112.1741663,0.1405031,1.8e-06,7.1019213,-7.1267617,74.9526016,-1.9799943,42.5383037,-114.1346491,0.1166841,-0.023819,-6.9e-06,56.4198648,-0.0219640878939469,1.6097691,56.4198648,-0.0219640878939469,1.6097691,1.3568780161702
77.9288741,45.2287805,-111.7544132,0.1405095,2.4e-06,7.1134827,-7.1263446,77.9507604,-2.0514396,45.516079,-113.7856355,0.1166609,-0.0238486,-8.8e-06,56.5053434,-0.0280971137282169,1.6046642,56.5053434,-0.0280971137282169,1.6046642,1.40997791927427
80.9261716,48.1965365,-111.3346383,0.1405176,3e-06,7.1238833,-7.1258581,80.9489277,-2.1229845,48.4938717,-113.436698,0.1166314,-0.0238862,-1.12e-05,56.5904226,-0.0358677304165218,1.5995771,56.5904226,-0.0358677304165218,1.5995771,1.46299789228852
83.9234709,51.1642906,-110.9148366,0.1405275,3.6e-06,7.1317688,-7.1253387,83.9471043,-2.1946557,51.4716853,-113.0878579,0.1165936,-0.0239338,-1.44e-05,56.6751053,-0.0462537728750317,1.594506,56.6751053,-0.0462537728750317,1.594506,1.51593856559148
86.920772,54.1320419,-110.4950025,0.1405392,4.2e-06,7.1369328,-7.1248706,86.9452912,-2.2664867,54.4495239,-112.7391431,0.116545,-0.0239942,-1.86e-05,56.7593941,-0.0599222960259435,1.5894491,56.7593941,-0.0599222960259435,1.5894491,1.56880055950938
89.9180747,57.0997896,-110.0751308,0.1405527,4.8e-06,7.1396908,-7.1242187,89.9434896,-2.3385201,57.427393,-112.3905902,0.1164822,-0.0240704,-2.4e-05,56.8432915,-0.0775478349252953,1.5844045,56.8432915,-0.0775478349252953,1.5844045,1.62158449432563
92.9153791,60.0675329,-109.6552161,0.1405679,5.4e-06,7.1408875,-7.1232724,92.9417011,-2.4108091,60.4052998,-112.0422465,0.1164012,-0.0241668,-3.09e-05,56.9267999,-0.100136410897808,1.5793706,56.9267999,-0.100136410897808,1.5793706,1.67429099162131
95.9126849,63.035271,-109.2352533,0.140585,6e-06,7.1412922,-7.1219964,95.9399274,-2.4834204,63.383253,-111.6941729,0.1162971,-0.024288,-3.95e-05,57.0099216,-0.128380180853107,1.5743457,57.0099216,-0.128380180853107,1.5743457,1.72692066509062
98.9099923,66.003003,-108.8152368,0.1406039,6.6e-06,7.141635,-7.1203984,98.9381708,-2.5564367,66.361264,-111.3464456,0.1161642,-0.0244396,-5.01e-05,57.092659,-0.163304542755683,1.5693283,57.092659,-0.163304542755683,1.5693283,1.77947413820585
101.907301,68.9707281,-108.3951616,0.1406246,7.2e-06,7.1426976,-7.1184782,101.936434,-2.6299583,69.3393463,-110.9991588,0.1159966,-0.024628,-6.28e-05,57.175014,-0.205292083786532,1.5643166,57.175014,-0.205292083786532,1.5643166,1.83195202869551
104.9046111,71.9384455,-107.9750221,0.140647,7.8e-06,7.1454271,-7.1161951,104.9347203,-2.7041047,72.3175163,-110.6524252,0.1157877,-0.0248593,-7.75e-05,57.2569888,-0.254073114399358,1.5593093,57.2569888,-0.254073114399358,1.5593093,1.8843549619115
107.9019224,74.9061544,-107.5548132,0.1406713,8.4e-06,7.1501157,-7.1135048,107.9330334,-2.7790141,75.2957929,-110.3063766,0.1155318,-0.0251394,-9.4e-05,57.3385853,-0.309045056235305,1.5543048,57.3385853,-0.309045056235305,1.5543048,1.93668356312539
