Sref,Xref,Yref,Aref,Kref,Lmax,Lmin,S,L,X,Y,A,dA,K,V,AN,AT,Vs,ANs,ATs,TIME
0,-30.7830015,-121.8751446,0.1404648,-6.1e-06,7.2518077,-0.0113406,0,4.3658308,-31.3943139,-117.5523243,0.1354114,-0.0050535,-3e-07,52.4421424,-0.000825053489850563,2.8548971,52.4421424,-0.000825053489850563,2.8548971,0
2.9976491,-27.8148732,-121.4554631,0.1404466,-9e-06,7.2566974,-0.0061976,2.9978531,4.3506813,-28.4239035,-117.1476203,0.1354106,-0.005036,-4e-07,52.6050893,-0.00110691816810439,2.7935578,52.6050893,-0.00110691816810439,2.7935578,0.0570762896264867
5.9952923,-24.8467356,-121.035891,0.1404108,-1.17e-05,7.2417555,-0.0006079,5.9956921,4.3356367,-25.4535064,-116.7429229,0.1354092,-0.0050016,-4e-07,52.7640474,-0.00111361787921178,2.7681912,52.7640474,-0.00111361787921178,2.7681912,0.113977942902575
8.9929302,-21.8785889,-120.6164234,0.1403766,-1.11e-05,7.2496457,-0.0010248,8.9935178,4.3206933,-22.4831221,-116.338231,0.1354079,-0.0049687,-4e-07,52.9210904,-0.00112025672364999,2.7430468,52.9210904,-0.00112025672364999,2.7430468,0.170709204806543
11.9905634,-18.9104331,-120.1970556,0.140344,-1.06e-05,7.212594,-0.0258142,11.9913306,4.3058464,-19.51275,-115.9335444,0.1354068,-0.0049373,-4e-07,53.0762479,-0.0011268352364569,2.718128,53.0762479,-0.0011268352364569,2.718128,0.227273131037658
14.9881923,-15.9422684,-119.777783,0.140313,-1.01e-05,7.2178659,-0.0155044,14.9891313,4.2910915,-16.5423895,-115.528863,0.1354056,-0.0049074,-4e-07,53.2295491,-0.00113335395895572,2.6934383,53.2295491,-0.00113335395895572,2.6934383,0.283672700975748
17.9858176,-12.974095,-119.3586006,0.1402835,-9.6e-06,7.2336055,-0.0156963,17.9869203,4.2764239,-13.5720399,-115.1241865,0.1354045,-0.0048791,-4e-07,53.381023,-0.00113981344661061,2.6689807,53.381023,-0.00113981344661061,2.6689807,0.339910822498267
20.9834397,-10.0059129,-118.9395039,0.1402556,-9e-06,7.2078982,-0.0283004,20.9846984,4.2618389,-10.6017009,-114.7195149,0.1354034,-0.0048523,-4e-07,53.5306981,-0.00114621425562934,2.6447576,53.5306981,-0.00114621425562934,2.6447576,0.39599032359312
23.9810591,-7.0377223,-118.520488,0.1402293,-8.5e-06,7.2068686,-0.0292078,23.9824661,4.2473319,-7.6313716,-114.3148479,0.1354022,-0.0048271,-4e-07,53.6786026,-0.00115255695083549,2.6207714,53.6786026,-0.00115255695083549,2.6207714,0.451913974591631
26.9786765,-4.0695234,-118.1015482,0.1402046,-8e-06,7.2389391,-0.0150296,26.980224,4.2328981,-4.6610516,-113.9101856,0.1354011,-0.0048035,-4e-07,53.8247644,-0.0011588421050862,2.5970238,53.8247644,-0.0011588421050862,2.5970238,0.50768446797059
29.9762923,-1.1013163,-117.6826798,0.1401814,-7.5e-06,7.2456962,-0.0103828,29.9779728,4.2185328,-1.6907402,-113.5055279,0.1354,-0.0047814,-4e-07,53.9692107,-0.0011650702814324,2.5735164,53.9692107,-0.0011650702814324,2.5735164,0.563304436781157
32.9739071,1.866899,-117.2638779,0.1401598,-6.9e-06,7.2271695,-0.0296362,32.9757131,4.2042311,1.2795632,-113.1008747,0.1353988,-0.004761,-4e-07,54.1119689,-0.00117124207129383,2.5502504,54.1119689,-0.00117124207129383,2.5502504,0.618776448529913
35.9715214,4.8351222,-116.845138,0.1401398,-6.4e-06,7.2162095,-0.0289799,35.9734453,4.1899884,4.2498592,-112.6962261,0.1353976,-0.0047422,-4e-07,54.2530655,-0.00117735804645892,2.527227,54.2530655,-0.00117735804645892,2.527227,0.674103008350393
38.9691357,7.8033532,-116.4264551,0.1401214,-5.9e-06,7.2376963,-0.0154808,38.9711702,4.1757997,7.2201484,-112.2915821,0.1353964,-0.004725,-4e-07,54.3925268,-0.00118341878867549,2.504447,54.3925268,-0.00118341878867549,2.504447,0.729286561717566
41.9667506,10.7715919,-116.0078247,0.1401045,-5.4e-06,7.2484544,-0.0140252,41.9688884,4.1616601,10.1904314,-111.8869428,0.1353951,-0.0047094,-4e-07,54.5303789,-0.00118942488919103,2.4819109,54.5303789,-0.00118942488919103,2.4819109,0.784329495496372
44.9643666,13.7398382,-115.5892418,0.1400892,-4.8e-06,7.2423611,-0.0206425,44.9666004,4.1475647,13.1607089,-111.4823083,0.1353937,-0.0046955,-5e-07,54.6666474,-0.00149422116897796,2.4596185,54.6666474,-0.00149422116897796,2.4596185,0.839234141652348
47.9619842,16.7080919,-115.1707018,0.1400755,-4.3e-06,7.2686969,-0.0043558,47.9643068,4.1335086,16.1309814,-111.0776789,0.1353922,-0.0046833,-5e-07,54.8013573,-0.00150159438096113,2.43757,54.8013573,-0.00150159438096113,2.43757,0.894002773102554
50.959604,19.6763529,-114.7522,0.1400633,-3.8e-06,7.2476463,-0.0135366,50.9620083,4.1194867,19.1012497,-110.6730546,0.1353906,-0.0046727,-6e-07,54.9345336,-0.00181068178910972,2.4157658,54.9345336,-0.00181068178910972,2.4157658,0.948637615503889
53.9572265,22.644621,-114.3337316,0.1400527,-3.3e-06,7.2661981,-0.0089072,53.9597055,4.1054939,22.0715143,-110.2684359,0.1353889,-0.0046639,-6e-07,55.0662006,-0.00181937186911166,2.3942055,55.0662006,-0.00181937186911166,2.3942055,1.00314083591117
56.9548522,25.6128962,-113.9152918,0.1400437,-2.7e-06,7.2580002,-0.0017298,56.9573989,4.0915251,25.0417759,-109.863823,0.135387,-0.0046568,-7e-07,55.1963824,-0.00213264844103292,2.3728887,55.1963824,-0.00213264844103292,2.3728887,1.05751455532834
59.9524816,28.5811783,-113.4968759,0.1400363,-2.2e-06,7.2500455,-0.0124769,59.9550891,4.077575,28.0120352,-109.4592164,0.1353849,-0.0046514,-7e-07,55.3251028,-0.0021426068998814,2.3518143,55.3251028,-0.0021426068998814,2.3518143,1.11176084491474
62.9501153,31.5494671,-113.0784791,0.1400305,-1.7e-06,7.2695613,-0.0042152,62.9527768,4.0636381,30.9822928,-109.0546168,0.1353825,-0.0046479,-8e-07,55.4523851,-0.00245997361062296,2.3309816,55.4523851,-0.00245997361062296,2.3309816,1.1658817258522
65.9477538,34.5177625,-112.6600968,0.1400262,-1.2e-06,7.261352,-0.0037549,65.9504625,4.049709,33.9525496,-108.6500247,0.1353799,-0.0046463,-9e-07,55.5782522,-0.00278004790584612,2.3103896,55.5782522,-0.00278004790584612,2.3103896,1.21987917888931
68.9453977,37.4860644,-112.2417241,0.1400235,-6e-07,7.2673935,0.0015797,68.9481468,4.035782,36.922806,-108.2454412,0.1353769,-0.0046466,-1.1e-06,55.7027266,-0.00341307312574178,2.2900375,55.7027266,-0.00341307312574178,2.2900375,1.27375512942308
