Sref,Xref,Yref,Aref,Kref,Lmax,Lmin,S,L,X,Y,A,dA,K,V,AN,AT,Vs,ANs,ATs,TIME
0,-30.7830015,-121.8751446,0.1404648,-6.1e-06,-0.0113406,-7.274489,0,-4.5650248,-30.1437976,-126.3951966,0.1363178,-0.0041471,-1e-07,52.2545527,-0.000273053827787708,2.8951675,52.2545527,-0.000273053827787708,2.8951675,0
2.9976491,-27.8148732,-121.4554631,0.1404466,-9e-06,-0.0061976,-7.2690926,2.9975072,-4.5774556,-27.1740979,-125.9878473,0.1363174,-0.0041291,-2e-07,52.4203667,-0.000549578968992494,2.8229213,52.4203667,-0.000549578968992494,2.8229213,0.05727269292306
5.9952923,-24.8467356,-121.035891,0.1404108,-1.17e-05,-0.0006079,-7.2429713,5.9950147,-4.589779,-24.2043977,-125.5805002,0.1363168,-0.004094,-2e-07,52.5815396,-0.000552963661341274,2.7973081,52.5815396,-0.000552963661341274,2.7973081,0.114367036440941
8.9929302,-21.8785889,-120.6164234,0.1403766,-1.11e-05,-0.0010248,-7.2516954,8.9925229,-4.6019992,-21.2346965,-125.1731546,0.1363163,-0.0040604,-2e-07,52.7407642,-0.00055631764168,2.7719121,52.7407642,-0.00055631764168,2.7719121,0.171287710085435
11.9905634,-18.9104331,-120.1970556,0.140344,-1.06e-05,-0.0258142,-7.2642223,11.9900326,-4.6141208,-18.2649937,-124.7658103,0.1363157,-0.0040283,-2e-07,52.8980706,-0.000559641174640517,2.7467373,52.8980706,-0.000559641174640517,2.7467373,0.228037856094003
14.9881923,-15.9422684,-119.777783,0.140313,-1.01e-05,-0.0155044,-7.2488748,14.9875442,-4.6261488,-15.2952887,-124.3584674,0.1363151,-0.0039978,-2e-07,53.0534884,-0.000562934526281787,2.7217876,53.0534884,-0.000562934526281787,2.7217876,0.284620537220524
17.9858176,-12.974095,-119.3586006,0.1402835,-9.6e-06,-0.0156963,-7.264998,17.9850585,-4.6380879,-12.3255808,-123.951126,0.1363145,-0.003969,-2e-07,53.2070468,-0.000566197965835478,2.6970664,53.2070468,-0.000566197965835478,2.6970664,0.341038741824774
20.9834397,-10.0059129,-118.9395039,0.1402556,-9e-06,-0.0283004,-7.2644989,20.982576,-4.649943,-9.3558695,-123.543786,0.1363139,-0.0039418,-2e-07,53.3587747,-0.000569431767497072,2.6725766,53.3587747,-0.000569431767497072,2.6725766,0.397295381038983
23.9810591,-7.0377223,-118.520488,0.1402293,-8.5e-06,-0.0292078,-7.2652842,23.9800972,-4.6617189,-6.3861542,-123.1364475,0.1363132,-0.0039162,-2e-07,53.5087006,-0.000572636207980088,2.6483209,53.5087006,-0.000572636207980088,2.6483209,0.453393295525824
26.9786765,-4.0695234,-118.1015482,0.1402046,-8e-06,-0.0150296,-7.2689983,26.9776229,-4.6734205,-3.4164342,-122.7291106,0.1363124,-0.0038922,-3e-07,53.6568529,-0.000863717358939671,2.6243014,53.6568529,-0.000863717358939671,2.6243014,0.509335257965784
