Sref,Xref,Yref,Aref,Kref,Lmax,Lmin,S,L,X,Y,A,dA,K,V,AN,AT,Vs,ANs,ATs,TIME
0,-30.7830015,-121.8751446,0.1404648,-6.1e-06,-0.0113406,-7.274489,0,-4.2737398,-30.1845839,-126.1067812,0.1357693,-0.0046956,-2e-07,56.7942055,-0.000645116355675246,3.1238224,56.7942055,-0.000645116355675246,3.1238224,0
2.9976491,-27.8148732,-121.4554631,0.1404466,-9e-06,-0.0061976,-7.2690926,2.9975253,-4.2878149,-27.2146432,-125.7010586,0.1357686,-0.004678,-3e-07,56.9588382,-0.000973292774728134,3.0505111,56.9588382,-0.000973292774728134,3.0505111,0.0527023332917247
5.9952923,-24.8467356,-121.035891,0.1404108,-1.17e-05,-0.0006079,-7.2429713,5.9950503,-4.3017844,-24.2447024,-125.2953399,0.1357675,-0.0046433,-3e-07,57.1191493,-0.000978779165026707,3.0273315,57.1191493,-0.000978779165026707,3.0273315,0.105254539863921
8.9929302,-21.8785889,-120.6164234,0.1403766,-1.11e-05,-0.0010248,-7.2516954,8.9925756,-4.3156518,-21.274761,-124.8896239,0.1357667,-0.00461,-2e-07,57.2777987,-0.000656149244783544,3.0041905,57.2777987,-0.000656149244783544,3.0041905,0.157660224869639
11.9905634,-18.9104331,-120.1970556,0.140344,-1.06e-05,-0.0258142,-7.2642223,11.9901016,-4.3294212,-18.3048185,-124.4839099,0.1357661,-0.0045779,-2e-07,57.4348022,-0.000659751300750625,2.9810946,57.4348022,-0.000659751300750625,2.9810946,0.209921720240014
14.9881923,-15.9422684,-119.777783,0.140313,-1.01e-05,-0.0155044,-7.2488748,14.9876292,-4.3430968,-15.3348743,-124.0781971,0.1357657,-0.0045473,-1e-07,57.5901756,-0.000331662832563884,2.9580498,57.5901756,-0.000331662832563884,2.9580498,0.262041313909115
17.9858176,-12.974095,-119.3586006,0.1402835,-9.6e-06,-0.0156963,-7.264998,17.9851588,-4.3566826,-12.3649279,-123.6724851,0.1357654,-0.0045181,0,57.7439348,0,2.9350631,57.7439348,0,2.9350631,0.314021246184955
20.9834397,-10.0059129,-118.9395039,0.1402556,-9e-06,-0.0283004,-7.2644989,20.982691,-4.3701829,-9.3949789,-123.2667731,0.1357654,-0.0044902,0,57.8960957,0,2.9121401,57.8960957,0,2.9121401,0.365863712620796
23.9810591,-7.0377223,-118.520488,0.1402293,-8.5e-06,-0.0292078,-7.2652842,23.9802265,-4.3836018,-6.4250266,-122.8610604,0.1357656,-0.0044638,1e-07,58.0466742,0.000336941638568095,2.8892864,58.0466742,0.000336941638568095,2.8892864,0.417570870676117
26.9786765,-4.0695234,-118.1015482,0.1402046,-8e-06,-0.0150296,-7.2689983,26.9777659,-4.3969435,-3.4550706,-122.4553465,0.1357659,-0.0044387,2e-07,58.1956862,0.000677347578457774,2.866508,58.1956862,0.000677347578457774,2.866508,0.469144830157876
29.9762923,-1.1013163,-117.6826798,0.1401814,-7.5e-06,-0.0103828,-7.2664619,29.9753097,-4.410212,-0.4851104,-122.0496306,0.1357665,-0.0044149,2e-07,58.3431475,0.000680784572041351,2.843809,58.3431475,0.000680784572041351,2.843809,0.520587662208745
32.9739071,1.866899,-117.2638779,0.1401598,-6.9e-06,-0.0296362,-7.2864365,32.9728586,-4.4234113,2.4848545,-121.643912,0.1357673,-0.0043925,3e-07,58.4890739,0.0010262915297039,2.8211951,58.4890739,0.0010262915297039,2.8211951,0.57190139759769
35.9715214,4.8351222,-116.845138,0.1401398,-6.4e-06,-0.0289799,-7.2741692,35.9704131,-4.4365456,5.4548246,-121.23819,0.1357683,-0.0043715,4e-07,58.6334814,0.00137515405643366,2.7986707,58.6334814,0.00137515405643366,2.7986707,0.623088027731799
38.9691357,7.8033532,-116.4264551,0.1401214,-5.9e-06,-0.0154808,-7.2686578,38.9679738,-4.4496188,8.4248004,-120.8324636,0.1357696,-0.0043517,5e-07,58.7763857,0.00172733175797758,2.7762403,58.7763857,0.00172733175797758,2.7762403,0.67414950623244
41.9667506,10.7715919,-116.0078247,0.1401045,-5.4e-06,-0.0140252,-7.2765048,41.9655414,-4.4626348,11.3947825,-120.426732,0.1357712,-0.0043333,6e-07,58.9178025,0.0020827844708574,2.7539078,58.9178025,0.0020827844708574,2.7539078,0.725087750406573
44.9643666,13.7398382,-115.5892418,0.1400892,-4.8e-06,-0.0206425,-7.2836461,44.9631163,-4.4755973,14.3647711,-120.0209943,0.1357731,-0.0043161,7e-07,59.0577475,0.00244147227784163,2.731677,59.0577475,0.00244147227784163,2.731677,0.775904634312573
47.9619842,16.7080919,-115.1707018,0.1400755,-4.3e-06,-0.0043558,-7.2774084,47.9606993,-4.4885103,17.3347669,-119.6152494,0.1357754,-0.0043001,8e-07,59.1962363,0.00280335551366835,2.7095525,59.1962363,0.00280335551366835,2.7095525,0.826602004938527
50.959604,19.6763529,-114.7522,0.1400633,-3.8e-06,-0.0135366,-7.2747195,50.9582909,-4.5013772,20.3047701,-119.2094961,0.135778,-0.0042853,1e-06,59.3332846,0.0035204386614246,2.6875374,59.3332846,0.0035204386614246,2.6875374,0.877181665912411
53.9572265,22.644621,-114.3337316,0.1400527,-3.3e-06,-0.0089072,-7.2840121,53.9558916,-4.5142015,23.2747814,-118.8037331,0.1357811,-0.0042717,1.1e-06,59.4689077,0.00389020608133423,2.6656345,59.4689077,0.00389020608133423,2.6656345,0.927645395102586
56.9548522,25.6128962,-113.9152918,0.1400437,-2.7e-06,-0.0017298,-7.2614599,56.9535022,-4.5269866,26.2448009,-118.3979589,0.1357847,-0.0042591,1.3e-06,59.6031212,0.00461829167381646,2.6438468,59.6031212,0.00461829167381646,2.6438468,0.977994927196919
59.9524816,28.5811783,-113.4968759,0.1400363,-2.2e-06,-0.0124769,-7.2749992,59.951123,-4.5397356,29.2148292,-117.9921719,0.1357888,-0.0042475,1.5e-06,59.7359402,0.00535257382736696,2.6221777,59.7359402,0.00535257382736696,2.6221777,1.02823197258441
62.9501153,31.5494671,-113.0784791,0.1400305,-1.7e-06,-0.0042152,-7.2779916,62.9487548,-4.5524515,32.1848664,-117.5863702,0.1357936,-0.0042369,1.7e-06,59.8673801,0.00609297544006439,2.6006301,59.8673801,0.00609297544006439,2.6006301,1.07835820189892
65.9477538,34.5177625,-112.6600968,0.1400262,-1.2e-06,-0.0037549,-7.2688619,65.9463981,-4.5651367,35.154913,-117.1805516,0.1357991,-0.004227,2e-06,59.997456,0.00719938945294387,2.5792066,59.997456,0.00719938945294387,2.5792066,1.12837526159602
68.9453977,37.4860644,-112.2417241,0.1400235,-6e-07,0.0015797,-7.2642338,68.9440536,-4.5777937,38.1249692,-116.7747138,0.1358056,-0.0042179,2.3e-06,60.1261829,0.00831486310128578,2.5579093,60.1261829,0.00831486310128578,2.5579093,1.17828476267013
71.9430474,40.4543727,-111.8233563,0.1400223,-1e-07,-0.0155986,-7.2846334,71.9417216,-4.5904243,41.0950351,-116.3688538,0.135813,-0.0042094,2.7e-06,60.2535758,0.00980233217105313,2.5367405,60.2535758,0.00980233217105313,2.5367405,1.22808828597069
74.9407036,43.4226871,-111.4049887,0.1400228,4e-07,-0.0025089,-7.2643763,74.939403,-4.6030302,44.0651109,-115.9629683,0.1358216,-0.0042012,3.1e-06,60.3796495,0.0113016764286028,2.5157022,60.3796495,0.0113016764286028,2.5157022,1.27778738524689
77.9383666,46.3910077,-110.9866165,0.1400248,9e-07,0.0077051,-7.2479416,77.9370981,-4.6156121,47.0351967,-115.5570536,0.1358316,-0.0041932,3.6e-06,60.5044188,0.0131788248995729,2.4947962,60.5044188,0.0131788248995729,2.4947962,1.32738358471247
80.9360371,49.3593342,-110.568235,0.1400284,1.5e-06,-0.0040329,-7.2690948,80.9348077,-4.6281703,50.0052924,-115.1511051,0.1358432,-0.0041852,4.2e-06,60.6278982,0.0154381165686282,2.4740245,60.6278982,0.0154381165686282,2.4740245,1.37687837919612
83.9337156,52.3276665,-110.1498394,0.1400336,2e-06,-0.0040445,-7.2716895,83.9325322,-4.6407043,52.9753978,-114.7451175,0.1358567,-0.0041769,4.9e-06,60.7501023,0.0180838171543563,2.4533886,60.7501023,0.0180838171543563,2.4533886,1.42627323594212
86.9314027,55.2960045,-109.731425,0.1400403,2.5e-06,-0.0039998,-7.2715455,86.9302722,-4.6532125,55.9455127,-114.3390845,0.1358725,-0.0041678,5.7e-06,60.8710454,0.0211201197581065,2.4328901,60.8710454,0.0211201197581065,2.4328901,1.47556959749599
89.9290987,58.2643481,-109.3129871,0.1400486,3e-06,0.0222555,-7.2463231,89.9280284,-4.6656921,58.9156366,-113.9329985,0.1358911,-0.0041575,6.8e-06,60.9907419,0.0252951200630844,2.4125303,60.9907419,0.0252951200630844,2.4125303,1.52476887804793
92.9268044,61.2326971,-108.8945208,0.1400585,3.6e-06,0.0059827,-7.2639158,92.9258011,-4.6781388,61.8857688,-113.5268507,0.135913,-0.0041455,8e-06,61.1092057,0.0298746801702793,2.3923105,61.1092057,0.0298746801702793,2.3923105,1.57387246548789
95.9245201,64.2010513,-108.4760215,0.1400699,4.1e-06,0.0133469,-7.243985,95.923591,-4.6905465,64.8559084,-113.12063,0.135939,-0.004131,9.5e-06,61.2264511,0.0356124439858566,2.372232,61.2264511,0.0356124439858566,2.372232,1.62288172434914
98.9222465,67.1694107,-108.0574844,0.140083,4.6e-06,0.0115388,-7.2633136,98.9213987,-4.7029065,67.8260541,-112.7143233,0.1359698,-0.0041132,1.13e-05,61.3424918,0.0425207846926337,2.3522957,61.3424918,0.0425207846926337,2.3522957,1.6717979924283
101.9199841,70.1377752,-107.6389047,0.1400976,5.1e-06,0.0106349,-7.267889,101.9192245,-4.7152073,70.7962043,-112.3079144,0.1360068,-0.0040908,1.36e-05,61.4573417,0.0513672659440956,2.3325025,61.4573417,0.0513672659440956,2.3325025,1.72062258544115
104.9177334,73.1061444,-107.2202778,0.1401138,5.7e-06,0.0104693,-7.24515,104.9170692,-4.7274335,73.7663566,-111.9013832,0.1360514,-0.0040624,1.65e-05,61.5710144,0.0625513319350426,2.3128531,61.5710144,0.0625513319350426,2.3128531,1.76935679118647
107.9154949,76.0745185,-106.8015988,0.1401315,6.2e-06,0.0090038,-7.2612825,107.914933,-4.7395643,76.736508,-111.4947043,0.1361057,-0.0040258,2.02e-05,61.6835233,0.0768581123433732,2.293348,61.6835233,0.0768581123433732,2.293348,1.81800187649453
110.9132691,79.0428971,-106.3828631,0.1401508,6.7e-06,0.0062194,-7.27566,110.9128165,-4.7515713,79.7066547,-111.0878451,0.1361726,-0.0039782,2.5e-05,61.7948819,0.0954651857258737,2.273988,61.7948819,0.0954651857258737,2.273988,1.8665590886367
113.9110567,82.0112803,-105.9640658,0.1401717,7.2e-06,0.0021546,-7.2723413,113.9107201,-4.7634169,82.6767911,-110.6807633,0.1362554,-0.0039164,3.08e-05,61.9051034,0.118033048270513,2.2547741,61.9051034,0.118033048270513,2.2547741,1.91502964527652
116.908858,84.9796677,-105.5452022,0.1401942,7.8e-06,0.0109126,-7.2550607,116.9086442,-4.775053,85.6469106,-110.2734067,0.1363572,-0.003837,3.76e-05,62.0142008,0.144600617392438,2.2357063,62.0142008,0.144600617392438,2.2357063,1.96341474839084
