Sref,Xref,Yref,Aref,Kref,Lmax,Lmin,S,L,X,Y,A,dA,K,V,AN,AT,Vs,ANs,ATs,TIME
0,-30.0524239,-122.4318861,0.1421602,-9.6e-06,0.0030008,-7.149672,0,-2.6407069,-29.6782072,-125.0459433,0.1374538,-0.0047065,1.1e-06,50.7874655,0.00283730331710506,3.1433363,50.7874655,0.00283730331710506,3.1433363,0
2.9990126,-27.083662,-122.00698,0.1421315,-1.43e-05,-0.0017042,-7.147413,2.9988945,-2.6548211,-26.707598,-124.6350307,0.137457,-0.0046745,1.6e-06,50.972735,0.00415715154140836,3.0855947,50.972735,0.00415715154140836,3.0855947,0.0589404202999092
5.9980202,-24.1148808,-121.5822452,0.1420747,-1.87e-05,-0.0029679,-7.1440305,5.9977856,-2.6687437,-23.7369948,-124.2240996,0.1374634,-0.0046113,2.1e-06,51.1539485,0.00549512553899537,3.072544,51.1539485,0.00549512553899537,3.072544,0.117669265346253
8.997023,-21.1460807,-121.1576778,0.1420192,-1.83e-05,-0.00212,-7.140687,8.9966738,-2.6824787,-20.7663971,-123.81315,0.1374695,-0.0045497,2e-06,51.3337596,0.00527030974934118,3.0589742,51.3337596,0.00527030974934118,3.0589742,0.176191174514351
11.9960212,-18.177262,-120.7332738,0.1419651,-1.78e-05,-0.0004264,-7.1379217,11.9955592,-2.6960317,-17.7958045,-123.4021831,0.1374752,-0.0044899,1.8e-06,51.5121529,0.00477630341350736,3.0448939,51.5121529,0.00477630341350736,3.0448939,0.234509204236534
14.9950151,-15.2084249,-120.3090291,0.1419123,-1.74e-05,0.0008286,-7.1371397,14.9944424,-2.7094079,-14.8252165,-122.9912003,0.1374804,-0.0044319,1.7e-06,51.6891136,0.0045419995900813,3.0303025,51.6891136,0.0045419995900813,3.0303025,0.292626380799814
17.994005,-12.2395699,-119.8849397,0.1418608,-1.69e-05,0.0015382,-7.1380221,17.9933236,-2.7226128,-11.8546325,-122.5802029,0.1374852,-0.0043756,1.5e-06,51.8646266,0.00403490923853614,3.0152097,51.8646266,0.00403490923853614,3.0152097,0.350545701651288
20.9929911,-9.2706972,-119.4610016,0.1418107,-1.65e-05,0.0020906,-7.1386303,20.9922031,-2.7356516,-8.8840519,-122.1691921,0.1374897,-0.0043211,1.4e-06,52.0386779,0.00379123359661193,2.999628,52.0386779,0.00379123359661193,2.999628,0.408270133709055
23.9919737,-6.3018071,-119.0372108,0.141762,-1.6e-05,0.0021096,-7.1406721,23.9910814,-2.7485295,-5.9134745,-121.7581687,0.1374938,-0.0042682,1.3e-06,52.2112539,0.00354381954395335,2.9835703,52.2112539,0.00354381954395335,2.9835703,0.465802606410564
26.9909531,-3.3329,-118.6135633,0.1417146,-1.56e-05,0.0014813,-7.1441363,26.9899586,-2.7612513,-2.9428996,-121.347134,0.1374975,-0.004217,1.2e-06,52.3823421,0.00329269171665772,2.967054,52.3823421,0.00329269171665772,2.967054,0.523146026367004
29.9899295,-0.3639762,-118.190055,0.1416685,-1.51e-05,0.0002576,-7.14874,29.9888353,-2.7738222,0.0276732,-120.9360885,0.137501,-0.0041675,1.1e-06,52.5519307,0.00303787596232736,2.9500938,52.5519307,0.00303787596232736,2.9500938,0.580303265278355
32.9889031,2.604964,-117.7666819,0.1416237,-1.47e-05,-0.0012728,-7.1540491,32.9877116,-2.7862469,2.9982443,-120.5250333,0.1375042,-0.0041196,1e-06,52.720009,0.00277939934896008,2.9327158,52.720009,0.00277939934896008,2.9327158,0.637277161729038
35.9878743,5.5739203,-117.3434401,0.1415803,-1.42e-05,-0.0029054,-7.1598502,35.9865879,-2.7985303,5.9688142,-120.113969,0.1375071,-0.0040732,9e-07,52.8865678,0.0025172901482976,2.9149392,52.8865678,0.0025172901482976,2.9149392,0.69407052527437
38.9868433,8.5428924,-116.9203254,0.1415383,-1.38e-05,-0.0046115,-7.1660376,38.9854645,-2.810677,8.9393832,-119.7028962,0.1375098,-0.0040284,9e-07,53.0515989,0.00253302493126183,2.8967899,53.0515989,0.00253302493126183,2.8967899,0.750686128914339
41.9858103,11.5118799,-116.4973339,0.1414976,-1.34e-05,-0.0062936,-7.1725091,41.9843419,-2.8226918,11.9099518,-119.2918156,0.1375124,-0.0039852,8e-07,53.2150954,0.00226547710274488,2.878295,53.2150954,0.00226547710274488,2.878295,0.807126715889323
44.9847756,14.4808825,-116.0744616,0.1414582,-1.29e-05,-0.007792,-7.1790016,44.9832201,-2.8345793,14.8805204,-118.8807276,0.1375147,-0.0039435,8e-07,53.3770521,0.00227928775270889,2.8594826,53.3770521,0.00227928775270889,2.8594826,0.863394994290956
47.9837394,17.4499,-115.6517043,0.1414202,-1.25e-05,-0.0090792,-7.185414,47.9820997,-2.8463438,17.8510893,-118.4696327,0.1375169,-0.0039033,7e-07,53.5374652,0.00200638212602885,2.840381,53.5374652,0.00200638212602885,2.840381,0.91949363522848
50.9827021,20.4189319,-115.2290582,0.1413835,-1.2e-05,-0.0101748,-7.19166,50.9809809,-2.85799,20.8216589,-118.0585313,0.137519,-0.0038645,7e-07,53.6963323,0.00201830727173042,2.8210246,53.6963323,0.00201830727173042,2.8210246,0.975425276424857
53.9816638,23.387978,-114.8065192,0.1413481,-1.16e-05,-0.0111906,-7.1976635,53.979864,-2.8695222,23.7922296,-117.6474237,0.1375209,-0.0038272,6e-07,53.8536531,0.00174012957132908,2.8014409,53.8536531,0.00174012957132908,2.8014409,1.03119251937411
56.9806249,26.3570379,-114.3840833,0.1413141,-1.11e-05,-0.0125242,-7.2034594,56.9787493,-2.8809448,26.7628018,-117.2363102,0.1375227,-0.0037914,6e-07,54.0094284,0.00175021101365684,2.781667,54.0094284,0.00175021101365684,2.781667,1.08679792829527
59.9795855,29.3261114,-113.9617464,0.1412814,-1.07e-05,-0.0143122,-7.2091567,59.9776371,-2.8922619,29.7333757,-116.825191,0.1375245,-0.0037569,6e-07,54.1636609,0.00176022129725411,2.7617352,54.1636609,0.00176022129725411,2.7617352,1.1422440260617
62.978546,32.2951981,-113.5395046,0.1412501,-1.02e-05,-0.016176,-7.2148989,62.9765278,-2.9034779,32.7039517,-116.4140662,0.1375263,-0.0037239,6e-07,54.3163553,0.0017701598718455,2.7416813,54.3163553,0.0017701598718455,2.7416813,1.19753330044508
65.9775065,35.2642977,-113.1173537,0.1412201,-9.8e-06,-0.0179371,-7.220635,65.9754216,-2.9145969,35.6745301,-116.0029359,0.137528,-0.0036922,6e-07,54.4675176,0.00178002628410379,2.7215406,54.4675176,0.00178002628410379,2.7215406,1.2526681975912
68.9764674,38.2334098,-112.6952899,0.1411915,-9.3e-06,-0.0192214,-7.226199,68.9743189,-2.9256227,38.6451112,-115.5918,0.1375297,-0.0036618,6e-07,54.6171559,0.00178982023116294,2.701349,54.6171559,0.00178982023116294,2.701349,1.30765112356542
71.9754288,41.2025343,-112.2733091,0.1411642,-8.9e-06,-0.0192594,-7.2277142,71.9732199,-2.9365595,41.6156953,-115.1806584,0.1375315,-0.0036327,6e-07,54.7652798,0.00179954152294337,2.681143,54.7652798,0.00179954152294337,2.681143,1.36248444297211
74.9743911,44.1716706,-111.8514072,0.1411382,-8.4e-06,-0.0186517,-7.2285992,74.972125,-2.947411,44.5862827,-114.7695108,0.1375334,-0.0036049,7e-07,54.9119009,0.00211072180231599,2.6609588,54.9119009,0.00211072180231599,2.6609588,1.41717047865245
77.9733545,47.1408186,-111.4295803,0.1411136,-8e-06,-0.0177465,-7.2290768,77.9710344,-2.9581808,47.5568735,-114.3583569,0.1375354,-0.0035782,7e-07,55.0570323,0.00212189376397827,2.6408316,55.0570323,0.00212189376397827,2.6408316,1.47171150679376
80.9723193,50.1099779,-111.0078243,0.1410903,-7.5e-06,-0.01658,-7.2290726,80.9699485,-2.9688725,50.5274682,-113.947196,0.1375376,-0.0035527,8e-07,55.200689,0.00243769285285978,2.6208,55.200689,0.00243769285285978,2.6208,1.5261097680256
83.9712856,53.0791482,-110.5861352,0.1410684,-7.1e-06,-0.0150673,-7.2283871,83.9688675,-2.9794893,53.4980667,-113.5360274,0.1375402,-0.0035282,9e-07,55.3428875,0.00275655167715389,2.6008994,55.3428875,0.00275655167715389,2.6008994,1.58036744771758
86.9702538,56.0483292,-110.164509,0.1410478,-6.6e-06,-0.0131711,-7.2269771,86.9677918,-2.9900343,56.4686693,-113.1248501,0.1375431,-0.0035047,1.1e-06,55.4836462,0.00338627849521145,2.581166,55.4836462,0.00338627849521145,2.581166,1.6344866940183
89.969224,59.0175205,-109.7429417,0.1410286,-6.2e-06,-0.0107765,-7.224612,89.9667216,-3.0005101,59.4392761,-112.7136627,0.1375465,-0.0034821,1.2e-06,55.6229851,0.00371269976572179,2.5616359,55.6229851,0.00371269976572179,2.5616359,1.68846960659584
92.9681966,61.9867218,-109.3214292,0.1410107,-5.7e-06,-0.0079356,-7.2213749,92.9656572,-3.0109192,62.4098872,-112.3024636,0.1375505,-0.0034602,1.5e-06,55.7609256,0.0046639212356531,2.5022432,55.7609256,0.0046639212356531,2.5022432,1.74231823925548
95.9671718,64.9559328,-108.8999676,0.1409941,-5.3e-06,-0.0046691,-7.2172258,95.9645989,-3.0212637,65.3805025,-111.8912507,0.1375552,-0.0034389,1.7e-06,55.8953396,0.00531129128129886,2.1982941,55.8953396,0.00531129128129886,2.1982941,1.79603563152029
98.9661499,67.9251533,-108.4785528,0.1409789,-4.9e-06,-0.0011309,-7.2124406,98.963547,-3.0315451,68.3511221,-111.4800218,0.1375608,-0.003418,2e-06,56.0131603,0.00627494825358699,1.8981611,56.0131603,0.00627494825358699,1.8981611,1.84963206350355
101.9651311,70.8943828,-108.0571808,0.140965,-4.4e-06,0.0025432,-7.2071479,101.9625018,-3.0417646,71.3217458,-111.0687738,0.1375674,-0.0033975,2.4e-06,56.1146962,0.00755726191108391,1.6423403,56.1146962,0.00755726191108391,1.6423403,1.90312376352586
104.9641156,73.8636211,-107.6358475,0.1409524,-4e-06,0.0060596,-7.2017662,104.9614636,-3.0519232,74.2923734,-110.6575038,0.1375752,-0.0033773,2.8e-06,56.2024,0.008844387344128,1.6365076,56.2024,0.008844387344128,1.6365076,1.95652545950246
107.9631037,76.8328678,-107.214549,0.1409412,-3.5e-06,0.0098733,-7.1958084,107.9604326,-3.0620213,77.2630048,-110.2462081,0.137584,-0.0033572,3.2e-06,56.2896565,0.0101392813724416,1.6306946,56.2896565,0.0101392813724416,1.6306946,2.00984422873942
110.9620956,79.8021226,-106.7932813,0.1409314,-3.1e-06,0.0145844,-7.1867669,110.9594091,-3.0720595,80.2336398,-109.8348832,0.1375941,-0.0033373,3.5e-06,56.3764691,0.0111240719386414,1.6248996,56.3764691,0.0111240719386414,1.6248996,2.06308075490128
113.9610917,82.7713853,-106.3720403,0.1409229,-2.6e-06,0.0196583,-7.177419,113.9583935,-3.0820381,83.2042781,-109.4235256,0.1376053,-0.0033176,3.9e-06,56.4628405,0.0124334041935809,1.6191208,56.4628405,0.0124334041935809,1.6191208,2.11623571191256
116.960092,85.7406554,-105.9508219,0.1409157,-2.2e-06,0.0242613,-7.1690586,116.9573859,-3.0919582,86.1749196,-109.0121321,0.1376174,-0.0032983,4.1e-06,56.5487738,0.0131108316549626,1.6133567,56.5487738,0.0131108316549626,1.6133567,2.16930976873879
119.959097,88.7099327,-105.5296223,0.1409099,-1.7e-06,0.0277753,-7.1626671,119.9563867,-3.1018214,89.1455642,-108.6007005,0.13763,-0.0032799,4.2e-06,56.6342718,0.0134712511177284,1.6076058,56.6342718,0.0134712511177284,1.6076058,2.22230358422011
122.9581069,91.6792168,-105.1084374,0.1409054,-1.3e-06,0.0306817,-7.1577039,122.9553961,-3.1116308,92.1162122,-108.1892297,0.1376426,-0.0032628,4.1e-06,56.719337,0.0131900410778502,1.6018663,56.719337,0.0131900410778502,1.6018663,2.27521781420797
125.9571218,94.6485075,-104.687263,0.1409022,-8e-07,0.0337281,-7.1506644,125.9544145,-3.1213914,95.0868639,-107.7777206,0.1376544,-0.0032478,3.6e-06,56.8039721,0.0116160884868153,1.5961368,56.8039721,0.0116160884868153,1.5961368,2.32805310251772
128.9561421,97.6178044,-104.2660953,0.1409004,-4e-07,0.0362793,-7.1448421,128.9534421,-3.131111,98.0575202,-107.366177,0.1376644,-0.003236,2.8e-06,56.8881794,0.00906154187525044,-2.2344031,56.8881794,0.00906154187525044,-2.2344031,2.38081008941788
131.9551679,100.5871071,-103.8449303,0.1408999,1e-07,0.0374559,-7.1420302,131.9524793,-3.1408011,101.0281823,-106.9546061,0.1376712,-0.0032288,1.4e-06,56.7702637,0.00451200797679455,-7.9611876,56.7702637,0.00451200797679455,-7.9611876,2.43358288980785
134.9541996,103.5564155,-103.4237638,0.1409008,5e-07,0.0373022,-7.1418191,134.9515264,-3.1504774,103.9988523,-106.5430197,0.1376731,-0.0032277,-5e-07,56.3481223,-0.00158755544336788,-13.5575367,56.3481223,-0.00158755544336788,-13.5575367,2.48660781747251
137.9532374,106.5257291,-103.0025919,0.140903,1e-06,0.0358292,-7.1442105,137.9505837,-3.1601614,106.9695328,-106.1314348,0.1376682,-0.0032348,-3.1e-06,55.6218593,-0.00959075281916589,-15.2550257,55.6218593,-0.00959075281916589,-15.2550257,2.54017676996376
140.9522815,109.4950476,-102.5814105,0.1409066,1.4e-06,0.0331963,-7.1489115,140.9496516,-3.1698802,109.9402273,-105.7198744,0.1376546,-0.003252,-6.3e-06,54.7931521,-0.0189144239574385,-15.0311281,54.7931521,-0.0189144239574385,-15.0311281,2.59450032216334
143.9513323,112.4643708,-102.1602157,0.1409115,1.9e-06,0.0295369,-7.1557683,143.9487305,-3.1796671,112.9109404,-105.3083673,0.1376303,-0.0032812,-1.02e-05,53.9641588,-0.0297037304369145,-14.8101077,53.9641588,-0.0297037304369145,-14.8101077,2.64965208903025
