Sref,Xref,Yref,Aref,Kref,Lmax,Lmin,S,L,X,Y,A,dA,K,V,AN,AT,Vs,ANs,ATs,TIME,s_dot,n_dot,s_ddot,n_ddot
0.0,-31.9308715,-122.6764921,0.1409085,-6.3e-06,7.1254373,-7.1032924,0.0,0.4028114,-31.9874512,-122.2776742,0.1098885,-0.0310199,-3e-07,56.4414793,-0.0009556921756716,2.3538508,56.4414793,-0.0009556921756716,2.3538508,0.0,56.414183353714975,-1.7505282758578717,2.3527087005581895,-0.053909560216305594
2.9972264,-28.963353,-122.255554,0.1408896,-9.3e-06,7.1095004,-7.0999922,2.9986809,0.3098073,-29.0068573,-121.9488164,0.1098877,-0.031002,-4e-07,56.5663989,-0.0012799029938055,2.3294575,56.5663989,-0.0012799029938055,2.3294575,0.0530702991568049,56.53905451449814,-1.7533905962351566,2.3291944216581513,-0.043756494328223774
5.9944563,-25.9958151,-121.8347271,0.1408529,-1.2e-05,7.0928218,-7.1024123,5.997358,0.2169113,-26.0262667,-121.6199639,0.1098863,-0.0309666,-4e-07,56.6897527,-0.0012854912244748,2.3226167,56.6897527,-0.0012854912244748,2.3226167,0.10602419257244,56.662426622098316,-1.755208344158145,2.3236003754380943,-0.03466925546140524
8.9916897,-23.0282586,-121.414006,0.140818,-1.14e-05,7.0763327,-7.1060137,8.9960317,0.1241196,-23.0456791,-121.291115,0.1098854,-0.0309326,-3e-07,56.8124775,-0.0009682972799064,2.3157904,56.8124775,-0.0009682972799064,2.3157904,0.158863219757386,56.785219497626365,-1.7570774074184894,2.3170043338398982,-0.035829780132010325
11.9889266,-20.0606843,-120.9933854,0.1407848,-1.08e-05,7.0611173,-7.1107367,11.9947024,0.0314273,-20.0650942,-120.962269,0.1098845,-0.0309003,-2e-07,56.9345782,-0.0006483092389623,2.3089729,56.9345782,-0.0006483092389623,2.3089729,0.211588465142402,56.90737966742678,-1.7590155891862855,2.310032382363246,-0.03700933105235762
14.9861669,-17.0930931,-120.57286,0.1407535,-1.02e-05,7.0491646,-7.1149148,14.9933706,-0.0611704,-17.0845116,-120.6334256,0.1098839,-0.0308696,-2e-07,57.0560591,-0.0006510787760045,2.3021577,57.0560591,-0.0006510787760045,2.3021577,0.264200999146534,57.028911563172166,-1.7610180024346478,2.303051172439064,-0.0385327633080777
17.9834104,-14.1254858,-120.1524246,0.1407239,-9.6e-06,7.0409769,-7.1184542,17.9920366,-0.1536786,-14.1039309,-120.304584,0.1098834,-0.0308405,-1e-07,57.1769244,-0.0003269200683843,2.2953393,57.1769244,-0.0003269200683843,2.2953393,0.316701878712819,57.14981934096089,-1.7630854168101209,2.2960752643195295,-0.039750423582816156
20.9806573,-11.1578632,-119.7320737,0.1406962,-9e-06,7.0366574,-7.1215456,20.990701,-0.246102,-11.1233518,-119.9757439,0.1098831,-0.0308131,-1e-07,57.2971778,-0.0003282966583844,2.2885122,57.2971778,-0.0003282966583844,2.2885122,0.369092144146526,57.27010648007135,-1.765224307132383,2.2890790254674314,-0.04131441757540208
23.9779073,-8.1902261,-119.3118022,0.1406702,-8.4e-06,7.031333,-7.124058,23.989364,-0.3384456,-8.1427738,-119.6469046,0.1098829,-0.0307873,-0.0,57.4168228,-0.0,2.2816706,57.4168228,-0.0,2.2816706,0.421372826591422,57.389776612327175,-1.7674297056935568,2.282076848393418,-0.04256933290272421
26.9751604,-5.2225753,-118.8916045,0.140646,-7.8e-06,7.0240268,-7.1259881,26.9880262,-0.4307141,-5.1621967,-119.3180657,0.109883,-0.0307631,0.0,57.5358624,0.0,2.2748097,57.5358624,0.0,2.2748097,0.473544938535082,57.508832693192,-1.7697023260721885,2.27504366663883,-0.04417257409529399
29.9724165,-2.2549117,-118.4714756,0.1406236,-7.2e-06,7.0166246,-7.1274144,29.9866879,-0.5229125,-2.1816202,-118.9892263,0.1098832,-0.0307404,1e-07,57.6542993,0.0003324018227773,2.2679242,57.6542993,0.0003324018227773,2.2679242,0.525609482840499,57.627277555259305,-1.7720371037990537,2.26799450836808,-0.04546326029800213
32.9696757,0.7127639,-118.05141,0.1406031,-6.6e-06,7.0113947,-7.1284206,32.9853496,-0.6150454,0.7989563,-118.6603859,0.1098837,-0.0307193,2e-07,57.772136,0.0006675239396004,2.2610085,57.772136,0.0006675239396004,2.2610085,0.577567454869306,57.74511347673645,-1.7744404640624487,2.260913620143327,-0.04677086752249269
35.9669378,3.6804506,-117.6314023,0.1405843,-6e-06,7.0104469,-7.1290696,35.9840116,-0.7071173,3.7795329,-118.3315435,0.1098845,-0.0306998,3e-07,57.8893747,0.0010053539109471,2.2540592,57.8893747,0.0010053539109471,2.2540592,0.629419830805348,57.86234261231693,-1.7769130778904538,2.2537975967717654,-0.048095198248465296
38.9642027,6.6481478,-117.2114475,0.1405673,-5.4e-06,7.0150697,-7.1294125,38.9826745,-0.7991329,6.7601099,-118.0026983,0.1098856,-0.0306817,4e-07,58.0060172,0.0013458792125626,2.2470702,58.0060172,0.0013458792125626,2.2470702,0.681167578883307,57.9789670724684,-1.7794440023679303,2.246640340069767,-0.04943552253483738
41.9614703,9.6158545,-116.79154,0.140552,-4.8e-06,7.0238478,-7.1295003,41.9813384,-0.8910965,9.7406877,-117.6738492,0.109887,-0.030665,5e-07,58.1220651,0.0016890872257443,2.2400383,58.1220651,0.0016890872257443,2.2400383,0.732811659026453,58.094988412899156,-1.782033808709392,2.239438646175973,-0.05079165280957566
44.9587407,12.5835699,-116.3716746,0.1405386,-4.2e-06,7.0346807,-7.1293856,44.980004,-0.9830124,12.7212665,-117.3449952,0.1098888,-0.0306498,7e-07,58.2375197,0.0023741260905655,2.23296,58.2375197,0.0023741260905655,2.23296,0.784353017326614,58.210407710695215,-1.784688874839501,2.2321994009370605,-0.05182461354834815
47.9560138,15.5512932,-115.9518459,0.140527,-3.6e-06,7.0455514,-7.129113,47.9786715,-1.0748847,15.7018466,-117.0161348,0.1098911,-0.0306359,8e-07,58.3523822,0.0027240004067319,2.2258301,58.3523822,0.0027240004067319,2.2258301,0.835792592642874,58.32522647777858,-1.7873981189787602,2.224896657284916,-0.0532103719390075
50.9532894,18.5190236,-115.5320487,0.1405172,-3e-06,7.0545863,-7.1287431,50.9773413,-1.1667177,18.6824282,-116.6872669,0.1098937,-0.0306234,9e-07,58.4666535,0.0030765146143401,2.2186459,58.4666535,0.0030765146143401,2.2186459,0.887131311807248,58.43944539108342,-1.7901678851352856,2.217538064553544,-0.05461131939298951
53.9505675,21.4867603,-115.1122777,0.1405092,-2.4e-06,7.0606622,-7.1283221,53.9760139,-1.2585153,21.6630116,-116.3583902,0.1098968,-0.0306124,1e-06,58.5803342,0.0034316555549836,2.2114029,58.5803342,0.0034316555549836,2.2114029,0.938370094566442,58.55306482620143,-1.7930045489287159,2.2101191139705985,-0.05602744712110039
56.947848,24.4545024,-114.6925275,0.1405029,-1.8e-06,7.0645372,-7.1278776,56.9746896,-1.3502822,24.643597,-116.0295037,0.1099,-0.0306029,1.1e-06,58.6934248,0.0037894099262285,2.2040998,58.6934248,0.0037894099262285,2.2040998,0.989509849546848,58.66608523700216,-1.7959086565496492,2.2026384982533345,-0.05745861998409306
59.9451309,27.4222491,-114.2727928,0.1404985,-1.2e-06,7.0673915,-7.1274439,59.9733688,-1.4420231,27.6241849,-115.7006068,0.1099033,-0.0305952,1e-06,58.8059256,0.0034581368856727,2.196732,58.8059256,0.0034581368856727,2.196732,1.04055148111018,58.77850633733468,-1.798898376251721,2.1950704378481354,-0.059596563276116496
62.9424161,30.3899997,-113.8530684,0.1404958,-6e-07,7.0703613,-7.1270636,62.972052,-1.5337441,30.6047756,-115.3717,0.1099061,-0.0305897,8e-07,58.9178368,0.0027770491945531,2.1892962,58.9178368,0.0027770491945531,2.1892962,1.09149587982546,58.89032755680882,-1.801997891173402,2.1874219852533963,-0.062102879662624705
