,s_opt,v_opt,n_opt,chi_opt,ax_opt,ay_opt,jx_opt,jy_opt,t_opt
0,0.000000,63.419554,-3.135128,0.008810,4.193615,0.689767,-1.407181,-2.254621,0.000000
1,2.997226,63.616211,-3.107913,0.009306,4.127098,0.583192,-2.552867,-2.251756,0.047269
2,5.994456,63.807865,-3.079319,0.009730,4.006795,0.477079,4.279821,-2.245743,0.094394
3,8.991690,64.000845,-3.049565,0.010076,4.207878,0.371565,1.479926,-2.236934,0.141378
4,11.988927,64.199566,-3.018892,0.010343,4.277198,0.266786,-1.228297,-2.225284,0.188218
5,14.986167,64.397953,-2.987538,0.010530,4.219842,0.162875,-3.843236,-2.210618,0.234914
6,17.983410,64.590239,-2.955737,0.010641,4.040925,0.059962,-1.056936,-2.192831,0.281468
7,20.980657,64.776672,-2.923718,0.010676,3.991864,-0.041825,-1.434714,-2.172061,0.327886
8,23.977907,64.959902,-2.891706,0.010635,3.925457,-0.142361,0.852689,-2.148339,0.374172
9,26.975160,65.141995,-2.859925,0.010523,3.964814,-0.241520,0.696525,-2.121763,0.420328
10,29.972417,65.325222,-2.828585,0.010341,3.996873,-0.339178,-1.536316,-2.092320,0.466355
11,32.969676,65.507053,-2.797897,0.010090,3.926358,-0.435212,-3.676952,-2.059868,0.512254
12,35.966938,65.682922,-2.768060,0.009773,3.758054,-0.529498,-5.718177,-2.024248,0.558026
13,38.964203,65.848532,-2.739276,0.009390,3.496997,-0.621913,0.373725,-1.985411,0.603680
14,41.961470,66.008179,-2.711737,0.008944,3.514018,-0.712332,-1.837569,-1.943537,0.649222
15,44.958741,66.165931,-2.685628,0.008438,3.430533,-0.800631,-3.946736,-1.898524,0.694654
16,47.956014,66.317368,-2.661129,0.007872,3.251645,-0.886682,2.108049,-1.850289,0.739980
17,50.953289,66.466575,-2.638412,0.007250,3.346978,-0.970359,-0.069468,-1.798970,0.785203
18,53.950567,66.617524,-2.617648,0.006572,3.343844,-1.051531,-2.154043,-1.744466,0.830324
19,56.947848,66.765879,-2.598999,0.005842,3.246870,-1.130066,-4.136299,-1.686604,0.875344
20,59.945131,66.907560,-2.582618,0.005061,3.061061,-1.205831,-6.036022,-1.625221,0.920265
21,62.942416,67.038721,-2.568654,0.004233,2.790468,-1.278689,-7.840368,-1.560165,0.965095
22,65.939703,67.155736,-2.557247,0.003358,2.439639,-1.348501,-5.400852,-1.491322,1.009841
